pk_model,scenario,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,n_subjects
k2016,F097,0.952069739554753,1.20287848916447e-05,0.965269785236406,7.00330640067617e-06,200000
k2016,KE110,0.949282341895361,2.04638433559631e-05,0.983774175412422,1.25813891494328e-05,200000
k2016,KE120,0.903692855836844,3.89590887527088e-05,0.968275339742282,2.45442606030296e-05,200000
k2016,VM125,0.864966317600168,9.86342731996353e-05,0.960841383742847,5.94176695875431e-05,200000
