pk_model,set,n_scenarios,slope_pp_per_log,slope_lo,slope_hi,pp_per_10pct_lower,r_squared
k2016,i,13,-18.1975429353694,-34.2954858968618,-2.09959997387694,1.91730250737595,0.360108101646794
k2020,i,13,-11.0053553730857,-24.2758939237947,2.26518317762332,1.15952991710594,0.232470424551062
k2016,ii,13,-17.7447522201714,-38.3304114854852,2.84090704514245,1.86959624413761,0.246550552947325
k2020,ii,13,-10.8016759998013,-30.7858762413567,9.18252424175404,1.13807015330784,0.113995153657179
k2016,iii,13,-13.2176219207684,-32.7512136600989,6.31596981856208,1.39261546134235,0.167806345901734
k2020,iii,13,-14.0376413035787,-34.1898669348322,6.11458432767484,1.47901312636465,0.176066239916273
k2016,iv,13,-6.2432665518244,-32.1673827263859,19.6808496227371,0.657793783289478,0.0249059933117634
k2020,iv,13,-5.06005912353369,-27.3946357155153,17.2745174684479,0.533130438514598,0.0221049494844133
