variant,set,fail_pct,fail_lo,fail_hi,adj_r2_median,sigma_prop_pct,label
k2016,i,13.435,12.9693830486785,13.9146605481045,0.929840166324454,24.2,2016 model
k2016,ii,19.265,18.7243494006258,19.817455055743,0.929840166324454,24.2,2016 model
k2016,iii,38.76,38.0870041141239,39.4373128564173,0.929840166324454,24.2,2016 model
k2016,iv,65.85,65.1897989971713,66.5041134598502,0.929840166324454,24.2,2016 model
resid12,i,5.755,5.4406519294133,6.0863413411914,0.946059919565497,12,"2016 model, proportional residual 12%"
resid12,ii,12.14,11.6946310756972,12.599909894471,0.946059919565497,12,"2016 model, proportional residual 12%"
resid12,iii,27.235,26.6224539729754,27.8562894286591,0.946059919565497,12,"2016 model, proportional residual 12%"
resid12,iv,66.01,65.3505133671969,66.6633376382867,0.946059919565497,12,"2016 model, proportional residual 12%"
k2020,i,8.165,7.79348215702646,8.55258549978781,0.935303397256877,15,Model 1
k2020,ii,16.085,15.5823494141166,16.600676391569,0.935303397256877,15,Model 1
k2020,iii,33.215,32.5655388558169,33.8709077945865,0.935303397256877,15,Model 1
k2020,iv,72.45,71.8265586956317,73.0648188854492,0.935303397256877,15,Model 1
