pk_model,set,n,fail_pct,fail_lo,fail_hi,lz_pct,lz_lo,lz_hi,est_fail_pct,est_fail_lo,est_fail_hi,fail_per_arm
k2016,i,20000,13.435,12.9693830486785,13.9146605481045,1.46,1.30284377642453,1.63579908390211,11.975,11.5323261623183,12.4322781797485,15.71895
k2016,ii,20000,19.265,18.7243494006258,19.817455055743,1.46,1.30284377642453,1.63579908390211,17.805,17.2810132588117,18.3413519428409,22.54005
k2016,iii,20000,38.76,38.0870041141239,39.4373128564173,1.46,1.30284377642453,1.63579908390211,37.3,36.6322727644697,37.9726049513553,45.3492
k2016,iv,20000,65.85,65.1897989971713,66.5041134598502,1.46,1.30284377642453,1.63579908390211,64.39,63.7236610838063,65.050812118499,77.0445
k2020,i,20000,8.165,7.79348215702646,8.55258549978781,0.615,0.515729274556348,0.733238126705106,7.55,7.19194551195535,7.92435834920794,9.55305
k2020,ii,20000,16.085,15.5823494141166,16.600676391569,0.615,0.515729274556348,0.733238126705106,15.47,14.9754668530252,15.9777951570094,18.81945
k2020,iii,20000,33.215,32.5655388558169,33.8709077945865,0.615,0.515729274556348,0.733238126705106,32.6,31.9537565837628,33.2529262709896,38.86155
k2020,iv,20000,72.45,71.8265586956317,73.0648188854492,0.615,0.515729274556348,0.733238126705106,71.835,71.2074681205843,72.4541456648456,84.7665
