pk_model,scenario,auc_ratio,n_trials,gm_gmr,abs_diff,rel_diff_pct
k2016,F097,0.952069739554753,10000,0.95141612569226,0.000653613862492963,-0.06865188917764
k2016,F_down_080,0.79988525403249,10000,0.795838804363748,0.0040464496687419,-0.505878768028589
k2016,F_up_125,1.25010656509896,10000,1.25614699698383,0.00604043188486814,0.483193357551071
k2016,S00,1,10000,1.00044762896692,0.000447628966919966,0.0447628966919966
k2016,V2_up_080,0.799717812019852,10000,0.79728815355345,0.00242965846640231,-0.303814474291342
k2016,Vmax_down_125,1.25088393369916,10000,1.26233377624295,0.0114498425437852,0.915340123517727
k2016,Vmax_up_080,0.799417254503779,10000,0.787409961316079,0.0120072931877002,-1.5020057573255
k2016,ka_down_080,0.799297411482507,10000,0.797478091043794,0.00181932043871269,-0.227614954405808
k2016,ke_down_125,1.24933521039854,10000,1.25555316178859,0.00621795139005377,0.497700804259749
k2016,ke_up_080,0.800334236753497,10000,0.795763739146227,0.0045704976072698,-0.571073608672512
k2020,F097,0.952367656502161,10000,0.951653161715421,0.00071449478674035,-0.0750229999792906
k2020,F_down_080,0.799619025640266,10000,0.795924068780925,0.00369495685934085,-0.462089662809395
k2020,F_up_125,1.25037238459433,10000,1.25537998936257,0.00500760476823547,0.400489072690147
k2020,S00,1,10000,1.00022168805265,0.00022168805265288,0.022168805265288
k2020,V2_up_080,0.79979742585522,10000,0.80319114791939,0.00339372206416988,0.424322704032343
k2020,Vmax_down_125,1.25092658233271,10000,1.26009099324401,0.00916441091129983,0.732609814255469
k2020,Vmax_up_080,0.80009024618209,10000,0.789398737640754,0.0106915085413359,-1.33628782407412
k2020,ka_down_080,0.800570249731887,10000,0.798635500615321,0.00193474911656588,-0.241671373275965
k2020,ke_down_125,1.2495748835008,10000,1.25384460981545,0.00426972631464873,0.34169431308404
k2020,ke_up_080,0.800201954152666,10000,0.795813644185961,0.00438830996670558,-0.548400306189245
