pk_model,scenario,mechanism,direction,auc_ratio,cmax_ratio,set,n_trials,fail_R_mean,fail_T_mean,diff_mean,diff_lo,diff_hi,diff_p05,diff_p95
k2016,F097,F,down,0.952069739554753,0.965269785236406,i,2000,13.8034188034188,14.3863247863248,0.582905982905983,0.379022470460034,0.786789495351933,-6.83760683760684,8.54700854700854
k2016,F_down_080,F,down,0.79988525403249,0.852080931927538,i,2000,13.8034188034188,17.3444444444444,3.54102564102564,3.33123485911129,3.75081642293999,-4.27350427350428,11.1111111111111
k2016,F_up_125,F,up,1.25010656509896,1.17552651005478,i,2000,13.8034188034188,10.9,-2.9034188034188,-3.09472509604171,-2.71211251079589,-10.2564102564103,4.27350427350427
k2016,KE110,ke,up,0.949282341895361,0.983774175412422,i,2000,13.8034188034188,13.7076923076923,-0.0957264957264956,-0.295862755838053,0.104409764385061,-7.69230769230769,7.69230769230769
k2016,KE120,ke,up,0.903692855836844,0.968275339742282,i,2000,13.8034188034188,13.8512820512821,0.0478632478632479,-0.151856642432965,0.247583138159461,-7.69230769230769,7.69230769230769
k2016,S00,-,-,1,1,i,2000,13.8034188034188,13.7115384615385,-0.0918803418803417,-0.292207615255428,0.108446931494745,-7.69230769230769,7.69230769230769
k2016,V2_up_080,V2,up,0.799717812019852,0.962983911224041,i,2000,13.8034188034188,10.3098290598291,-3.49358974358974,-3.68283553230987,-3.30434395486961,-10.2564102564103,3.41880341880342
k2016,VM125,Vmax,up,0.864966317600168,0.960841383742847,i,2000,13.8034188034188,20.4393162393162,6.63589743589744,6.42370218350085,6.84809268829402,-0.854700854700862,14.5299145299145
k2016,Vmax_down_125,Vmax,down,1.25088393369916,1.0544021629266,i,2000,13.8034188034188,7.39017094017094,-6.41324786324786,-6.5931931296517,-6.23330259684402,-12.8632478632479,0
k2016,Vmax_up_080,Vmax,up,0.799417254503779,0.93845337546823,i,2000,13.8034188034188,24.8299145299145,11.0264957264957,10.7928269710698,11.2601644819217,2.52136752136752,19.6581196581197
k2016,ka_down_080,ka,down,0.799297411482507,0.631952944916229,i,2000,13.8034188034188,26.0918803418803,12.2884615384615,12.0573244491062,12.5195986278168,3.41880341880342,21.3675213675214
k2016,ke_down_125,ke,down,1.24933521039854,1.06710162104024,i,2000,13.8034188034188,13.8700854700855,0.0666666666666667,-0.132842418939465,0.266175752272799,-7.69230769230769,7.69230769230769
k2016,ke_up_080,ke,up,0.800334236753497,0.929468091140586,i,2000,13.8034188034188,14.0961538461538,0.292735042735043,0.0882694291042281,0.497200656365857,-7.69230769230769,7.6923076923077
