pk_model,scenario,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,n_subjects
k2020,F097,0.952367656502161,1.18667274279093e-05,0.965498850360188,6.85792773694315e-06,200000
k2020,KE110,0.947805365835002,1.90165483367796e-05,0.984234742561431,1.18433756637424e-05,200000
k2020,KE120,0.90100076164125,3.61504626248225e-05,0.969195351141817,2.30679414642635e-05,200000
k2020,VM125,0.866416882138219,9.65079129977208e-05,0.962801048832624,5.71158114575598e-05,200000
