pk_model,set,n_fail,n_retained,wt_diff_kg,wt_diff_lo,wt_diff_hi,true_aucinf_gmr,true_aucinf_gmr_lo,true_aucinf_gmr_hi,auclast_gmr,auclast_gmr_lo,auclast_gmr_hi
k2016,i,2687,17313,1.13392775893638,0.843862070551382,1.42399344732138,0.814793379307349,0.801530355599035,0.828275867938804,0.78301634059572,0.76966392090765,0.796600403091361
k2016,ii,3853,16147,0.956317939218451,0.704732504926194,1.20790337351071,0.842348745308615,0.830488341338495,0.854378530563615,0.808006002789137,0.796108465117814,0.82008134462766
k2016,iii,7752,12248,0.415961827771483,0.211793587106048,0.620130068436918,0.928174485565535,0.918430225127236,0.938022129591276,0.909969139514214,0.899858803369723,0.920193070032148
k2016,iv,13170,6830,0.476853773498291,0.268155913861424,0.685551633135159,0.933561191940146,0.924027471656013,0.943193277072992,0.908856900461946,0.899042210162241,0.918778736059826
k2020,i,1633,18367,0.810617907513148,0.443704707191664,1.17753110783463,0.786054078286093,0.768173563219827,0.804350792027167,0.771529285293624,0.753198192862678,0.790306513884874
k2020,ii,3217,16783,0.546587637102775,0.273971118612534,0.819204155593015,0.847444865573701,0.832679117936413,0.862472451533329,0.827706814064377,0.81279996110402,0.842887060572736
k2020,iii,6643,13357,0.349640423512781,0.138765208408859,0.560515638616704,0.895137990266898,0.884586831797267,0.905815000649591,0.891153763621704,0.88028674200371,0.90215493716226
k2020,iv,14490,5510,0.395780545178837,0.172543818757203,0.619017271600472,0.909232921275708,0.898794605398932,0.919792464447005,0.896790454623057,0.886180982230089,0.907526944980429
