study,arm,schedule,dev,auclast_obs,auclast_sim,ratio,sim_logcv,tmax_obs,tmax_sim,pass_mean,pass_cv
PKM12350,test,pkm12350,external,487.5,571.217593628418,1.1717283971865,41.2187484721895,7,7,FALSE,TRUE
PKM12350,reference,pkm12350,external,500,571.217593628418,1.14243518725684,41.2187484721895,7,7,TRUE,TRUE
PKM14161,test,pkm14161,external,587,570.691899372444,0.972217886494794,41.6770788951826,7,7,TRUE,TRUE
PKM14161,reference,pkm14161,external,575,570.691899372444,0.992507651082512,41.6770788951826,7,7,TRUE,TRUE
HV-1108,test,hv1108,internal,630,570.673998861878,0.905831744225203,41.4550976585638,5,7,TRUE,TRUE
HV-1108,reference,hv1108,internal,530,570.673998861878,1.07674339407902,41.4550976585638,6.9,7,TRUE,TRUE
