ka_multiplier,AUClast_200_sim,AUClast_300_sim,ratio_per_mg,AUClast_200_sim_pkm_only,ratio_per_mg_pkm_only
1,264.305235812609,569.520427663087,0.696125783135996,278.185819828442,0.732684394578931
1.5,283.669053208921,569.520427663087,0.747126106712888,297.862900928557,0.784509790502451
2,293.213917038677,569.520427663087,0.772265320425348,307.541895502536,0.810002277085493
3,302.640421004514,569.520427663087,0.797092798531402,317.070269992424,0.83509806125864
