dose,WT,Cmax,tmax,t_cross_lloq,AUC_0_14,AUC_14_inf,AUCinf_true,frac_after_d14
200,80,19.2303972481508,5.5,27.5,212.242201036464,70.4151437771752,282.657344813639,0.249118393946568
300,78,31.619496491493,6,36.75,358.533615451888,210.059706612858,568.593322064746,0.369437519684654
300,60,38.9396601981905,6,41.25,444.665458983897,312.874745112219,757.540204096116,0.413014046542304
600,58.3,84.2219944134241,6.5,61.25,975.638575601458,1125.19791436612,2100.83648996758,0.535595187792785
