model,id,dose_mg,n_obs,AUClast_ratio,se_obs_pct,z,pass_mean
step1,clot300_chinese,300,8,0.938981917663443,14.5528289562383,-0.419286741567869,TRUE
step1,clot300_japanese_TDU12265,300,6,0.997356577025482,13.6471571383634,-0.0193697701852327,TRUE
step1,clot300_nonasian_pooled,300,40,1.04964021054531,6.3361813411462,0.783440496296234,TRUE
step1,clot600_chinese,600,8,0.975898801913056,8.16021332791111,-0.295350098317988,TRUE
step1,clot600_japanese,600,,1.06701730600385,,,TRUE
step1,cohen2022_200_armA,200,64,0.836756101955982,4.7427652733119,-3.4419560875722,FALSE
step1,cohen2022_200_armB,200,64,0.917366989950184,5.32570422535211,-1.55158842010896,TRUE
step1,pkm14271_200_nonasian,200,19,0.820354697851477,8.66230499570263,-2.0738741274712,FALSE
step1_k2020,clot300_chinese,300,8,0.999455018007038,14.5528289562383,-0.00374485259602025,TRUE
step1_k2020,clot300_japanese_TDU12265,300,6,1.06189319266605,13.6471571383634,0.453524437643236,TRUE
step1_k2020,clot300_nonasian_pooled,300,40,1.11840552885704,6.3361813411462,1.86872064547987,TRUE
step1_k2020,clot600_chinese,600,8,1.02071778508287,8.16021332791111,0.253887787614626,TRUE
step1_k2020,clot600_japanese,600,,1.11701172157748,,,TRUE
step1_k2020,cohen2022_200_armA,200,64,0.895378462965499,4.7427652733119,-2.20591850967661,TRUE
step1_k2020,cohen2022_200_armB,200,64,0.981778945080285,5.32570422535211,-0.342134188244562,TRUE
step1_k2020,pkm14271_200_nonasian,200,19,0.878268401234659,8.66230499570263,-1.40530261663302,TRUE
