id,gate_role,dose_mg,presentation,n_obs,wt_mean,AUClast_obs_mean,AUClast_sim_mean,AUClast_ratio,AUClast_z,AUClast_se_obs_pct,AUClast_sim_geo,AUClast_obs_geo,AUClast_sim_logcv,AUClast_obs_cv_arith,Cmax_obs_mean,Cmax_sim_mean,Cmax_ratio,Cmax_sim_logcv,tmax_obs_median,tmax_sim_median,AUCinf_obs_mean,AUCinf_sim_mean_reliable,tlast_sim_median,pass_mean,pass_cv
clot300_nonasian_pooled,gate,300,2 mL of 150 mg/mL,40,78,544,571.004274536646,1.04964021054531,0.78344049629624,6.3361813411462,528.850361456194,,41.1089603378916,40.0735294117647,32,35.6499113967649,1.1140597311489,34.3392983991262,7,7,,611.477962660982,35,TRUE,TRUE
clot300_japanese_TDU12265,gate,300,2 mL of 150 mg/mL,6,64,700,698.149603917837,0.997356577025482,-0.0193697701852291,13.6471571383634,648.342242881134,,40.5127743609601,33.4285714285714,38.3,41.2100509899419,1.07598044360162,33.4102525835904,,7,,736.012122745447,35,TRUE,TRUE
clot300_chinese,gate,300,2 mL of 150 mg/mL,8,59.9,792,743.673678789447,0.938981917663443,-0.419286741567869,14.5528289562383,689.851424669284,710,40.847778253601,41.1616161616162,37.2,43.1680351180169,1.1604310515596,33.6460138481238,7,7,807,782.322835648537,35,TRUE,TRUE
clot600_chinese,gate,600,2 x 300 mg,8,58.3,2110,2059.14647203655,0.975898801913056,-0.295350098317996,8.16021332791111,1940.56353582162,,36.0798591962185,23.0805687203792,77.3,94.6200403399905,1.22406261759367,30.3643080784922,,7,,2103.68962436641,56,TRUE,TRUE
clot600_japanese,gate,600,2 x 300 mg,,64,1780,1899.29080468686,1.06701730600385,,,1787.54094241301,,36.4918698840519,39.2696629213483,70.1,88.5372968477109,1.26301422036678,30.4614072633407,,7,,1951.23376920534,56,TRUE,TRUE
PKM14271_200mg_test,external,200,1.14 mL of 175 mg/mL,19,80,339,277.583291949225,0.818829769761724,-2.09147831123649,8.66230499570263,252.340021626274,,47.6072835795789,37.7581120943953,23.2,21.3888013570432,0.921931092976,40.0397056217177,3.1,7,,324.337681038632,28,,
PKM14271_200mg_reference,external,200,1.14 mL of 175 mg/mL (formulation I vial),19,80,323,277.089869378059,0.857863372687488,-1.51604257474087,9.37550367520562,252.195395505375,,47.1599253950885,40.8668730650155,22.8,21.3324474534482,0.935633660238954,39.5601459105392,3,7,,321.952766240456,28,,
Cohen2022_200mg_AI,external,200,"1.14 mL of 175 mg/mL, 복부 투여",62,80.6,311,260.547504494532,0.837773326348977,-3.36663853282713,4.81865433634163,238.048864302228,,46.1356173350815,37.9421221864952,21.7,20.4804015647248,0.943797307130175,39.1704514931875,3,7,,306.438197758824,21,,
Cohen2022_200mg_PFSS,external,200,"1.14 mL of 175 mg/mL, 복부 투여",63,80.6,284,259.150089485104,0.912500315088394,-1.63008305763531,5.3678053091686,236.309370274802,,46.8719723907629,42.6056338028169,20.3,20.4131790614867,1.00557532322594,39.5220578076522,3,7,,305.340886394631,21,,
