variant,ratio_200v300_nonasian,ratio_600v300_chinese,pkm200_sim_obs,nonasian300_sim_obs,chinese300_sim_obs,chinese600_sim_obs
OBSERVED,0.934742647058824,1.33207070707071,,,,
Km_x0.5,0.732982941693021,1.40336241049673,0.82199492453326,1.04825592510027,0.926250059580751,0.975822461552703
Km_x10,0.743996821606762,1.3881546556117,0.837060702785869,1.05166623612881,0.939437892666148,0.978990887976443
Km_x2,0.733616422147686,1.39350398404362,0.825832426675214,1.05224033327596,0.929225910222882,0.972080536790465
Km_x5,0.724550886578887,1.37821867961173,0.819374531168311,1.05707457182645,0.935046634732896,0.967440190266532
MM_not_weight_scaled,0.740776606554163,1.45279905653215,0.829247460942502,1.04637884059791,0.847025651988908,0.923793355364803
Vmax_x0.8,0.760875404603927,1.30050177005105,0.970366388717744,1.1921043068531,1.05583573070221,1.03081332647943
Vmax_x1.25,0.692748634793878,1.48202335297957,0.673961275521301,0.909392404480693,0.819641065439389,0.911908950173883
base,0.726121310822469,1.39607382609473,0.812366714397934,1.04576714893369,0.923274578078832,0.967635926465948
struct2020,0.736504488167661,1.36639296513334,0.879995993945923,1.11685644554405,0.992944616029731,1.01852891960489
