trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
6,Vmax_down_125,AUCinf_true,1.257289,1.167887,1.353535,FALSE,117,117
6,Vmax_down_125,AUClast,1.265116,1.170208,1.36772,FALSE,117,117
6,Vmax_down_125,Cmax,1.077455,1.003664,1.156672,TRUE,117,117
7,S00,AUCinf_A,1.006811,0.9226225,1.098682,TRUE,99,96
7,S00,AUCinf_B,1.009341,0.9298257,1.095657,TRUE,117,117
7,S00,AUCinf_C,1.003697,0.9211751,1.093611,TRUE,117,117
7,S00,AUCinf_true,0.9994531,0.9229769,1.082266,TRUE,117,117
7,S00,AUClast,1.008146,0.9256861,1.097951,TRUE,117,117
7,S00,Cmax,1.006395,0.9336905,1.08476,TRUE,117,117
7,Vmax_down_125,AUCinf_A,1.201949,1.106698,1.305399,FALSE,99,101
7,Vmax_down_125,AUCinf_B,1.260835,1.161228,1.368986,FALSE,117,117
7,Vmax_down_125,AUCinf_C,1.266494,1.165496,1.376244,FALSE,117,117
7,Vmax_down_125,AUCinf_true,1.252447,1.158551,1.353954,FALSE,117,117
7,Vmax_down_125,AUClast,1.273406,1.172034,1.383546,FALSE,117,117
7,Vmax_down_125,Cmax,1.065183,0.9903955,1.145619,TRUE,117,117
8,S00,AUCinf_A,1.026896,0.9339832,1.129053,TRUE,91,86
8,S00,AUCinf_B,1.0582,0.9684362,1.156283,TRUE,115,117
8,S00,AUCinf_C,1.058776,0.9668896,1.159395,TRUE,117,117
8,S00,AUCinf_true,1.038509,0.95371,1.130849,TRUE,117,117
8,S00,AUClast,1.061446,0.9689696,1.162748,TRUE,117,117
8,S00,Cmax,1.049736,0.9751336,1.130045,TRUE,117,117
8,Vmax_down_125,AUCinf_A,1.185983,1.085593,1.295656,FALSE,91,98
8,Vmax_down_125,AUCinf_B,1.298894,1.189174,1.418737,FALSE,115,117
8,Vmax_down_125,AUCinf_C,1.316858,1.205824,1.438115,FALSE,117,117
8,Vmax_down_125,AUCinf_true,1.287551,1.184455,1.39962,FALSE,117,117
8,Vmax_down_125,AUClast,1.331301,1.218699,1.454306,FALSE,117,117
8,Vmax_down_125,Cmax,1.108086,1.031932,1.189861,TRUE,117,117
9,S00,AUCinf_A,0.9180859,0.8348723,1.009594,TRUE,93,91
9,S00,AUCinf_B,0.9053641,0.8303225,0.9871876,TRUE,115,115
9,S00,AUCinf_C,0.9004385,0.8229061,0.9852758,TRUE,117,117
9,S00,AUCinf_true,0.9054454,0.8330159,0.9841724,TRUE,117,117
9,S00,AUClast,0.9026276,0.8249498,0.9876196,TRUE,117,117
9,S00,Cmax,0.9251038,0.8618613,0.992987,TRUE,117,117
9,Vmax_down_125,AUCinf_A,1.063984,0.9721236,1.164524,TRUE,93,100
9,Vmax_down_125,AUCinf_B,1.131975,1.039108,1.233142,TRUE,115,117
9,Vmax_down_125,AUCinf_C,1.144981,1.049988,1.248569,TRUE,117,117
9,Vmax_down_125,AUCinf_true,1.14343,1.054871,1.239424,TRUE,117,117
9,Vmax_down_125,AUClast,1.152945,1.057523,1.256977,FALSE,117,117
9,Vmax_down_125,Cmax,0.9845412,0.9206314,1.052888,TRUE,117,117
10,S00,AUCinf_A,1.001442,0.9249409,1.08427,TRUE,102,100
