scenario,true_ratio,n_trials,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi,joint_3,joint_3_lo,joint_3_hi,only_inf_fails,only_inf_fails_lo,only_inf_fails_hi
F085,0.767193547976117,5000,0.32,0.197072782190237,0.519206083070639,0.2,0.108674686094389,0.367788427633301,0.12,0.0240297972064916,0.215970202793508
VM150,0.757501318389217,20000,0.075,0.0454580190853952,0.123716781116652,0.07,0.0417036922882813,0.117473028274327,0.005,-0.00479981992270027,0.0147998199227003
