model,scenario,n_trials,power_last_cmax,lo,hi,power_3,lo3,hi3
k2016,S00,20000,99.53,99.4252322555148,99.6157446527675,99.225,99.0936585046548,99.3374355456217
k2016,F097,5000,96.94,96.4253964898337,97.3825316515644,95.38,94.7624903638363,95.9278330076304
k2020,S00,500,99,97.6806900244269,99.572124610341,98.8,97.4069638883553,99.4489004825972
k2020,F097,500,94,91.563893687478,95.7651643519054,92.6,89.966524667777,94.5838815248988
