rule,endpoint,n_R_mean,n_T_mean,pass_S00,pass_S00_lo,pass_S00_hi,bias_VM125_pct,GMR_VM125,bias_F090_pct,GMR_F090,agree_S00,agree_VM125,agree_VM125_lo,agree_VM125_hi,agree_F090
A,AUCinf_reliable,101.11975,101.14785,99.52,99.4142411222303,99.6067396267732,2.64876419266036,0.88885202122673,1.17426700629415,0.853309142642602,99.425,71.54,70.2731291800306,72.7737982201763,83.8
B,AUCinf_all,115.42375,115.43725,99.76,99.6819671674609,99.8189214042356,1.86634684146818,0.882076944590203,0.779979396190589,0.849983699993127,99.765,74.4,73.1719100950418,75.5906260500394,88.74
C,AUCinf_subC,117,117,99.6,99.5024895475967,99.6784604756377,-0.467309632619339,0.861869440971861,-0.140827227237061,0.842217568014847,99.875,95.44,94.8260424680508,95.9841887791825,97.64
Reference: AUClast,AUClast,117,117,99.555,99.4527575112284,99.6382097952511,-0.902098181624689,0.858104537578925,-0.377411796382443,0.84022220119052,100,100,99.9232298054943,100,100
