model,engine,n,AUClast_geo,tlast_median,lambda_ok_pct,reliable_pct,reliable_rsq_extrap_only_pct,extrap_median,extrap_gt20_pct,n_lambda_median,AUCinf_rel_geo,AUCinf_all_geo,extrap_true_median
base,이전 엔진(D-010),20000,546.390826072822,34.7485028046649,98.67,86.425,86.425,2.72968435338103,1.1807033546164,3,586.453228042337,574.538697844615,0.65425568570745
base,"새 엔진(Phoenix 호환, D-039)",20000,546.246419663394,34.7237030987162,98.66,80.33,86.34,2.75923114084163,1.20109466855869,3,588.142214054371,574.609949463889,0.664573992269535
struct2020,이전 엔진(D-010),20000,587.260142276404,35.3963916285429,99.4,91.405,91.405,2.87148703504657,0.779678068410463,3,624.492443046117,615.540873095441,0.627626838778755
struct2020,"새 엔진(Phoenix 호환, D-039)",20000,587.098578546122,35.3696240750142,99.385,83.59,91.35,2.90345612162622,0.789857624389998,3,628.191865596651,615.723218024632,0.638983753538924
