model,n,tlast_changed_pct,AUClast_changed_pct,lambda_window_changed_pct,reliable_old_to_unreliable_new_pct,reliable_new_not_old_pct,lost_by_span_only_pct
base,20000,0.585,0.605,0.585,6.1,0.005,6.01
struct2020,20000,0.56,0.56,0.56,7.82,0.005,7.76
