scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,trial
F090,B0,R,117,34.7325919915419,21.6144722084198,49.9942554528359,,98.6700854700855,87.0444444444445,86.5213675213675,3.344,51.6225111081168,2.77473621690804,11.9653002132646,1.08767519560853,0.668824473952076,3.51591366633144,0.00170940170940171,-0.0280323161499372,0.0946467379095869,0.0953747987407026,-0.0393772785603372,544.65384330974,40.0252730626852,585.275067314908,36.2031927550631,34.0905319167153,38.1453408481804,583.750082941769,569.08479119627,250.5
F090,B0,T,117,31.8661517055072,20.6313812055246,46.9829809110708,,97.765811965812,84.9333333333333,83.9931623931624,3.178,54.024150940088,3.14179107350463,14.0009854215844,1.95664537864077,0.78251048146998,4.2390781646276,0.00170940170940171,-0.029150409606236,0.0963893827098349,0.0975456115566297,-0.0420501282782484,456.979341329682,40.8146600389801,492.223003992588,31.9340974312108,34.7722880496971,33.7091218099774,497.487787527412,478.868326753526,250.5
F090,Bminus,R,117,34.718508902288,21.5816810357068,44.4453392539311,,98.6529914529915,87.191452991453,86.4786324786325,3.374,51.4785920314065,3.3340397761452,13.1892956178941,1.4236679074987,0.865246273413467,3.97316210530709,0.00170940170940171,-0.0282126695134917,0.0948179221837701,0.0955086300553683,-0.0417043436964175,543.419524604046,39.7365093936081,583.289627324464,36.2031927550631,34.0905319167153,38.1453408481804,586.103260128092,569.08479119627,250.5
F090,Bminus,T,117,31.8013982139798,20.6261747449099,42.6573829103922,,97.7435897435898,84.9846153846154,83.9025641025641,3.191,53.8426967615062,3.51082556254597,14.7545135192206,2.20724591011404,0.919591009064293,4.4457733136092,0.00170940170940171,-0.029146615801977,0.0964573852305163,0.0975484060967284,-0.0434276677839576,456.348437772361,40.6287403890826,491.155473384547,31.9340974312108,34.7722880496971,33.7091218099774,498.742983358205,478.868326753526,250.5
F090,D1,R,117,36.0669320232868,21.6589540936969,50.0291306440033,,98.7230769230769,87.7811965811966,87.2923076923077,3.465,50.3529598114758,1.51713371933035,11.1427307782532,0.983140904214392,0.296688224226323,3.46071033252546,0.00170940170940171,-0.0271283480687075,0.0942590048291628,0.0951923202207759,-0.035638915427346,546.487443790589,40.1777787883997,587.505241696562,36.2031927550631,34.0905319167153,38.1453408481804,581.008442300219,569.08479119627,250.5
F090,D1,T,117,32.2401834633555,20.6423077899714,47.8115561970605,,97.8307692307692,85.3709401709402,84.4820512820513,3.295,52.7009565497068,1.92688321329373,13.4783963933264,1.84694841502692,0.386240156162653,4.21292436051777,0.00170940170940171,-0.0284498399563611,0.0961100380539002,0.0975293351805133,-0.0391416125968862,458.242962834569,40.9903649395262,493.87248036708,31.9340974312108,34.7722880496971,33.7091218099774,495.365406885322,478.868326753526,250.5
F090,D2,R,117,36.1156597779375,21.6845836436767,51.7840835311318,,98.7299145299145,87.6034188034188,87.1367521367522,3.452,50.2322599999309,1.39487350473958,11.0775476423193,0.967459264841084,0.263462350319547,3.45365456451756,0.00170940170940171,-0.0270407886906455,0.0942518813134841,0.0952095570247408,-0.035302351007612,546.671053661673,40.1994835806357,587.760304870086,36.2031927550631,34.0905319167153,38.1453408481804,579.894433516571,569.08479119627,250.5
F090,D2,T,117,32.3699600224951,20.6465508890071,48.946071761784,,97.8444444444444,85.3367521367522,84.4581196581197,3.295,52.5572368573785,1.83738714645412,13.423506299977,1.83616555915817,0.358742008094015,4.20189330298649,0.00170940170940171,-0.0283573294917468,0.0961149070942874,0.0975515194697838,-0.0388441982981178,458.385738658462,40.9946564963848,494.047018968856,31.9340974312108,34.7722880496971,33.7091218099774,494.761679616719,478.868326753526,250.5
F090,D3,R,117,36.1156597779375,21.7250119989699,51.7840835311318,,99.1863247863248,89.7521367521368,89.4598290598291,3.694,47.660025890283,0.99469461158522,7.52979765913399,0.643032595402584,0.191619812528017,2.54118750839462,0.00170940170940171,-0.0253392055762499,0.0931622852483048,0.0939682786468757,-0.0308561397793438,549.129409285308,40.0489420025354,590.026142725337,36.2034694478473,34.0887928144387,38.1454808805142,574.638401427731,569.08479119627,250.5
F090,D3,T,117,33.4345038112123,20.6526051317315,48.946071761784,,98.451282051282,87.4871794871795,86.842735042735,3.533,49.5756607060941,1.20693476527104,10.380433625842,1.31767535937343,0.233661817330945,3.77985169464881,0.00170940170940171,-0.0267180492033057,0.0952101112028302,0.096577350213206,-0.0339661174477185,460.571841068377,40.9452613461652,496.234385425164,31.9342457061068,34.77200561016,33.7092448990142,490.329645260575,478.868326753526,250.5
F090,D4,R,117,35.454940359006,21.6528530838251,50.040968874062,,98.7230769230769,87.1128205128205,86.6273504273504,3.467,50.3432122299601,1.58990149718439,11.1753025469395,0.998633728001972,0.315296053863229,3.46985781079487,0.00170940170940171,-0.0271406025646138,0.0943177800517486,0.0952647935228592,-0.0357658676241099,546.377736181589,40.1828958285191,587.404907727561,36.2031927550631,34.0905319167153,38.1453408481804,580.706297930421,569.08479119627,250.5
F090,D4,T,117,32.1991686627185,20.6401411894162,48.0188778491961,,97.8358974358974,84.8427350427351,83.948717948718,3.279,52.6975005266396,2.01660572623633,13.4944790229861,1.85016044033364,0.409584769107019,4.20722618971029,0.00170940170940171,-0.0284206827144214,0.0961272246564509,0.0975374886993917,-0.0393984863949521,458.172777642571,40.9865702616294,493.793863889372,31.9340974312108,34.7722880496971,33.7091218099774,494.837692664872,478.868326753526,250.5
KE110,B0,R,117,34.7325919915419,21.6144722084198,49.9942554528359,,98.6700854700855,87.0444444444445,86.5213675213675,3.344,51.6225111081168,2.77473621690804,11.9653002132646,1.08767519560853,0.668824473952076,3.51591366633144,0.00170940170940171,-0.0280323161499372,0.0946467379095869,0.0953747987407026,-0.0393772785603372,544.65384330974,40.0252730626852,585.275067314908,36.2031927550631,34.0905319167153,38.1453408481804,583.750082941769,569.08479119627,250.5
KE110,B0,T,117,34.0729635276096,20.9362951389777,48.6990632835725,,98.5230769230769,86.9675213675214,86.3094017094017,3.307,52.1232598131374,2.81520030050363,12.1282527543668,1.2852367664603,0.690931532731991,3.67116519250069,0,-0.0280709416477171,0.0954878554103484,0.0963157957473062,-0.0390492793578022,516.288125555052,39.9180322601739,554.695470045401,35.5175803460798,34.1580669722587,37.4344593906914,554.393391556564,539.526762940273,250.5
KE110,Bminus,R,117,34.718508902288,21.5816810357068,44.4453392539311,,98.6529914529915,87.191452991453,86.4786324786325,3.374,51.4785920314065,3.3340397761452,13.1892956178941,1.4236679074987,0.865246273413467,3.97316210530709,0.00170940170940171,-0.0282126695134917,0.0948179221837701,0.0955086300553683,-0.0417043436964175,543.419524604046,39.7365093936081,583.289627324464,36.2031927550631,34.0905319167153,38.1453408481804,586.103260128092,569.08479119627,250.5
KE110,Bminus,T,117,34.0280866602398,20.9319727837922,43.2361160617284,,98.5008547008547,87.0222222222222,86.2393162393162,3.352,51.8325950271469,3.25250041843689,13.1531671764766,1.54576365091036,0.851303393426873,3.98930278352803,0,-0.0280593858153193,0.0955821000092913,0.0963701402430628,-0.0409767344578908,515.398054059103,39.6911225178612,553.236431125889,35.5175803460798,34.1580669722587,37.4344593906914,556.221319925879,539.526762940273,250.5
KE110,D1,R,117,36.0669320232868,21.6589540936969,50.0291306440033,,98.7230769230769,87.7811965811966,87.2923076923077,3.465,50.3529598114758,1.51713371933035,11.1427307782532,0.983140904214392,0.296688224226323,3.46071033252546,0.00170940170940171,-0.0271283480687075,0.0942590048291628,0.0951923202207759,-0.035638915427346,546.487443790589,40.1777787883997,587.505241696562,36.2031927550631,34.0905319167153,38.1453408481804,581.008442300219,569.08479119627,250.5
KE110,D1,T,117,34.6808823273899,20.9522300403751,48.9520184487589,,98.5692307692308,87.3794871794872,86.774358974359,3.426,50.7501178323742,1.62223272812238,11.45464775758,1.19429129478269,0.320822246647679,3.64241898183843,0,-0.0273285350638697,0.0951620021464563,0.0962376501651319,-0.036255048874033,517.836779493859,40.0845013228166,556.647575762091,35.5175803460798,34.1580669722587,37.4344593906914,552.022166982567,539.526762940273,250.5
KE110,D2,R,117,36.1156597779375,21.6845836436767,51.7840835311318,,98.7299145299145,87.6034188034188,87.1367521367522,3.452,50.2322599999309,1.39487350473958,11.0775476423193,0.967459264841084,0.263462350319547,3.45365456451756,0.00170940170940171,-0.0270407886906455,0.0942518813134841,0.0952095570247408,-0.035302351007612,546.671053661673,40.1994835806357,587.760304870086,36.2031927550631,34.0905319167153,38.1453408481804,579.894433516571,569.08479119627,250.5
KE110,D2,T,117,34.7658876260975,20.9571197408883,50.4102367327353,,98.574358974359,87.3076923076923,86.7076923076923,3.434,50.6413213785542,1.52830225369176,11.4244624768788,1.18549145044035,0.293401072593352,3.63618994966203,0,-0.027188613620796,0.0951604909791874,0.0962618519048404,-0.0359478953731849,517.997332438918,40.0967267894124,556.857143589476,35.5175803460798,34.1580669722587,37.4344593906914,551.348763285103,539.526762940273,250.5
KE110,D3,R,117,36.1156597779375,21.7250119989699,51.7840835311318,,99.1863247863248,89.7521367521368,89.4598290598291,3.694,47.660025890283,0.99469461158522,7.52979765913399,0.643032595402584,0.191619812528017,2.54118750839462,0.00170940170940171,-0.0253392055762499,0.0931622852483048,0.0939682786468757,-0.0308561397793438,549.129409285308,40.0489420025354,590.026142725337,36.2034694478473,34.0887928144387,38.1454808805142,574.638401427731,569.08479119627,250.5
KE110,D3,T,117,34.8945169345709,20.965348284282,50.4102367327353,,99.0683760683761,89.6051282051282,89.1965811965812,3.654,48.2406647523191,1.05729023359161,8.39243395309862,0.808982327305683,0.20358693558561,2.95476321709941,0,-0.0256661904309212,0.0941784041763098,0.0951624673605066,-0.031293269393564,520.343302883434,39.9999603765368,559.116912850175,35.5178168100583,34.1571468308723,37.4346262302958,546.350934403958,539.526762940273,250.5
KE110,D4,R,117,35.454940359006,21.6528530838251,50.040968874062,,98.7230769230769,87.1128205128205,86.6273504273504,3.467,50.3432122299601,1.58990149718439,11.1753025469395,0.998633728001972,0.315296053863229,3.46985781079487,0.00170940170940171,-0.0271406025646138,0.0943177800517486,0.0952647935228592,-0.0357658676241099,546.377736181589,40.1828958285191,587.404907727561,36.2031927550631,34.0905319167153,38.1453408481804,580.706297930421,569.08479119627,250.5
KE110,D4,T,117,34.3885091452276,20.9447633817693,49.0217505213788,,98.565811965812,86.9145299145299,86.3128205128205,3.405,51.016869525561,1.70836545688483,11.4525174566224,1.18064872576452,0.339569137163735,3.64541928266806,0,-0.0272821908928731,0.0951761658043555,0.0962361708555024,-0.0364727788328101,517.755505717018,40.0820178652122,556.561268138364,35.5175803460798,34.1580669722587,37.4344593906914,551.995809260746,539.526762940273,250.5
S00,B0,R,117,34.7325919915419,21.6144722084198,49.9942554528359,,98.6700854700855,87.0444444444445,86.5213675213675,3.344,51.6225111081168,2.77473621690804,11.9653002132646,1.08767519560853,0.668824473952076,3.51591366633144,0.00170940170940171,-0.0280323161499372,0.0946467379095869,0.0953747987407026,-0.0393772785603372,544.65384330974,40.0252730626852,585.275067314908,36.2031927550631,34.0905319167153,38.1453408481804,583.750082941769,569.08479119627,250.5
S00,B0,T,117,34.7214732668176,21.4841247032391,50.187677970867,,98.7145299145299,86.948717948718,86.3811965811966,3.373,51.5853868351787,2.73851469985899,11.8221975039946,1.11519996240244,0.653961589950438,3.50289999550943,0,-0.0271238750433033,0.0948092744731916,0.0956087548584911,-0.037935388384741,544.632711218229,39.8355243243443,584.961400723902,36.1780521077328,33.8523919757869,38.0974789090886,583.910998245345,568.382389122473,250.5
S00,Bminus,R,117,34.718508902288,21.5816810357068,44.4453392539311,,98.6529914529915,87.191452991453,86.4786324786325,3.374,51.4785920314065,3.3340397761452,13.1892956178941,1.4236679074987,0.865246273413467,3.97316210530709,0.00170940170940171,-0.0282126695134917,0.0948179221837701,0.0955086300553683,-0.0417043436964175,543.419524604046,39.7365093936081,583.289627324464,36.2031927550631,34.0905319167153,38.1453408481804,586.103260128092,569.08479119627,250.5
S00,Bminus,T,117,34.7049509648476,21.462732593332,44.7794092846133,,98.6888888888889,87.0940170940171,86.3230769230769,3.371,51.3890043386016,3.29018136101065,13.1766165734482,1.4602225084913,0.851717943241584,3.96692546322839,0,-0.0273519904531464,0.094962446042468,0.0957234561926934,-0.0402455346090652,543.417789979632,39.5540768602523,583.024428880979,36.1780521077328,33.8523919757869,38.0974789090886,586.129820717107,568.382389122473,250.5
S00,D1,R,117,36.0669320232868,21.6589540936969,50.0291306440033,,98.7230769230769,87.7811965811966,87.2923076923077,3.465,50.3529598114758,1.51713371933035,11.1427307782532,0.983140904214392,0.296688224226323,3.46071033252546,0.00170940170940171,-0.0271283480687075,0.0942590048291628,0.0951923202207759,-0.035638915427346,546.487443790589,40.1777787883997,587.505241696562,36.2031927550631,34.0905319167153,38.1453408481804,581.008442300219,569.08479119627,250.5
