scenario,schedule,arm,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,trial
F090,B0,R,117,34.5049360373961,21.2292805538511,49.6666711924309,,98.3880341880342,86.9965811965812,86.4410256410257,3.298,52.3062577982687,2.73452721835235,11.9333453405513,1.12960188402918,0.670696391111303,3.57149516172834,0,-0.0273259457319802,0.0947568520396272,0.0955261764010961,-0.0382948937233801,538.951453727033,39.9276764984798,578.991095766093,36.2812942010385,34.0593881851356,38.2222052082558,578.539085772183,562.646629405726,250.5
F090,B0,T,117,30.7935206954312,20.5519955866206,46.611024621241,,97.4119658119658,84.6649572649573,83.6923076923077,3.13,55.0872318488823,3.1049714670664,13.8219258550171,1.90733210524299,0.782243617755233,4.25726606390509,0,-0.0282967534603067,0.0960827322478555,0.0972763929308963,-0.0412854835667568,452.29496460043,40.7522259859481,487.109180484294,31.9424824221393,34.8251285511907,33.72183019323,493.244520608146,473.854976623431,250.5
F090,D2,R,117,35.5721316974545,21.2807420997903,51.4598767655769,,98.4495726495727,87.365811965812,86.8615384615385,3.468,50.5975756977395,1.42223351439021,11.0113759066678,1.0263584666867,0.27452982993991,3.51995978370052,0,-0.0262581744628279,0.0943899969046481,0.0953861066581429,-0.0347378659555229,540.844943381154,40.1076010536516,581.352370003472,36.2813068540254,34.0593975555489,38.2222190522793,575.048166005901,562.646629405726,250.5
F090,D2,T,117,31.1855656657796,20.5626129139302,48.5049327882569,,97.4820512820513,84.9982905982906,84.0940170940171,3.231,53.3737518807838,1.877564885805,13.2493943830239,1.79018755455242,0.379880511587691,4.22224376454489,0,-0.0274388819944951,0.0958915396406521,0.0973467319690305,-0.0381668194953759,453.591074986793,40.9231677325673,488.800152398894,31.9424824221393,34.8251285511907,33.72183019323,490.349415913217,473.854976623431,250.5
KE110,B0,R,117,34.5049360373961,21.2292805538511,49.6666711924309,,98.3880341880342,86.9965811965812,86.4410256410257,3.298,52.3062577982687,2.73452721835235,11.9333453405513,1.12960188402918,0.670696391111303,3.57149516172834,0,-0.0273259457319802,0.0947568520396272,0.0955261764010961,-0.0382948937233801,538.951453727033,39.9276764984798,578.991095766093,36.2812942010385,34.0593881851356,38.2222052082558,578.539085772183,562.646629405726,250.5
KE110,B0,T,117,33.3505721080219,20.7655726213334,48.2985551225461,,98.2205128205128,86.8717948717949,86.1931623931624,3.272,53.2119496640869,2.78466131514783,12.1471116172118,1.32579789701494,0.698038923693344,3.76063981550784,0,-0.0273954320937278,0.0952922640613084,0.096246197811732,-0.0387246983241657,510.373241232629,39.8974448077734,548.341756433541,35.5269189043315,34.2126221557751,37.4485405043261,548.889207635523,533.277482007828,250.5
KE110,D2,R,117,35.5721316974545,21.2807420997903,51.4598767655769,,98.4495726495727,87.365811965812,86.8615384615385,3.468,50.5975756977395,1.42223351439021,11.0113759066678,1.0263584666867,0.27452982993991,3.51995978370052,0,-0.0262581744628279,0.0943899969046481,0.0953861066581429,-0.0347378659555229,540.844943381154,40.1076010536516,581.352370003472,36.2813068540254,34.0593975555489,38.2222190522793,575.048166005901,562.646629405726,250.5
KE110,D2,T,117,33.9293822449949,20.7835949350704,49.9972171645354,,98.2837606837607,87.1264957264957,86.5025641025641,3.388,51.5423360782772,1.57944119182489,11.5056782348365,1.22754119085534,0.309273064841258,3.72067502306415,0,-0.0265257191392129,0.0950551501365956,0.0962101650209068,-0.0353945189832075,511.955063778059,40.0634466631127,550.348518296511,35.5269189043315,34.2126221557751,37.4485405043261,545.281728111641,533.277482007828,250.5
S00,B0,R,117,34.5049360373961,21.2292805538511,49.6666711924309,,98.3880341880342,86.9965811965812,86.4410256410257,3.298,52.3062577982687,2.73452721835235,11.9333453405513,1.12960188402918,0.670696391111303,3.57149516172834,0,-0.0273259457319802,0.0947568520396272,0.0955261764010961,-0.0382948937233801,538.951453727033,39.9276764984798,578.991095766093,36.2812942010385,34.0593881851356,38.2222052082558,578.539085772183,562.646629405726,250.5
S00,B0,T,117,34.5401008013617,21.134881904754,49.7649314404314,,98.4051282051282,87.0598290598291,86.4786324786325,3.29,52.560088203712,2.74105490440957,11.8773930701484,1.15148096156096,0.66942374094713,3.58704787354515,0,-0.0265701236738451,0.0946631787413452,0.095543316510726,-0.0374877398744272,538.225051350463,39.8181927800962,578.093180401023,36.1876029425188,33.9101667826699,38.1121618625248,577.665545675578,561.622954835902,250.5
S00,D2,R,117,35.5721316974545,21.2807420997903,51.4598767655769,,98.4495726495727,87.365811965812,86.8615384615385,3.468,50.5975756977395,1.42223351439021,11.0113759066678,1.0263584666867,0.27452982993991,3.51995978370052,0,-0.0262581744628279,0.0943899969046481,0.0953861066581429,-0.0347378659555229,540.844943381154,40.1076010536516,581.352370003472,36.2813068540254,34.0593975555489,38.2222190522793,575.048166005901,562.646629405726,250.5
S00,D2,T,117,35.5435523111122,21.1819040441684,51.4037601256883,,98.4649572649573,87.4923076923077,86.9504273504274,3.425,50.7553354823885,1.41999094629858,10.9545286379408,1.06407747468103,0.269692575553482,3.53521552839766,0,-0.0255146480584683,0.0943571506400185,0.0954161799454222,-0.034061667061185,540.097672006895,39.9849271168315,580.41312068221,36.1876029425188,33.9101667826699,38.1121618625248,573.707128468155,561.622954835902,250.5
