schedule,n_points,added_points,added_visits_total,a_width_B0_pp,a_width_pp,a_mean_width_rel_decrease,a_paired_lo,a_paired_hi,b_ke110_pass_B0,b_ke110_pass,b_ke110_gain_pp,b_discordant_trials,b_paired_lo,b_paired_hi,c_reliable_B0,c_reliable,c_reliable_gain_pp,d_extrap20_B0,d_extrap20,d_extrap20_ratio,d_mcnemar_p,c_gain_boot_lo,c_gain_boot_hi,d_ratio_boot_lo,d_ratio_boot_hi,d_n_ref,d_n_sched,d_abs_change_per_arm,crit_a,crit_b,crit_c,crit_d,recommend,a_label,n_criteria_evaluable
Bminus,12,-1,-260,17.7578637001383,17.6070358943489,0.00849357830064812,0.00831121676359838,0.00867268637790654,92,92.4,0.400000000000006,2,-0.153805778693158,0.953805778693159,91.875,92.61,0.735,0.784787201931784,1.03149844017309,1.31436705088209,3.55271367880051e-15,0.55,0.915,1.22158911104718,1.43559068743118,156,205,0.28665,FALSE,FALSE,FALSE,FALSE,FALSE,감소,4
D1,15,2,520,17.7578637001383,17.809605429089,-0.00291373612414114,-0.00305311117691814,-0.00278541731867407,92,92,0,0,0,0,91.875,91.67,-0.205,0.784787201931784,0.749383895790374,0.954888017982119,0.0390625,-0.545125,0.150124999999999,0.914105350830862,0.992593954248366,156,149,-0.04095,FALSE,FALSE,FALSE,FALSE,FALSE,확대,4
D2,16,3,780,17.7578637001383,17.8237720841144,-0.0037115041025777,-0.00386433743749957,-0.00356746105887558,92,91.4,-0.599999999999994,3,-1.27758945022669,0.077589450226693,91.875,91.365,-0.51,0.784787201931784,0.749383895790374,0.954888017982119,0.0654296875,-0.875,-0.16,0.91274538590604,0.99390243902439,156,149,-0.04095,FALSE,FALSE,FALSE,FALSE,FALSE,확대,4
D3,17,4,1040,17.7578637001383,17.7388869838141,0.00106863734538509,0.000849319024272468,0.00130332485046224,92,91.8,-0.200000000000003,1,-0.591992796908011,0.191992796908011,91.875,93.175,1.3,0.784787201931784,0.526685393258427,0.671118733794296,8.55426840473684e-14,0.855,1.745,0.599968152866242,0.748252937538652,156,105,-0.29835,FALSE,FALSE,FALSE,FALSE,FALSE,감소,4
D4,15,2,520,17.7578637001383,17.8125461800315,-0.00307933886736489,-0.00321728539822974,-0.00294029140655957,92,91.6,-0.399999999999991,2,-0.953805778693159,0.153805778693158,91.875,90.935,-0.94,0.784787201931784,0.754451262448446,0.961345012496808,0.03125,-1.295,-0.604875000000001,0.928560735671514,0.987878787878788,156,150,-0.0351,FALSE,FALSE,FALSE,FALSE,FALSE,확대,4
