scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F090,B0,500,25.6,81.6,90.2,5,13.4,0.870530867056257,0.966448136925688,-0.0149132282269328,0.025609793832461
F090,D2,500,24.2,82.2,89.4,3.8,14,0.870380925340114,0.9670673897672,-0.0166329285916921,0.025453815906176
KE110,B0,500,96,97.6,98.4,1.2,1.2,0.887837397136848,0.966762057948283,-0.00253652886956766,0.0232681909877003
KE110,D2,500,95.8,97,98.4,1.4,1.6,0.875136297513142,0.967179544979892,-0.00340224803808979,0.0246230829243062
S00,B0,500,100,99.2,99.8,0.8,0,0.883042268637908,0.966825787097955,-0.000176763194703354,0.0239254005157699
S00,D2,500,99.8,99.8,99.8,0.2,0,0.878888517291514,0.967269816086166,0.000296022529416651,0.0243432839425727
