scenario,true_ratio,n_trials,i_last_cmax,i_lo,i_hi,ii_plus_inf_rel,ii_lo,ii_hi,iii_plus_inf_all,iii_lo,iii_hi,cost_ii_pp,cost_ii_lo,cost_ii_hi,cost_iii_pp,cost_iii_lo,cost_iii_hi
S00,1.00120398300937,20000,99.53,99.4252322555148,99.6157446527675,99.225,99.0936585046548,99.3374355456217,99.515,99.4087494525631,99.6022332168009,0.305,0.228575860170518,0.381424139829482,0.015,-0.00197293725818501,0.031972937258185
KE110,0.950246254696442,5000,96.46,95.9110898174771,96.9375753177882,94.48,93.8121765708657,95.079528664102,96.14,95.5696490775797,96.6395073869304,1.98,1.59381405232117,2.36618594767883,0.32,0.163438300696076,0.476561699303924
F097,0.953046300823498,5000,96.94,96.4253964898337,97.3825316515644,95.38,94.7624903638363,95.9278330076304,96.8,96.2750989443254,97.2530441536173,1.56,1.21647794561511,1.90352205438489,0.14,0.036350712427295,0.243649287572705
