model,weight,n,lloq_never_pct,lloq_studyday_median,lloq_studyday_p05,lloq_studyday_p95,lloq_after_day58_pct,c_start1_median,c_start2_median,len1_median,len1_p05,len1_p95,len2_median,len2_p05,len2_p95,tmax_median
k2016,base,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0.879043200268077,1.86636816218381,1.3815220572994,1.32671146732455,1.4285785279045,2.94085101477083,2.8622752947718,3.08745113869904,5.9
k2016,obese_110_130,20000,0,30.8689164117073,21.9854491897564,43.6068547429705,0.13,0.893894059182422,1.90534453338931,1.3853690450879,1.32713207114313,1.43921193618034,2.95601521962643,2.85633842452899,3.13106905252702,5.6
k2016,obese_90_110,20000,0,33.755608587223,23.8128856053133,47.4232491717635,0.44,0.886440063793401,1.8847032037426,1.38332100800035,1.32625841217333,1.43604508567467,2.94961881220278,2.85964613714166,3.11329841339149,5.7
k2016,obese_130_150,20000,0,28.6617068049436,20.2784353000337,40.4220050482377,0.035,0.906072298159003,1.93563077135253,1.38729973757619,1.32747422661103,1.44347294864357,2.96309602695299,2.85113455712297,3.1506370964085,5.45
k2020,base,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0.890140885272395,1.87858971518157,1.38301245217869,1.32538525631915,1.42223477258374,2.93655451908038,2.86850637312809,3.02081139284767,5.75
k2020,obese_110_130,20000,0,33.2477007370275,23.0570744477399,47.177596104677,0.415,0.881530257020049,1.8562560112318,1.38101648852827,1.3227238628335,1.42024686692501,2.93050806151236,2.85297646032896,3.0179808241539,5.45
k2020,obese_90_110,20000,0,36.2040208930217,25.231051253523,50.9517403076541,1.105,0.883621808505528,1.86176832106799,1.38176720817186,1.32370066316451,1.42104950364512,2.93252220897959,2.86010463361883,3.01784765599222,5.6
k2020,obese_130_150,20000,0,31.0495622664914,21.2921261184705,44.1575420183053,0.17,0.875808051245547,1.84284812608063,1.37981532512409,1.32096181283253,1.41951693327678,2.92689260860494,2.84306500721246,3.01482249590052,5.3
