model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,base,nominal,1,current,현행,20000,7,19.965,19.4167935739811,20.5247420319091,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,17.3687350835322,0,0
k2016,base,nominal,2,current,현행,20000,7,42.495,41.8114041646359,43.1814782965663,0,0,0.0192036056104625,0,0,0.0192036056104625,15517,37.3976928529999,0,0
k2016,base,nominal,1,plus_39_46,+Day 39·46,20000,3,30,29.3687891728534,30.6388922693908,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,29.3436754176611,0,0
k2016,base,nominal,2,plus_39_46,+Day 39·46,20000,3,62.735,62.0625158619859,63.4025929796651,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,15517,63.4852097699298,0.00644454469291745,0
k2016,base,nominal,1,plus_39_46_53,+Day 39·46·53,20000,3,31.415,30.7753169423849,32.0618210378205,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,31.0322195704057,0,0
k2016,base,nominal,2,plus_39_46_53,+Day 39·46·53,20000,3,65.26,64.5972364051086,65.9169026544591,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,15517,66.7397048398531,0.00644454469291745,0
k2016,base,nominal,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,37.145,36.4778701772252,37.8170670697773,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,37.8699284009547,0,0
k2016,base,nominal,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,78.065,77.486144644845,78.6330763713259,0.1,0.0647466046427273,0.154418593756514,0,0,0.0192036056104625,15517,83.2441837984147,0.00644454469291745,0
k2016,base,nominal,1,plus_40_47,+Day 40·47,20000,3,29.405,28.7775653120812,30.0403446530697,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,28.6336515513127,0,0
k2016,base,nominal,2,plus_40_47,+Day 40·47,20000,3,61.225,60.5476421116532,61.8980466788872,0,0,0.0192036056104625,0,0,0.0192036056104625,15517,61.5389572726687,0,0
