model,scenario,source,n_trials,GMR_mean_AUCinf_reliable,GMR_mean_AUCinf_true,GMR_mean_AUClast,GMR_mean_Cmax,pass_rate_AUCinf_reliable,pass_rate_AUCinf_true,pass_rate_AUClast,pass_rate_Cmax,pass_lo_AUCinf_reliable,pass_lo_AUCinf_true,pass_lo_AUClast,pass_lo_Cmax,pass_hi_AUCinf_reliable,pass_hi_AUCinf_true,pass_hi_AUClast,pass_hi_Cmax,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,cor_logGMR_last_infrel,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi
k2016,F085,"5,000회 이상",5000,0.781598167848949,0.767193547976117,0.762423085189623,0.825181654898184,1.86,0.38,0.34,16.32,1.52078905407753,0.243413885088568,0.212393679582944,15.3216069452449,2.27312528919257,0.592772855938902,0.543854477600129,17.3701054577741,98.12,97.7049321481197,98.461184216688,0.18,0.0947293507681199,0.341764471037372,0.85056751094291,0.32,0.197072782190237,0.519206083070639
k2016,F090,"5,000회 이상",5000,0.853309142642602,0.843405312330572,0.84022220119052,0.883818504510878,33.36,28.16,23.44,73.24,32.0663101071374,26.9304306970981,22.2864617695121,71.9953989726739,34.6792390135941,29.423102523862,24.6343185578093,74.4489182409199,83.8,82.7528392731668,84.7952640753474,3.14,2.69143004434349,3.66051898194726,0.859341780867983,23.1,21.9526766408566,24.2886257237875
k2016,F097,"5,000회 이상",5000,0.955989197068178,0.953046300823498,0.952272010174969,0.966001733214349,96.76,98.06,96.98,99.72,96.2322028260584,97.6391691574641,96.4683862661951,99.5305274261626,97.2160016880399,98.4070393315771,97.4194804590474,99.8331322924209,97.02,96.5113979480873,97.4564073609995,1.6,1.28751750275618,1.98679604552535,0.871928202537362,96.94,96.4253964898337,97.3825316515644
k2016,F110,"5,000회 이상",5000,1.15485704645776,1.1648253807708,1.16872484653914,1.11886472880168,49.22,45.12,39.34,83.58,47.8353955187,43.7449837021969,37.9946388883726,82.5274556792564,50.6058020963343,46.5025090687868,40.7017285170961,84.5809854581136,83.52,82.4659988965002,84.5225343651032,3.3,2.8395990126239,3.83210434904444,0.886245794383319,38.76,37.4186883413495,40.1185695983754
k2016,KE110,"5,000회 이상",5000,0.950468630840721,0.950246254696442,0.949280804264344,0.983007311516432,96.12,97.86,96.46,99.96,95.5483430136584,97.4206134768852,95.9110898174771,99.8542613498577,96.6208441589296,98.2259020929339,96.9375753177882,99.9890298717922,96.38,95.8256304354039,96.8631575321726,1.98,1.62910955983785,2.40462053496544,0.873213296545434,96.46,95.9110898174771,96.9375753177882
k2016,KE120,"5,000회 이상",5000,0.904880026037138,0.904609074222584,0.902528708936089,0.965605961906369,77.22,82.32,76.7,99.7,76.0368297914805,81.2378598426599,75.5080127181829,99.5055834044251,78.3613765146306,83.3525159036116,77.8509919979511,99.8181070222362,87.2,86.2453238970416,88.0975590782462,6.14,5.50766787752418,6.83967493709623,0.872408025501439,76.7,75.5080127181829,77.8509919979511
k2016,S00,"5,000회 이상",20000,1.00119570997583,1.00120398300937,1.00134948458408,1.00117199981782,99.52,99.775,99.555,99.965,99.4142411222303,99.699090398009,99.4527575112284,99.927765154673,99.6067396267732,99.8317924126058,99.6382097952511,99.9830446822405,99.425,99.3103008822864,99.5207163535676,0.305,0.2375347333783,0.391551730237939,0.874280489242336,99.53,99.4252322555148,99.6157446527675
k2016,VM125,"5,000회 이상",5000,0.88885202122673,0.865915949614798,0.858104537578925,0.958205040055473,62.88,48.04,36.94,99.18,61.5314577561898,46.6571969543906,35.6127104507117,98.8895373930081,64.2087662417055,49.4258124372341,38.2873419240932,99.3949514436761,71.54,70.2731291800306,72.7737982201763,1.26,0.986111299635937,1.60872428596823,0.838856632753313,36.94,35.6127104507117,38.2873419240932
k2016,VM150,"5,000회 이상",20000,0.800756684798154,0.757501318389217,0.743044526462148,0.916116138329593,4.675,0.23,0.08,89.73,4.39103434258985,0.172490362609337,0.0492508570139353,89.3016274449124,4.97637372589603,0.306624906415318,0.129922022827551,90.1431133700695,95.405,95.1060015275384,95.6865596782067,0,0,0.0192036056104625,0.797184365719524,0.08,0.0492508570139353,0.129922022827551
k2016,KA075,500회,500,0.967330387242629,0.949235520841511,0.949445519980511,0.877545840621131,97.4,95.8,94.8,64.2,95.6028509165776,93.664841424567,92.4898856062154,59.9042290710208,98.4743616076673,97.2367689891548,96.4269734884295,68.2792396598711,96.6,94.6228634498365,97.8665480191468,0.4,0.109763052268279,1.4465715215177,0.871349052667303,64,59.7006617075836,68.085856759493
k2016,KM05,500회,500,1.00112302866658,0.999435787114927,1.00012990871494,0.9997271580258,99.8,100,100,100,98.8759293294853,99.2375659538448,99.2375659538448,99.2375659538448,99.9646863605441,100,100,100,99.8,98.8759293294853,99.9646863605441,0.2,0.0353136394559275,1.12407067051468,0.886696106482328,100,99.2375659538448,100
k2016,KM10,500회,500,0.988799009216201,1.00601494802732,1.0096339725119,1.00120418432201,99.6,100,99.6,100,98.5534284784823,99.2375659538448,98.5534284784823,99.2375659538448,99.8902369477317,100,99.8902369477317,100,99.2,97.9612964165895,99.6884684819938,0.4,0.109763052268279,1.4465715215177,0.889456287802174,99.6,98.5534284784823,99.8902369477317
k2016,KM2,500회,500,0.99980293464357,1.00052960339317,1.00156977443969,0.999995779278206,99.6,100,100,100,98.5534284784823,99.2375659538448,99.2375659538448,99.2375659538448,99.8902369477317,100,100,100,99.6,98.5534284784823,99.8902369477317,0.4,0.109763052268279,1.4465715215177,0.886167255919835,100,99.2375659538448,100
k2016,KM5,500회,500,0.99579005567236,1.00263210696013,1.00452131790523,1.00047566890587,99.6,100,99.8,100,98.5534284784823,99.2375659538448,98.8759293294853,99.2375659538448,99.8902369477317,100,99.9646863605441,100,99.4,98.2509747895947,99.795740372804,0.4,0.109763052268279,1.4465715215177,0.886934692094823,99.8,98.8759293294853,99.9646863605441
k2016,VM080,500회,500,1.11692619668542,1.13529708384911,1.14324868608918,1.03507550376047,72.8,66.4,57.8,99.6,68.7367392954753,62.148722415566,53.4276977868969,98.5534284784823,76.515590779478,70.4011992172951,62.0533625019029,99.8902369477317,82.6,79.0318402100132,85.6710527918936,1.2,0.55109951740277,2.59303611164473,0.903864678109344,57.8,53.4276977868969,62.0533625019029
k2020,F085,500회,500,0.781512077279171,0.767826266118908,0.763735197279041,0.825569876056134,2,0.6,0.4,15.6,1.08991835962108,0.204259627196024,0.109763052268279,12.6830791403845,3.64201832468793,1.74902521040534,1.4465715215177,19.0414754833703,98.4,96.8748891466606,99.1870746966612,0,4.33680868994202e-17,0.762434046155224,0.894522048323269,0.4,0.109763052268279,1.4465715215177
k2020,F090,500회,500,0.853131660920233,0.843770598013933,0.841125975970661,0.883571183540216,33,25.8,22.4,74.6,29.0217899729181,22.1596200222813,18.9638971259908,70.6069079408103,37.2374376027747,29.8093980560578,26.2569664674869,78.2179745084814,87,83.7678638423086,89.6679349635365,1.2,0.55109951740277,2.59303611164473,0.907463033996114,21.8,18.4033726435988,25.6266401584327
k2020,F097,500회,500,0.955301712865352,0.952835917990634,0.952341224318096,0.964873218384642,94.6,94.8,94,99.8,92.2573438489353,92.4898856062154,91.563893687478,98.8759293294853,96.2625649818943,96.4269734884295,95.7651643519054,99.9646863605441,96.6,94.6228634498365,97.8665480191468,1.4,0.679778979084349,2.86130691377853,0.91894538222027,94,91.563893687478,95.7651643519054
k2020,F110,500회,500,1.15514678334248,1.16291026075534,1.16653745706595,1.11610543378793,46.2,41,37.6,86,41.8756295158793,36.7735069407676,33.4640015819233,82.6833135055546,50.5823154716285,45.3637311875403,41.9250820615233,88.7677339812137,85.8,82.4670332675225,88.5870639554304,2.8,1.67509747207565,4.64464026749489,0.928172785686075,37.6,33.4640015819233,41.9250820615233
k2020,KA075,500회,500,0.970076089894487,0.953820421915215,0.953829307020274,0.880919318857585,96.4,93.8,92.8,69.6,94.3815673031972,91.3340286898362,90.1931595983038,65.4313321596336,97.7108939019707,95.5980790857318,94.7541968581874,73.4697936942735,95.2,92.957280316411,96.7534793058647,0.6,0.204259627196024,1.74902521040534,0.908707327595793,69.2,65.0198001317323,73.0874251945441
k2020,KE110,500회,500,0.948404298024021,0.948211598506078,0.947496549006021,0.982345246945175,92.4,93.6,92.2,100,89.7403586326032,91.1047591162316,89.5146450126611,99.2375659538448,94.4130972962572,95.4303983955211,94.2418606523839,100,94.2,91.7943812143745,95.9316270888243,2.8,1.67509747207565,4.64464026749489,0.920115512358304,92.2,89.5146450126611,94.2418606523839
k2020,KE120,500회,500,0.901746381402876,0.901338984236034,0.89951270806825,0.965756030611016,73,74.4,70.8,99.8,68.9441342590792,70.3987030046481,66.6680768203622,98.8759293294853,76.7051460796894,78.0292291808281,74.6147506164373,99.9646863605441,89.4,86.3949069989267,91.804294972703,4.2,2.76323101084517,6.33515857543301,0.919315274653006,70.8,66.6680768203622,74.6147506164373
k2020,KM05,500회,500,1.00128628696331,1.0000383013963,1.00041338708123,0.999576863339941,99.2,99,99,100,97.9612964165895,97.6806900244269,97.6806900244269,99.2375659538448,99.6884684819938,99.572124610341,99.572124610341,100,99.4,98.2509747895947,99.795740372804,0.2,0.0353136394559275,1.12407067051468,0.924215941626131,99,97.6806900244269,99.572124610341
k2020,KM10,500회,500,0.993723905620045,1.00663284294833,1.00948538247482,1.00141300102623,99,99.6,99.4,100,97.6806900244269,98.5534284784823,98.2509747895947,99.2375659538448,99.572124610341,99.8902369477317,99.795740372804,100,98.4,96.8748891466606,99.1870746966612,1,0.42787538965905,2.31930997557307,0.921526969191539,99.4,98.2509747895947,99.795740372804
k2020,KM2,500회,500,1.00001555975387,1.00128273915174,1.00202386287757,1.00000997044438,99.6,99.2,99,100,98.5534284784823,97.9612964165895,97.6806900244269,99.2375659538448,99.8902369477317,99.6884684819938,99.572124610341,100,99,97.6806900244269,99.572124610341,0.2,0.0353136394559275,1.12407067051468,0.920238048012477,99,97.6806900244269,99.572124610341
k2020,KM5,500회,500,0.998429480522018,1.00340245629519,1.00488787299556,1.00061186185899,99.4,99.6,99.2,100,98.2509747895947,98.5534284784823,97.9612964165895,99.2375659538448,99.795740372804,99.8902369477317,99.6884684819938,100,99,97.6806900244269,99.572124610341,0.4,0.109763052268279,1.4465715215177,0.920057306555405,99.2,97.9612964165895,99.6884684819938
k2020,S00,500회,500,1.00090003103842,1.00048740191081,1.00098806219679,0.999746224134106,99.4,99.2,99,100,98.2509747895947,97.9612964165895,97.6806900244269,99.2375659538448,99.795740372804,99.6884684819938,99.572124610341,100,99.2,97.9612964165895,99.6884684819938,0.2,0.0353136394559275,1.12407067051468,0.921484058033373,99,97.6806900244269,99.572124610341
