scenario,endpoint,gmr_geo,n_R_mean,n_T_mean,n_trials,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,truth,rel_bias_pct,model
F_down_070,AUCinf_A,0.721424420738821,94.0885,85.4275,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.699807988054843,3.08890910834867,k2016
F_down_070,AUCinf_B,0.711855287378282,115.373,112.599,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.699807988054843,1.72151497683319,k2016
F_down_070,AUCinf_C,0.693865490052646,117,117,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.699807988054843,-0.849161213308669,k2016
F_down_070,AUCinf_true,0.699119733191684,117,117,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.699807988054843,-0.0983491007400916,k2016
F_down_070,AUClast,0.692756519022043,117,117,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.699807988054843,-1.00762911443745,k2016
F_down_070,Cmax,0.771074433466533,117,117,2000,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,0.774767560437703,-0.476675477879296,k2016
F_down_075,AUCinf_A,0.767857646935624,94.0885,87.4975,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.749826891958083,2.40465568398802,k2016
F_down_075,AUCinf_B,0.759623535094546,115.373,113.323,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.749826891958083,1.30652064383556,k2016
F_down_075,AUCinf_C,0.744954730944343,117,117,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.749826891958083,-0.649771442714853,k2016
F_down_075,AUCinf_true,0.749103331077615,117,117,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.749826891958083,-0.0964970566177614,k2016
F_down_075,AUClast,0.743786225327101,117,117,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.749826891958083,-0.805608160465943,k2016
F_down_075,Cmax,0.810516699208218,117,117,2000,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,0.813731535043091,-0.395073276188385,k2016
F_down_080,AUCinf_A,0.815513433414935,94.1978,89.1771,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.79988525403249,1.95380266152647,k2016
F_down_080,AUCinf_B,0.8085148127836,115.4059,113.8702,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.79988525403249,1.07884958593814,k2016
F_down_080,AUCinf_C,0.796886472163858,117,117,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.79988525403249,-0.374901506624092,k2016
F_down_080,AUCinf_true,0.800002512691051,117,117,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.79988525403249,0.0146594349589524,k2016
F_down_080,AUClast,0.795838804699113,117,117,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.79988525403249,-0.505878726101916,k2016
F_down_080,Cmax,0.850633627147917,117,117,10000,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,0.852080931927538,-0.169855318361278,k2016
F_down_085,AUCinf_A,0.861428079498168,94.0885,90.4775,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.849895789156433,1.35690639827517,k2016
F_down_085,AUCinf_B,0.855397124079085,115.373,114.391,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.849895789156433,0.647295232291034,k2016
F_down_085,AUCinf_C,0.846744825764542,117,117,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.849895789156433,-0.37074702947032,k2016
F_down_085,AUCinf_true,0.849102969285693,117,117,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.849895789156433,-0.0932843627248547,k2016
F_down_085,AUClast,0.845949041228181,117,117,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.849895789156433,-0.464380219152405,k2016
F_down_085,Cmax,0.887553945347823,117,117,2000,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,0.889807878836767,-0.253305634008372,k2016
F_down_090,AUCinf_A,0.907452087408381,94.0885,91.873,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.899812601831346,0.849008511493032,k2016
F_down_090,AUCinf_B,0.90320985980485,115.373,114.7875,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.899812601831346,0.377551722057401,k2016
F_down_090,AUCinf_C,0.897548050382256,117,117,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.899812601831346,-0.251669230291007,k2016
F_down_090,AUCinf_true,0.898986138519497,117,117,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.899812601831346,-0.0918483815593452,k2016
F_down_090,AUClast,0.896934352253449,117,117,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.899812601831346,-0.319872112486441,k2016
F_down_090,Cmax,0.925156575982435,117,117,2000,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,0.926930552456146,-0.191381810536995,k2016
F_down_095,AUCinf_A,0.953453743251664,94.0885,93.071,2000,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,0.949920923227653,0.371906749038375,k2016
F_down_095,AUCinf_B,0.95117745794966,115.373,115.1285,2000,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,0.949920923227653,0.132277823477978,k2016
F_down_095,AUCinf_C,0.948430941282871,117,117,2000,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,0.949920923227653,-0.156853260976642,k2016
