product,true_auc_ratio,auc_se_log,true_cmax_ratio,cmax_se_log,n_subjects
1,1.02512760915237,0.000299924830527489,1.19954636350332,0.00016903181906658,1000
2,1.46368682824234,0.00122559355987809,1.21989399398961,0.000886206994545379,1000
3,1.01471286745353,0.00203267299899346,1.00260006437133,0.000965869865871976,1000
4,1.14256685419778,0.000887614841262666,1.0532636390133,0.00100171194750633,1000
5,1.02014601931589,0.000405755783465527,0.975471475294296,0.00025236502854339,1000
6,0.755716376022276,0.00260280707175177,0.758071684990981,0.00148837506685317,1000
7,0.736373968764398,0.00272729700523312,0.80363351129373,0.00162603393731821,1000
8,0.804032953848383,0.0026900749412611,0.809647887548551,0.00148576106526737,1000
9,0.899230653397035,0.00225590713798567,0.867613708108954,0.00175209910760062,1000
10,1.31674651944892,0.0015720544553349,1.3141350281437,0.00161250042621638,1000
11,1.32958217526404,0.00154335844720509,1.10102833330129,0.000649566517807264,1000
12,0.744621710640819,0.0033614757118485,0.853111363730343,0.00188139184822747,1000
13,0.905919792272755,0.00238201920102594,0.992233114855607,0.00158871401335014,1000
14,1.38686887167716,0.000794525259107998,1.25017741434955,0.000873706967341363,1000
15,1.01681616119344,0.00033210642033666,1.1367877335524,0.00036478906481986,1000
16,1.00319889444257,0.00100065360172759,0.826523545254036,0.000659123851553655,1000
17,0.938121788440782,0.000979733956563119,0.894414654021112,0.000894267910134289,1000
18,0.889659048574973,0.000678516330721589,0.753422323742452,0.000525357955553804,1000
19,0.720482186615201,0.0017254089293687,0.674850036421387,0.0015103457627235,1000
20,1.20435885596322,0.000457348208992768,1.00773695673113,0.00039533896920236,1000
21,1.2701629808641,0.000439969141798177,1.1740055741713,0.000294415195322176,1000
22,1.85535137713061,0.00191783575652917,1.33225725507643,0.00144153592738801,1000
23,1.19194655347307,0.000730189576272875,1.31852081419337,0.000320739814128596,1000
24,1.02561883641075,0.00193708976279546,1.03693412963289,0.00083123158728005,1000
25,0.75843412655294,0.00101300073727536,1.06927433517012,0.000369403078165056,1000
26,1.17834078861035,0.000851758033681215,0.978350970156694,0.000341927082180865,1000
27,0.768027963301947,0.000466661925851787,0.905076671655766,0.000388907016973972,1000
28,1.1992442591188,0.000652217624527034,0.987161312110626,0.000548394714660604,1000
29,1.39908793748503,0.000968107796471843,1.20248339379797,0.00079569219524193,1000
30,1.19610143642143,0.000425832483972493,1.02324573372955,0.000400401502821531,1000
31,1.19593868900396,0.00059418893376173,0.958908383586548,0.000560914740493992,1000
32,0.982293880932145,0.000421760068388881,0.943729336080581,0.000147135283846715,1000
33,1.07484130725015,0.00137828367745444,1.16303175277239,0.000780975733028162,1000
34,1.10152025910079,0.000725216665368922,0.975177531965515,0.000614484463243884,1000
35,0.828726293414142,0.0034881264237933,0.863439211721223,0.00258781619954655,1000
36,0.950264022107472,0.000342934444654392,1.12181310007806,0.000219585718780052,1000
37,1.10117232114658,0.00142903517753928,1.32003360887113,0.000796467872850703,1000
38,1.40479336505548,0.00151457653038061,1.20412637324161,0.00162990905429367,1000
39,0.86066598245714,0.000925886466751599,0.999261737697387,0.000574858443690632,1000
40,0.975863140846561,0.00240966764150893,0.950517293422712,0.00190562621827652,1000
41,0.782405229822693,0.000422166714921798,0.96255308416161,0.000442488177092257,1000
42,0.715149749373348,0.00156693852642827,0.837956394482905,0.00145269042310586,1000
43,0.91624510592404,0.00127187285405202,0.95389476030802,0.000433178122510995,1000
44,1.07732409171658,0.00102610634183598,0.969485025166149,0.000597643370283696,1000
45,1.24184089352312,0.000752259637735753,1.42707546346768,0.000818602778205783,1000
46,0.880845140473229,0.00164016108650979,0.952977551971545,0.000785384466975827,1000
47,0.512929945238857,0.0077622865455301,0.617984415184711,0.0050167871409198,1000
48,0.992012234947711,0.0008449361504652,1.02909322625157,0.000859810161591717,1000
49,0.838140353213136,0.00101168930372718,0.858600153574067,0.00093963892233447,1000
50,1.06358245254494,0.00096382911912815,1.16662708501813,0.000343954482579656,1000
51,0.550570696672276,0.00653106516535955,0.650124840317225,0.00448300033641883,1000
52,1.21726430050335,0.000367214889355667,1.17674370224087,0.000501034135663453,1000
53,0.908738696210841,0.00208353468368703,1.01388973403958,0.00106404181884737,1000
54,0.659300136833359,0.00231457404174666,0.865812501451958,0.00100489005280475,1000
55,0.687307725756293,0.00190737741405347,0.854809672660684,0.00161226057412829,1000
56,1.12896943916615,0.00056931051351445,1.07806545198493,0.000310642709542178,1000
57,0.702033594425817,0.0026065451538324,0.721435374525879,0.00236014526681555,1000
58,0.767182594900199,0.00103967443021399,0.909456516505131,0.000794183716417842,1000
59,0.671163189504951,0.00510274375612212,0.737380920567199,0.0035338410961286,1000
60,0.873425279218683,0.000281983234811843,0.928460674020091,0.000164790905262591,1000
61,0.935737654851809,0.000863024773028043,0.962184483652015,0.000695189517327969,1000
62,1.24141418542846,0.000751882480813236,1.0923422951894,0.00102108707510461,1000
63,1.07816366935871,0.00223642695196516,1.04986626052448,0.00156006009153399,1000
64,1.02716674392708,0.00165932089697646,1.11205699320152,0.000575292014276826,1000
65,1.39979268492982,0.00149109200086525,1.20977248727049,0.00136440674703715,1000
66,1.09901967729303,0.000964481917722184,0.971975848593281,0.000771629022856494,1000
67,1.03982173851492,0.00105404794763937,1.13960058541927,0.000375200749565897,1000
68,0.754450845649189,0.000712333314857805,0.92998130613727,0.000727851772892465,1000
69,1.35107242741195,0.00124949172105402,1.04756491975218,0.000489893297439985,1000
70,1.017411808308,0.00148142511280534,1.07875906894293,0.00109876231280075,1000
71,0.670509247489601,0.00148609148939373,0.741961513851255,0.00128704674547677,1000
72,1.12513688951496,0.00113716226993085,0.993226768065722,0.00064159284406252,1000
73,1.58804102778802,0.00261251820768388,1.46347555257094,0.00166674335658197,1000
74,0.772579678135775,0.00483617493036405,0.774870019100594,0.00315293274800716,1000
75,0.509734823910136,0.00348695859833273,0.70386039208739,0.00252347943954343,1000
76,0.967987533315219,0.00104147975880104,0.941259645057164,0.00129314249263351,1000
77,1.32813902118965,0.00174188069814514,1.20333931826795,0.000978243433985073,1000
78,0.884195140763582,0.00327102303254166,0.819706547550289,0.00224770319658263,1000
79,0.810814344513604,0.00125513015913491,0.948366600592692,0.000531237928994207,1000
80,0.896660484317996,0.00179369997808963,0.814188807039241,0.00150473998177054,1000
81,0.904973614798769,0.00131922771449749,1.06292247295409,0.00040759666596436,1000
82,1.34709466645715,0.00139246377429339,1.2084096618872,0.00113298625154327,1000
83,0.777500272676393,0.000865897159255437,0.841597822924371,0.000276708842115104,1000
84,1.34344730999679,0.000804313028356592,1.14848315249821,0.000672948404810627,1000
85,0.713508450805297,0.00380996841560732,0.813988201293631,0.0027428441999937,1000
86,0.847561183906069,0.00105999946048445,0.939655796260902,0.00101783174408155,1000
87,1.10283011045057,0.00124696276649906,0.990812705407673,0.000568632451734179,1000
88,0.598167751659354,0.0070426291137636,0.679570887563432,0.00474888016071793,1000
89,1.03319280902728,0.000357719910806803,0.998271777131343,0.000285874582606697,1000
90,0.978807031554994,0.0004683627926794,1.1972674229773,0.000331983462055198,1000
91,0.854532474108253,0.000525160176861838,1.0285807592654,0.000380405874947081,1000
92,1.03391198599258,0.00104368798042246,1.01698310007656,0.00125929302927819,1000
93,1.63858099809719,0.00198475730203647,1.33555741046213,0.00185587080415846,1000
94,0.594128857291022,0.00410286847450746,0.727644145168161,0.00300227093286387,1000
95,1.52959550687934,0.00222487670081048,1.33440457415916,0.00193805671917867,1000
96,1.0528987624698,0.000936663078749667,1.17010374625165,0.0010919706793689,1000
97,1.16217563001128,0.00202966235588201,1.13192782879415,0.000957672777770029,1000
98,0.943183832276782,0.000420279501705567,0.866310970885505,0.000400690985489288,1000
99,1.27420832369791,0.000854516087685661,1.06522558253343,0.000887671746459016,1000
100,1.01534858448916,0.000387725124396369,1.2415503668088,0.000156322781169378,1000
101,1.28980172896773,0.00191577498683884,1.23410912914828,0.00135443604618016,1000
102,1.20219058998899,0.00149436683511716,1.10188212983846,0.000525774230443036,1000
103,0.646417228853814,0.00164412505935639,0.736954932933519,0.00119494412521116,1000
104,1.03297647585794,0.00137434361758901,1.03391202974131,0.000521286759698491,1000
105,0.608699888204258,0.00148267994384244,0.872206349874586,0.00112956188075105,1000
106,0.70075673066932,0.000661071148048032,0.858181036700946,0.000391908809794737,1000
107,1.39643317336178,0.000820147330911136,1.04835022380695,0.000673048309070391,1000
108,1.15767142036916,0.000259662843503185,0.92412386470101,0.000568332299485706,1000
109,0.648827031366341,0.00431492618266356,0.696279230767198,0.00278871155742424,1000
110,1.0431228986307,0.0012877795775217,1.0849747669482,0.00123854223429953,1000
111,0.761139396392118,0.00244898756639078,0.876932527393572,0.00137994806041925,1000
112,0.94806592466111,0.000361441860897453,0.990262419595375,0.000230454526960776,1000
113,0.97647147972821,0.000743402337929228,1.1670732514811,0.000279030753996509,1000
114,0.669644653275042,0.00280707837287867,0.74234510901718,0.00210187821888026,1000
115,0.927092016630723,0.000662034879578942,1.11268335166787,0.000309060175751954,1000
116,1.08149031521538,0.00119261153381826,0.986355148491023,0.000406924252185225,1000
117,0.557146458202068,0.00478551617829755,0.7132975731177,0.00298398444656909,1000
118,0.564047415358726,0.00669041451013305,0.636194847989116,0.00437731546767926,1000
119,1.20002910360628,0.0014341386632716,1.36990897091456,0.00093189373738875,1000
120,0.94948696579831,0.00143068953111205,0.985439725256536,0.00133742727326351,1000
121,0.544780736927592,0.0029607203904882,0.707431686883175,0.00222639557370819,1000
122,1.05537327054301,0.000643540923431597,1.17381168779081,0.000718182511965628,1000
123,1.5137258475199,0.00178612893881816,1.26710306445745,0.001459943526229,1000
124,1.592472420495,0.000872920968823006,1.17891902581998,0.000629947471547779,1000
125,1.02017649907069,0.000464022097593114,0.994402681567515,0.000318766670763133,1000
126,0.931337003459226,0.000269355172584317,0.891633565572683,0.00027690187685462,1000
127,1.83432258853934,0.00222665795584212,1.49720732813033,0.00200768548271973,1000
128,1.10628214001127,0.000672035386416379,0.947796168063753,0.000355972964374479,1000
129,0.881069436647507,0.000336139258667998,1.07750264247622,0.00024737341240484,1000
130,1.21661382086445,0.00186820462638968,1.13486098919725,0.00128273297436344,1000
131,0.764897589627024,0.00520692155533078,0.767486367757157,0.00335104140852477,1000
132,0.762441587244171,0.00282843583428202,0.738036454003883,0.0022409440328482,1000
133,1.09070696503028,0.0018249108104047,1.11210405920125,0.0012631120337638,1000
134,0.790488754889897,0.00123199739136234,0.959747377043463,0.000375237616306471,1000
135,0.778625217739272,0.00184099347583838,0.972797579480923,0.00125900270965389,1000
136,0.660095806203827,0.0025798400759491,0.872740513550835,0.0014995679638375,1000
137,1.50087182093391,0.0013708212182386,1.43239857442373,0.00140500152551879,1000
138,1.59886617698845,0.00264570412708048,1.3740012648626,0.00141438066582181,1000
139,1.00043891468429,0.00235257072104211,1.00586599079254,0.00192149049988093,1000
140,1.13471152182159,9.10898232081225e-05,1.23637524431658,8.56326312421351e-05,1000
141,0.879943502740842,0.000950931183091813,1.01454615336794,0.000539090183076165,1000
142,1.52317950941861,0.000905695406228608,1.1531454106667,0.000382406378633013,1000
143,1.69128058652958,0.00233851806323919,1.34069842828411,0.00145660532614132,1000
144,0.513236833792122,0.00315236978907305,0.746754119167395,0.0022311614430799,1000
145,1.30519427412392,0.000365510738412605,1.08136578361578,0.000349330957310095,1000
146,1.57200675348019,0.0013921377213353,1.24311351640415,0.00117681178096943,1000
147,0.973618168215411,0.000875072687146887,1.05245367842193,0.00085945019539229,1000
148,0.779350780502268,0.000452109984387878,0.776588903000255,0.00067056481834245,1000
149,1.0939896621184,0.000828071594247767,0.985926208315247,0.000395716297538595,1000
150,0.776900502297291,0.0019914722730083,0.885939305263815,0.00190097765343018,1000
151,0.962481351382476,0.000152614868173768,0.96806652638619,0.000140900259407694,1000
152,0.822806311085733,0.000309494985792328,0.859797013908229,0.000560941099425303,1000
153,0.834702298859357,0.00311182162277657,0.870777702731432,0.00248963743552421,1000
154,0.715910150321562,0.00393892952972135,0.745578382893608,0.00261741758491565,1000
155,1.12746875457323,0.000289711086762481,1.31609617651395,0.00019065896817364,1000
156,1.29155417458078,0.000324538598108195,1.18623579552577,0.000147442271034165,1000
157,0.555017227950617,0.00439644922403679,0.658504201183508,0.00334378968777768,1000
158,0.85454168099607,0.00260502707245176,0.889480222648221,0.00161950104804281,1000
159,0.647718057399003,0.00212573007572711,0.742494794010171,0.00174210774401718,1000
160,1.38337575901784,0.00117027513582769,0.995752945524736,0.000421302906255643,1000
161,1.270393258431,0.00251583580503894,1.27434014709965,0.00138212359727404,1000
162,0.938718397827153,0.00177945150169593,1.06121381183694,0.000932408276926073,1000
163,0.71430400553653,0.00238336393474224,0.701695305391742,0.00184162909506873,1000
164,1.20355472046805,0.00241048441316366,1.20632152567923,0.0010304122380417,1000
165,0.899814913872291,0.000378449371253028,1.06723251187961,0.000314268256544033,1000
166,0.61937323466489,0.000719328568513894,0.877263530027119,0.000247282386593702,1000
167,0.720515067504341,0.00335865895455075,0.758229043411108,0.00215395181934121,1000
168,1.85144884779879,0.00135776008293236,1.22003083097092,0.000841798985745164,1000
169,1.09168943077313,0.000136465980459455,1.14359615875071,0.000259278971295851,1000
170,0.954237269352007,0.00140783559597053,1.01729806395588,0.000547210339537346,1000
171,0.982598974314256,0.00120847975687101,0.855903555878746,0.000567465549283214,1000
172,0.594214872474869,0.00545009798217415,0.682192531476968,0.00383036697936281,1000
173,1.09391529620043,0.000995830629003951,1.10668454679911,0.000511135498163365,1000
174,0.833006394994338,0.000343290458843145,0.928874782785918,0.000277743870097623,1000
175,1.15183801533084,0.000554450553010311,0.892809807205413,0.000348473539666529,1000
176,1.06501227526329,0.00214868166937731,1.04064867348188,0.00106780801472924,1000
177,0.985906760794792,0.00126091485370896,0.788696440600496,0.000853858762384951,1000
178,1.51293969549232,0.00125338479295041,1.31279733637946,0.000902818838694477,1000
179,1.07165336676956,0.00172329559963883,1.12298816165075,0.00085793506127109,1000
180,0.932240543226713,0.000506967231531993,0.808276767306645,0.000510972646893001,1000
181,0.99738243903354,0.000350822131381779,1.13631807145402,0.000439030279693246,1000
182,1.68825271327091,0.00128956750257832,1.17219620898821,0.000772375842977487,1000
183,1.14801259051994,0.000208645917273844,1.09752659395983,0.000105034247072619,1000
184,0.693396206994377,0.00185831017899963,0.841330341647181,0.00148542042117871,1000
185,1.27163538324396,0.0011681054921197,1.16158344156009,0.00117615189679127,1000
186,1.54175766016692,0.00102101702792734,1.31567168947974,0.000839665133191018,1000
187,1.44959926983487,0.00236721797001449,1.37866723382509,0.00136816809789217,1000
188,1.33210239023548,0.00140558870833589,1.33036184631126,0.00121826052083279,1000
189,1.21009302178028,0.000854920934728085,1.26019480272637,0.00103581266925832,1000
190,0.619470545297569,0.000754356175491308,0.882695638029423,0.000278645773559839,1000
191,1.10281338297159,0.000508170560267605,0.909940127763241,0.000260129950523981,1000
192,0.639282369557071,0.00269884899157831,0.729568375894641,0.00181475288083667,1000
193,0.870244670669185,0.000985369693169465,0.829327119336696,0.000431223867564403,1000
194,1.31778211587032,0.000764655356183111,1.40924564276002,0.000955996574792701,1000
195,0.80466438559022,0.000726397467494925,0.935580250712669,0.000522205724032607,1000
196,0.84137811112404,0.00118420620501689,0.968029731056692,0.000651054553846938,1000
197,0.846709925632409,0.00129665693406942,0.840027537293848,0.000420884134117759,1000
198,0.994116229091312,0.00051505389029789,0.97607838158323,0.000451291763240436,1000
199,0.95004237623526,0.00112523661674312,0.909619950538239,0.000752706592171877,1000
200,1.39867060519102,0.00189381087325257,1.4416073911767,0.00136737218257552,1000
201,1.03791232250483,0.000237907393619795,0.956745915147421,0.000179226355365068,1000
202,1.06038507315894,0.00202669032149948,0.982467724761508,0.00128254731200264,1000
203,0.817977383372302,0.000841517530286246,0.753127558899025,0.000492266334825365,1000
204,1.07053137248459,0.000631594282294346,0.894138525693561,0.000225211343436952,1000
205,0.575767358921961,0.00260054158612095,0.69859930555752,0.00197908325647,1000
206,1.00452134057472,0.00135189946155396,0.992148949608929,0.00094246901696344,1000
207,1.24267996067695,0.00174925762936632,1.23242393821919,0.00122482555061566,1000
208,0.85560417771948,0.00142509667829517,0.995602134697295,0.00102862687211182,1000
209,1.6620526540856,0.0013245506213708,1.34383430177132,0.00133225247357831,1000
210,0.722448823895113,0.00178202847670747,0.692381146391003,0.00172551292573751,1000
211,0.658485578645179,0.00486655315099099,0.745633378998174,0.00368985379067839,1000
212,1.00376018158816,0.000638119459792223,1.0173884302534,0.000663959670918814,1000
213,0.67898874828125,0.00525537766446288,0.745328043953642,0.0038382680068529,1000
214,0.675942530783741,0.000317489230833316,0.959965507988674,0.000153675323119946,1000
215,1.21912895184421,0.000606597005141232,1.12811824082176,0.000724028838523058,1000
216,0.927452982580244,0.00118452276176673,0.89970065946399,0.000398789639871871,1000
217,1.06962427232322,0.00122883320912622,0.971570936685381,0.000895045402035796,1000
218,1.21018408807214,0.000732741317604438,1.12516793509661,0.000540582329452644,1000
219,1.12079009217367,0.00188165578217944,0.956147511322534,0.000723793805286288,1000
220,0.948518823665003,0.00115400516519212,0.939795465784046,0.000377018973367503,1000
221,0.941782675611137,0.00121329453539597,1.12672217941318,0.000524951917245789,1000
222,1.13619662771581,0.00151351726212385,1.03278676520082,0.000969011479208728,1000
223,1.2620059420739,0.00224983197115234,1.35142141812818,0.00127091356060286,1000
224,0.543361788991543,0.00309260301405839,0.764672224615974,0.0021927774165195,1000
225,1.40069602574212,0.00225493590359806,1.32632907742248,0.00151414753933461,1000
226,1.24321068668633,0.000260686105176518,1.11848924893363,0.000510391761842093,1000
227,0.67045670248839,0.00349810232415074,0.814431545547564,0.00233044994549686,1000
228,1.03636083340693,0.000989125582971132,0.899566896308207,0.000410212806091034,1000
229,1.22222041265622,0.000431402723598337,0.946527919693145,0.000348197864205745,1000
230,0.755058161537182,0.00116686413753925,0.807006900726197,0.000621621642630625,1000
231,1.24158137921547,0.00165356182829123,1.24828131305466,0.00100581661268002,1000
232,0.803149469919656,0.00200869757999507,0.814411466094614,0.00100815289243694,1000
233,0.608770525562366,0.00485439444978451,0.698408060359005,0.00381022921031785,1000
234,0.853697815904475,0.00184896149545497,0.905841892847004,0.00108379751495704,1000
235,0.966953227978258,0.000242059456049053,1.05888308232806,0.000103562617088747,1000
236,0.752809248591117,0.00303860754837847,0.692510191194814,0.00186534249657839,1000
237,1.34044262833474,0.000880511095457789,1.36184326812069,0.00123835299774442,1000
238,1.11479576729515,0.00194454130306335,1.17395831616995,0.000920758126192209,1000
239,0.787517882459404,0.00248827943054351,0.867036146914388,0.00159637935194985,1000
240,1.42850472668289,0.000659325453114311,1.11156502577796,0.000513552917220074,1000
241,1.09992727167791,0.000571457170776634,1.0916025930469,0.000177984040796962,1000
