model,mechanism,direction,multiplier,auc_ratio_screen
k2020,ke,down,1,1
k2020,ke,down,0.825404185268018,1.1075116681053
k2020,ke,down,0.681292069057961,1.216737156944
k2020,ke,down,0.562341325190349,1.3260144857742
k2020,ke,down,0.464158883361278,1.4336658356959
k2020,ke,down,0.383118684955729,1.53809426539254
k2020,ke,down,0.316227766016838,1.63787282054426
k2020,ke,down,0.261015721568254,1.73181584514453
k2020,ke,down,0.215443469003188,1.81902541021221
k2020,ke,down,0.177827941003892,1.89890998583042
k2020,ke,down,0.146779926762207,1.97117675427544
k2020,ke,down,0.121152765862859,2.03580249696678
k2020,ke,down,0.1,2.0929898162424
k2020,ke,up,1,1
k2020,ke,up,1.21152765862859,0.895755279916803
k2020,ke,up,1.46779926762207,0.796142766038266
k2020,ke,up,1.77827941003892,0.702282293840036
k2020,ke,up,2.15443469003188,0.615015697664674
k2020,ke,up,2.61015721568254,0.534898866974058
k2020,ke,up,3.16227766016838,0.462214936823746
k2020,ke,up,3.83118684955729,0.397003226406555
k2020,ke,up,4.64158883361278,0.339097970574979
k2020,ke,up,5.62341325190349,0.288171365603242
k2020,ke,up,6.81292069057961,0.243776563431883
k2020,ke,up,8.25404185268019,0.205387588741881
k2020,ke,up,10,0.172434384293901
