model,mechanism,direction,multiplier,auc_ratio_screen
k2016,Km,down,1,1
k2016,Km,down,0.681292069057961,0.999765799758083
k2016,Km,down,0.464158883361278,0.999604218201305
k2016,Km,down,0.316227766016838,0.999492780015094
k2016,Km,down,0.215443469003188,0.999415946210071
k2016,Km,down,0.146779926762207,0.9993629844664
k2016,Km,down,0.1,0.999326484425232
k2016,Km,down,0.0681292069057961,0.999301333773428
k2016,Km,down,0.0464158883361278,0.999284006028496
k2016,Km,down,0.0316227766016838,0.99927207033022
k2016,Km,down,0.0215443469003188,0.999263850715673
k2016,Km,down,0.0146779926762207,0.999258190750497
k2016,Km,down,0.01,0.99925429377644
k2016,Km,up,1,1
k2016,Km,up,1.46779926762207,1.00033929236301
k2016,Km,up,2.15443469003188,1.00083052134393
k2016,Km,up,3.16227766016838,1.00154112788828
k2016,Km,up,4.64158883361278,1.0025679137547
k2016,Km,up,6.81292069057961,1.00404931027237
k2016,Km,up,10,1.00618225137034
k2016,Km,up,14.6779926762207,1.00924507181009
k2016,Km,up,21.5443469003188,1.01362780424869
k2016,Km,up,31.6227766016838,1.01987127932087
k2016,Km,up,46.4158883361278,1.02871555782588
k2016,Km,up,68.1292069057962,1.04115695054209
k2016,Km,up,100,1.05850950472002
