model,scenario,mechanism,direction,target,multiplier,endpoint,truth_metric,true_ratio,truth_se_log,n_trials,mean_log_gmr,bias_log,bias_mc_se,bias_lo,bias_hi,bias_pct,toward_one,bias_toward_one_log,note
k2016,F_down_080,F,down,0.8,0.872152535936487,Cmax,Cmax,0.852080931927538,3.39337539959658e-05,10000,-0.161773763499501,-0.00169999736064433,0.000428617023885275,-0.00254007129062021,-0.000859923430668447,-0.169855318361289,FALSE,-0.00169999736064433,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUClast,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.228358620304402,-0.00507162624338534,0.000493941429639262,-0.00603973365595051,-0.00410351883082016,-0.505878726101916,FALSE,-0.00507162624338534,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_A,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.203937384444926,0.0193496096160899,0.000516828094011629,0.0183366451656286,0.0203625740665512,1.95380266152647,TRUE,0.0193496096160899,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_B,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.212556278817287,0.0107307152437296,0.000470472182147228,0.00980860671099303,0.0116528237764661,1.07884958593814,TRUE,0.0107307152437296,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_C,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.227043054298054,-0.00375606023703756,0.00049398152355554,-0.00472424623223465,-0.00278787424184048,-0.374901506624092,FALSE,-0.00375606023703756,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_Ai,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.207476993381075,0.0158100006799412,0.000503014530339224,0.0148241103167759,0.0167958910431064,1.59356399866053,TRUE,0.0158100006799412,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_Ci,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.225239591310834,-0.00195259724981736,0.000489814480466762,-0.00291261599063841,-0.000992578508996311,-0.195069217195898,FALSE,-0.00195259724981736,""
k2016,F_down_080,F,down,0.8,0.872152535936487,AUCinf_true,AUC0-inf,0.79988525403249,5.7225139276117e-05,10000,-0.223140410455328,0.000146583605687867,0.000462875633698154,-0.000760635965681669,0.0010538031770574,0.0146594349589524,TRUE,0.000146583605687867,reference: individual model AUC0-inf of trial subjects (no NCA)
k2016,V2_up_080,V2,up,0.8,3.21003979693093,Cmax,Cmax,0.962983911224041,3.9691778783606e-05,10000,-0.0483919650224296,-0.0106733907663958,0.000426801514129359,-0.0115099063626365,-0.00983687517015506,-1.06166322459423,FALSE,-0.0106733907663958,""
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUClast,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.226539118006756,-0.00304276949174656,0.000469164399469351,-0.00396231481753485,-0.00212322416595827,-0.303814496030674,FALSE,-0.00304276949174656,""
