model,mechanism,direction,multiplier,auc_ratio_screen
k2016,V2,down,1,1
k2016,V2,down,0.825404185268018,1.03068322575176
k2016,V2,down,0.681292069057961,1.05852011970732
k2016,V2,down,0.562341325190349,1.08321817157672
k2016,V2,down,0.464158883361278,1.10472234341483
k2016,V2,down,0.383118684955729,1.12315995438805
k2016,V2,down,0.316227766016838,1.13877861411141
k2016,V2,down,0.261015721568254,1.1518894307419
k2016,V2,down,0.215443469003188,1.1628227356696
k2016,V2,down,0.177827941003892,1.17189836352551
k2016,V2,down,0.146779926762207,1.17940876478698
k2016,V2,down,0.121152765862859,1.18561158832857
k2016,V2,down,0.1,1.19072831308603
k2016,V2,up,1,1
k2016,V2,up,1.21152765862859,0.96703353333877
k2016,V2,up,1.46779926762207,0.932613949141894
k2016,V2,up,1.77827941003892,0.897787541677702
k2016,V2,up,2.15443469003188,0.863715802310401
k2016,V2,up,2.61015721568254,0.831533917456227
k2016,V2,up,3.16227766016838,0.802194352459987
k2016,V2,up,3.83118684955729,0.776335438592011
k2016,V2,up,4.64158883361278,0.754216751589751
k2016,V2,up,5.62341325190349,0.735743640866616
k2016,V2,up,6.81292069057961,0.720567111121002
k2016,V2,up,8.25404185268019,0.708213444728837
k2016,V2,up,10,0.698193762257087
