model,scenario,region,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,config,family,rule,flag_set,label,n_trials,n_pass,pass_pct,lo,hi,gt5_point,gt5_lower,source,note
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,G2_Cii,G2,C,(ii),G2-C(ii),10000,227,2.27,1.9958819233931,2.58077456107169,FALSE,FALSE,oc_trials_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,G2_Ai,G2,A,(i),G2-A(i),10000,1991,19.91,19.138959981081,20.7041490408663,TRUE,TRUE,oc_rejudge_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,G2_Ci,G2,C,(i),G2-C(i),10000,305,3.05,2.73057888562466,3.40547856138188,FALSE,FALSE,oc_rejudge_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,2252,22.52,21.711937131225,23.3491674192274,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,1506,15.06,14.3724252150584,15.7744085910845,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,227,2.27,1.9958819233931,2.58077456107169,FALSE,FALSE,oc_trials_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,1995,19.95,19.17835488793,20.7447234141476,TRUE,TRUE,oc_rejudge_be,""
k2016,Vmax_up_080,boundary,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,305,3.05,2.73057888562466,3.40547856138188,FALSE,FALSE,oc_rejudge_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,P2,P2,AUClast,-,P2,10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,G2_Aii,G2,A,(ii),G2-A(ii),10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,G2_B,G2,B,(i)=(ii),G2-B,10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,G2_Cii,G2,C,(ii),G2-C(ii),10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,G2_Ai,G2,A,(i),G2-A(i),10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_rejudge_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,G2_Ci,G2,C,(i),G2-C(i),10000,0,0,0,0.0383998370676596,FALSE,FALSE,oc_rejudge_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,3584,35.84,34.9057397695534,36.7851350643042,TRUE,TRUE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,1602,16.02,15.3141698663066,16.7519266629646,TRUE,TRUE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,400,4,3.63325868498795,4.40206916511429,FALSE,FALSE,oc_trials_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,3385,33.85,32.9289049808037,34.7834981665691,TRUE,TRUE,oc_rejudge_be,""
k2016,ka_down_080,boundary,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,460,4.6,4.20655912573404,5.0283079263234,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,P2,P2,AUClast,-,P2,10000,367,3.67,3.31891143201197,4.05666985701492,FALSE,FALSE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,G2_Aii,G2,A,(ii),G2-A(ii),10000,571,5.71,5.27199916019718,6.18201541547736,TRUE,TRUE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,G2_B,G2,B,(i)=(ii),G2-B,10000,493,4.93,4.52271561459742,5.37189799853536,FALSE,FALSE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,G2_Cii,G2,C,(ii),G2-C(ii),10000,385,3.85,3.49028065618939,4.24516239342406,FALSE,FALSE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,G2_Ai,G2,A,(i),G2-A(i),10000,486,4.86,4.45560655083166,5.29906082207302,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,G2_Ci,G2,C,(i),G2-C(i),10000,391,3.91,3.54745383495958,4.30794313484939,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,571,5.71,5.27199916019718,6.18201541547736,TRUE,TRUE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,493,4.93,4.52271561459742,5.37189799853536,FALSE,FALSE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,385,3.85,3.49028065618939,4.24516239342406,FALSE,FALSE,oc_trials_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,486,4.86,4.45560655083166,5.29906082207302,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_up_080,boundary,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,391,3.91,3.54745383495958,4.30794313484939,FALSE,FALSE,oc_rejudge_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,P2,P2,AUClast,-,P2,10000,324,3.24,2.91052689302443,3.60538463460124,FALSE,FALSE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,G2_Aii,G2,A,(ii),G2-A(ii),10000,740,7.4,6.90313456019223,7.92958210098942,TRUE,TRUE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,G2_B,G2,B,(i)=(ii),G2-B,10000,532,5.32,4.89702817745753,5.77728591694613,TRUE,FALSE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,G2_Cii,G2,C,(ii),G2-C(ii),10000,359,3.59,3.24282272507022,3.97282000369598,FALSE,FALSE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,G2_Ai,G2,A,(i),G2-A(i),10000,637,6.37,5.90789458974844,6.8656131080768,TRUE,TRUE,oc_rejudge_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,G2_Ci,G2,C,(i),G2-C(i),10000,383,3.83,3.47122838542385,4.22423002412443,FALSE,FALSE,oc_rejudge_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,910,9.1,8.55189148953229,9.67951957718906,TRUE,TRUE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,576,5.76,5.32011664834531,6.23385952749216,TRUE,TRUE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,375,3.75,3.39504713060603,4.14047271868156,FALSE,FALSE,oc_trials_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,742,7.42,6.92249019590586,7.95021110534096,TRUE,TRUE,oc_rejudge_be,""
k2016,F_up_125,boundary,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,400,4,3.63325868498795,4.40206916511429,FALSE,FALSE,oc_rejudge_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,P2,P2,AUClast,-,P2,10000,267,2.67,2.37175657034417,3.00459271542408,FALSE,FALSE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,G2_Aii,G2,A,(ii),G2-A(ii),10000,2458,24.58,23.7459837064685,25.4335387706967,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,G2_B,G2,B,(i)=(ii),G2-B,10000,637,6.37,5.90789458974844,6.8656131080768,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,G2_Cii,G2,C,(ii),G2-C(ii),10000,337,3.37,3.03383376227813,3.74197792577116,FALSE,FALSE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,G2_Ai,G2,A,(i),G2-A(i),10000,1269,12.69,12.0518995160374,13.3567544423825,TRUE,TRUE,oc_rejudge_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,G2_Ci,G2,C,(i),G2-C(i),10000,346,3.46,3.11928273979537,3.83645982854721,FALSE,FALSE,oc_rejudge_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,2458,24.58,23.7459837064685,25.4335387706967,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,637,6.37,5.90789458974844,6.8656131080768,TRUE,TRUE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,337,3.37,3.03383376227813,3.74197792577116,FALSE,FALSE,oc_trials_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,1269,12.69,12.0518995160374,13.3567544423825,TRUE,TRUE,oc_rejudge_be,""
k2016,Vmax_down_125,boundary,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,346,3.46,3.11928273979537,3.83645982854721,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,P2,P2,AUClast,-,P2,10000,337,3.37,3.03383376227813,3.74197792577116,FALSE,FALSE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,G2_Aii,G2,A,(ii),G2-A(ii),10000,695,6.95,6.46792901937774,7.46513324033752,TRUE,TRUE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,G2_B,G2,B,(i)=(ii),G2-B,10000,409,4.09,3.71911609003269,4.49614264036283,FALSE,FALSE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,G2_Cii,G2,C,(ii),G2-C(ii),10000,363,3.63,3.28086111182889,4.01475089706765,FALSE,FALSE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,G2_Ai,G2,A,(i),G2-A(i),10000,493,4.93,4.52271561459742,5.37189799853536,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,G2_Ci,G2,C,(i),G2-C(i),10000,352,3.52,3.17628484334244,3.89941164519566,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,695,6.95,6.46792901937774,7.46513324033752,TRUE,TRUE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,409,4.09,3.71911609003269,4.49614264036283,FALSE,FALSE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,363,3.63,3.28086111182889,4.01475089706765,FALSE,FALSE,oc_trials_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,493,4.93,4.52271561459742,5.37189799853536,FALSE,FALSE,oc_rejudge_be,""
k2016,ke_down_125,boundary,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,352,3.52,3.17628484334244,3.89941164519566,FALSE,FALSE,oc_rejudge_be,""
k2016,S00,identical,-,-,1,1,1,1,P2,P2,AUClast,-,P2,10000,9955,99.55,99.3984428906251,99.6635028708408,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,G2_Aii,G2,A,(ii),G2-A(ii),10000,9933,99.33,99.1500780525033,99.4720366682458,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,G2_B,G2,B,(i)=(ii),G2-B,10000,9980,99.8,99.6912649335349,99.8704888287457,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,G2_Cii,G2,C,(ii),G2-C(ii),10000,9957,99.57,99.4213378416848,99.6805925598463,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,G2_Ai,G2,A,(i),G2-A(i),10000,9951,99.51,99.3528391576189,99.6291373237167,TRUE,TRUE,oc_rejudge_be,""
k2016,S00,identical,-,-,1,1,1,1,G2_Ci,G2,C,(i),G2-C(i),10000,9959,99.59,99.4443005072309,99.6976145343654,TRUE,TRUE,oc_rejudge_be,""
k2016,S00,identical,-,-,1,1,1,1,AUCinf_Aii,AUCinf_only,A,(ii),AUCinf-A(ii),10000,9936,99.36,99.1836359609497,99.4984557198971,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,AUCinf_B,AUCinf_only,B,(i)=(ii),AUCinf-B,10000,9983,99.83,99.7279014584904,99.893829263888,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,AUCinf_Cii,AUCinf_only,C,(ii),AUCinf-C(ii),10000,9960,99.6,99.455808735402,99.7060986262268,TRUE,TRUE,oc_trials_be,""
k2016,S00,identical,-,-,1,1,1,1,AUCinf_Ai,AUCinf_only,A,(i),AUCinf-A(i),10000,9954,99.54,99.3870194284531,99.6549340129802,TRUE,TRUE,oc_rejudge_be,""
k2016,S00,identical,-,-,1,1,1,1,AUCinf_Ci,AUCinf_only,C,(i),AUCinf-C(i),10000,9962,99.62,99.478882314172,99.7230096875221,TRUE,TRUE,oc_rejudge_be,""
k2020,F_down_080,boundary,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,P2,P2,AUClast,-,P2,10000,370,3.7,3.34745689092521,4.08810135819944,FALSE,FALSE,oc_trials_be,""
