model,n,inside_pct,lt080_pct,gt125_pct,near_low_pct,near_high_pct,truth_se_log_median,truth_se_log_p95
k2016,20000,57.3,23.34,19.36,13.22,13.01,0.00125831551782303,0.00397065224903549
k2020,20000,57.7,23.245,19.055,13.345,12.925,0.00120870199465127,0.00384981466657597
