model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv,code
k2016,F,down,0.7,TRUE,1,0.805238403585119,0.699807988054843,9.48264945357152e-05,0.774767560437703,5.70547252023264e-05,8,0,0.1,,,200000,TRUE,FALSE,F_down_070
k2016,F,down,0.75,TRUE,1,0.838970605126325,0.749826891958083,7.50780103081693e-05,0.813731535043091,4.48322940533694e-05,10,0,0.1,,,200000,TRUE,FALSE,F_down_075
k2016,F,down,0.8,TRUE,1,0.872152535936487,0.79988525403249,5.7225139276117e-05,0.852080931927538,3.39337539959658e-05,9,0,0.1,,,200000,TRUE,FALSE,F_down_080
k2016,F,down,0.85,TRUE,1,0.904779951517323,0.849895789156433,4.10169988395278e-05,0.889807878836767,2.41663502942421e-05,9,0,0.1,,,200000,TRUE,TRUE,F_down_085
k2016,F,down,0.9,TRUE,1,0.936870766022085,0.899812601831346,2.62298838494249e-05,0.926930552456146,1.53617344777546e-05,8,0,0.1,,,200000,TRUE,TRUE,F_down_090
k2016,F,down,0.95,TRUE,1,0.968646613771892,0.949920923227653,1.25893446829752e-05,0.96370327443162,7.33139754323056e-06,9,0,0.1,,,200000,TRUE,TRUE,F_down_095
k2016,F,up,1.05,TRUE,1,1.03102311106189,1.05014915104572,1.16960072606362e-05,1.03592599365433,6.73984000234682e-06,6,0,1.64744645634267,,,200000,TRUE,TRUE,F_up_105
k2016,F,up,1.11,TRUE,1,1.06768310109284,1.11014483266865,2.46457729728492e-05,1.07839339714921,1.41184914287183e-05,8,0,1.64744645634267,,,200000,TRUE,TRUE,F_up_111
k2016,F,up,1.18,TRUE,1,1.10996727771422,1.18028837690496,3.85420616298537e-05,1.12739272277036,2.19342895545854e-05,7,0,1.64744645634267,,,200000,TRUE,TRUE,F_up_118
k2016,F,up,1.25,TRUE,1,1.15149083830699,1.25010656509896,5.12314137176527e-05,1.17552651005478,2.89742565703284e-05,6,0,1.64744645634267,,,200000,TRUE,FALSE,F_up_125
k2016,F,up,1.33,TRUE,1,1.19845665111804,1.33013677489962,6.45789905683422e-05,1.22998601511917,3.62743185278098e-05,7,0,1.64744645634267,,,200000,TRUE,FALSE,F_up_133
k2016,F,up,1.43,TRUE,1,1.25649313446745,1.43050167410425,7.97862484480498e-05,1.29730502517664,4.44533854874052e-05,8,0,1.64744645634267,,,200000,TRUE,FALSE,F_up_143
k2016,ka,down,0.7,TRUE,1,0.34702805275494,0.700016985892441,0.000818003573527096,0.523767519932033,0.000633885426607625,8,6,0.1,,,200000,TRUE,FALSE,ka_down_070
k2016,ka,down,0.75,TRUE,1,0.388905199928032,0.750257601010362,0.000651886288230783,0.575478930890891,0.000510545270610373,4,6,0.1,,,200000,TRUE,FALSE,ka_down_075
k2016,ka,down,0.8,TRUE,1,0.440433361793372,0.799297411482507,0.000502078630126623,0.631952944916229,0.000400161830750002,7,0,0.1,,,200000,TRUE,FALSE,ka_down_080
k2016,ka,down,0.85,TRUE,1,0.50974945583338,0.849560255474036,0.000360360689731125,0.698251617539185,0.000294682161370167,8,0,0.1,,,200000,TRUE,FALSE,ka_down_085
k2016,ka,down,0.9,TRUE,1,0.606110884808604,0.899805424112438,0.000229087639015592,0.7766105876189,0.000195243794030376,6,0,0.1,,,200000,TRUE,FALSE,ka_down_090
k2016,ka,down,0.95,TRUE,1,0.751019202887681,0.949908155007994,0.000109415880706531,0.873047962827497,9.90022685677017e-05,7,0,0.1,,,200000,TRUE,TRUE,ka_down_095
k2016,ka,up,1.05,TRUE,1,1.54918815118162,1.05006636245644,9.7374545872605e-05,1.1868009360223,0.000113395045065024,5,0,10,,,200000,TRUE,TRUE,ka_up_105
k2016,ka,up,1.11,TRUE,1,6.04296390238133,1.11032654787836,0.000195017699245047,1.66159034945477,0.000334463162131747,3,0,10,,,200000,TRUE,FALSE,ka_up_111
k2016,ke,down,1.05,TRUE,1,0.911245541985472,1.05008025202458,2.01093106825101e-05,1.01506501555001,1.17408975873725e-05,6,0,0.1,,,200000,TRUE,TRUE,ke_down_105
k2016,ke,down,1.11,TRUE,1,0.816788049644061,1.10959794791165,4.39057198800918e-05,1.03184779137821,2.48971222422588e-05,7,0,0.1,,,200000,TRUE,TRUE,ke_down_111
k2016,ke,down,1.18,TRUE,1,0.719069442368983,1.17928173323279,7.16580501390751e-05,1.05010396454253,3.93122072497842e-05,5,0,0.1,,,200000,TRUE,TRUE,ke_down_118
k2016,ke,down,1.25,TRUE,1,0.632567348266282,1.24933521039854,9.9475484004347e-05,1.06710162104024,5.28445930368644e-05,8,0,0.1,,,200000,TRUE,TRUE,ke_down_125
k2016,ke,down,1.33,TRUE,1,0.546140882173227,1.32896073842499,0.000131038326389655,1.08495408323507,6.71883237679077e-05,8,0,0.1,,,200000,TRUE,FALSE,ke_down_133
k2016,ke,down,1.43,TRUE,1,0.452479552570213,1.42880724339599,0.000170603844659936,1.1053943362912,8.38005465110358e-05,7,0,0.1,,,200000,TRUE,FALSE,ke_down_143
k2016,ke,up,0.7,TRUE,1,1.81191583652074,0.700620455359482,0.000122959463091548,0.886245464660751,8.72266831835261e-05,8,0,10,,,200000,TRUE,FALSE,ke_up_070
k2016,ke,up,0.75,TRUE,1,1.63019509970504,0.750355682962533,0.000102088615805827,0.908598631111101,7.02253986279097e-05,6,0,10,,,200000,TRUE,FALSE,ke_up_075
k2016,ke,up,0.8,TRUE,1,1.47110350143772,0.800334236753497,8.13305949793205e-05,0.929468091140586,5.43072796350168e-05,8,0,10,,,200000,TRUE,TRUE,ke_up_080
k2016,ke,up,0.85,TRUE,1,1.33152387602738,0.850272484687047,6.07741764747279e-05,0.948898250132683,3.94359526915577e-05,7,0,10,,,200000,TRUE,TRUE,ke_up_085
k2016,ke,up,0.9,TRUE,1,1.20790074742528,0.900285812983383,4.03455631544793e-05,0.967079967451048,2.54648559437293e-05,6,0,10,,,200000,TRUE,TRUE,ke_up_090
k2016,ke,up,0.95,TRUE,1,1.09822191087231,0.950136838158432,2.01181421784102e-05,0.98405615669767,1.23632781388987e-05,8,0,10,,,200000,TRUE,TRUE,ke_up_095
k2016,Km,up,1.05,TRUE,1,84.0386692344027,1.05014765162093,5.13240398331235e-05,1.0088716513308,2.29473360843432e-05,6,0,100,,,200000,TRUE,TRUE,Km_up_105
k2016,V2,down,1.05,TRUE,1,0.723394162736675,1.05025804840559,1.54898254631016e-05,1.01840551193171,1.71629394724542e-05,4,0,0.1,,,200000,TRUE,TRUE,V2_down_105
k2016,V2,down,1.11,TRUE,1,0.439773612093738,1.11045945165552,3.44706662011624e-05,1.05394819804994,4.36605463152233e-05,5,0,0.1,,,200000,TRUE,TRUE,V2_down_111
k2016,V2,down,1.18,TRUE,1,0.145030162417582,1.18027553007479,5.93304255106595e-05,1.13573943241727,7.15555681649576e-05,4,0,0.1,,,200000,TRUE,TRUE,V2_down_118
k2016,V2,up,0.7,TRUE,1,9.646616199112,0.699597927301349,0.00017649660563181,0.951209777988548,5.305830995085e-05,4,0,10,,,200000,TRUE,FALSE,V2_up_070
k2016,V2,up,0.75,TRUE,1,4.84056251502108,0.749527660769717,0.00012992089735636,0.957058654679472,4.64016191386032e-05,5,0,10,,,200000,TRUE,FALSE,V2_up_075
k2016,V2,up,0.8,TRUE,1,3.21003979693093,0.799717812019852,9.00561907600563e-05,0.962983911224041,3.9691778783606e-05,6,0,10,,,200000,TRUE,FALSE,V2_up_080
k2016,V2,up,0.85,TRUE,1,2.33609006981602,0.849579037742249,5.93573445933708e-05,0.9695041481082,3.2372533191603e-05,6,0,10,,,200000,TRUE,TRUE,V2_up_085
k2016,V2,up,0.9,TRUE,1,1.75708053104298,0.899763544323836,3.55383319808196e-05,0.977285934955137,2.37696464308459e-05,4,0,10,,,200000,TRUE,TRUE,V2_up_090
k2016,V2,up,0.95,TRUE,1,1.33352143216332,0.949844014998027,1.64664265089105e-05,0.987033824746741,1.32803189761494e-05,1,0,10,,,200000,TRUE,TRUE,V2_up_095
k2016,Vmax,down,1.05,TRUE,1,0.920858091018106,1.0501268585424,3.0836251227899e-05,1.01254329055033,1.76126833117368e-05,7,0,0.1,,,200000,TRUE,TRUE,Vmax_down_105
k2016,Vmax,down,1.11,TRUE,1,0.834111210802917,1.11021177044599,6.47957655108478e-05,1.02637811247337,3.63927359152613e-05,7,0,0.1,,,200000,TRUE,TRUE,Vmax_down_111
k2016,Vmax,down,1.18,TRUE,1,0.742622715127721,1.18042880851468,0.00010113331945182,1.04107033396906,5.56756564153753e-05,8,0,0.1,,,200000,TRUE,TRUE,Vmax_down_118
k2016,Vmax,down,1.25,TRUE,1,0.660178624277622,1.25088393369916,0.000134688604961145,1.0544021629266,7.26411817171243e-05,7,0,0.1,,,200000,TRUE,FALSE,Vmax_down_125
k2016,Vmax,down,1.33,TRUE,1,0.576424176113221,1.33087858987313,0.000169973642057752,1.06803815759157,8.95153559270088e-05,8,0,0.1,,,200000,TRUE,FALSE,Vmax_down_133
k2016,Vmax,down,1.43,TRUE,1,0.484056251502108,1.43124267718369,0.000210905330041432,1.08318773319823,0.000107740106674669,5,0,0.1,,,200000,TRUE,FALSE,Vmax_down_143
k2016,Vmax,up,0.7,TRUE,1,1.65357721402644,0.699429518190212,0.000267011472443307,0.898977266613688,0.000168599728932887,8,0,10,,,200000,TRUE,FALSE,Vmax_up_070
k2016,Vmax,up,0.75,TRUE,1,1.5181514690658,0.749345508151061,0.000208699020454757,0.919563308404305,0.000130096395211226,8,0,10,,,200000,TRUE,FALSE,Vmax_up_075
k2016,Vmax,up,0.8,TRUE,1,1.39486202241965,0.799417254503779,0.000157345995261813,0.93845337546823,9.67537810309154e-05,6,0,10,,,200000,TRUE,FALSE,Vmax_up_080
k2016,Vmax,up,0.85,TRUE,1,1.28254589997052,0.849537336749722,0.000111711767546858,0.955792809548142,6.76302933361169e-05,6,0,10,,,200000,TRUE,TRUE,Vmax_up_085
k2016,Vmax,up,0.9,TRUE,1,1.18015786265738,0.899596810492939,7.07619917948334e-05,0.971712808191971,4.21688921669399e-05,8,0,10,,,200000,TRUE,TRUE,Vmax_up_090
k2016,Vmax,up,0.95,TRUE,1,1.08594365380924,0.949938537515853,3.35840616083282e-05,0.986460696182769,1.97225830983515e-05,7,0,10,,,200000,TRUE,TRUE,Vmax_up_095
