model,mechanism,direction,multiplier,auc_ratio_screen
k2016,ka,down,1,1
k2016,ka,down,0.825404185268018,0.968403949872237
k2016,ka,down,0.681292069057961,0.928797997059325
k2016,ka,down,0.562341325190349,0.879488617963134
k2016,ka,down,0.464158883361278,0.818757944899803
k2016,ka,down,0.383118684955729,0.744829149493256
k2016,ka,down,0.316227766016838,0.656347553836647
k2016,ka,down,0.261015721568254,0.5536685152308
k2016,ka,down,0.215443469003188,0.440248627521067
k2016,ka,down,0.177827941003892,0.324541385572662
k2016,ka,down,0.146779926762207,0.219211294402893
k2016,ka,down,0.121152765862859,0.134350402801986
k2016,ka,down,0.1,0.0750284136459249
k2016,ka,up,1,1
k2016,ka,up,1.21152765862859,1.02513004272918
k2016,ka,up,1.46779926762207,1.0451089529665
k2016,ka,up,1.77827941003892,1.06102064756653
k2016,ka,up,2.15443469003188,1.07373584941265
k2016,ka,up,2.61015721568254,1.08394004220302
k2016,ka,up,3.16227766016838,1.09216589952656
k2016,ka,up,3.83118684955729,1.09882503257406
k2016,ka,up,4.64158883361278,1.10423576556878
k2016,ka,up,5.62341325190349,1.10864563237144
k2016,ka,up,6.81292069057961,1.11224866546089
k2016,ka,up,8.25404185268019,1.11519828561831
k2016,ka,up,10,1.11761676049774
