model,config,ratio,pass_pct
k2016,P2,0.407315350700749,2.22044604925031e-14
k2016,P2,0.410521840884767,2.22044604925031e-14
k2016,P2,0.413753573376208,2.22044604925031e-14
k2016,P2,0.417010746888944,2.22044604925031e-14
k2016,P2,0.420293561701175,2.22044604925031e-14
k2016,P2,0.423602219667742,2.22044604925031e-14
k2016,P2,0.426936924232538,2.22044604925031e-14
k2016,P2,0.430297880441017,2.22044604925031e-14
k2016,P2,0.433685294952806,2.22044604925031e-14
k2016,P2,0.437099376054406,2.22044604925031e-14
k2016,P2,0.440540333672006,2.22044604925031e-14
k2016,P2,0.444008379384384,2.22044604925031e-14
k2016,P2,0.447503726435922,2.22044604925031e-14
k2016,P2,0.451026589749715,2.22044604925031e-14
k2016,P2,0.454577185940788,2.22044604925031e-14
k2016,P2,0.458155733329415,2.22044604925031e-14
k2016,P2,0.461762451954542,2.22044604925031e-14
k2016,P2,0.465397563587318,2.22044604925031e-14
k2016,P2,0.469061291744731,2.22044604925031e-14
k2016,P2,0.472753861703351,2.22044604925031e-14
k2016,P2,0.476475500513184,2.22044604925031e-14
k2016,P2,0.48022643701163,2.22044604925031e-14
k2016,P2,0.484006901837556,2.22044604925031e-14
k2016,P2,0.487817127445477,2.22044604925031e-14
k2016,P2,0.491657348119849,2.22044604925031e-14
k2016,P2,0.495527799989474,2.22044604925031e-14
k2016,P2,0.499428721042022,2.22044604925031e-14
k2016,P2,0.503360351138661,2.22044604925031e-14
k2016,P2,0.507322932028807,2.22044604925031e-14
k2016,P2,0.511316707364991,2.22044604925031e-14
k2016,P2,0.515341922717837,2.22044604925031e-14
k2016,P2,0.519398825591164,2.22044604925031e-14
k2016,P2,0.523487665437203,2.22044604925031e-14
k2016,P2,0.527608693671939,2.22044604925031e-14
k2016,P2,0.531762163690565,2.22044604925031e-14
k2016,P2,0.535948330883068,2.22044604925031e-14
k2016,P2,0.540167452649928,2.22044604925031e-14
k2016,P2,0.544419788417947,2.22044604925031e-14
k2016,P2,0.548705599656203,2.22044604925031e-14
k2016,P2,0.553025149892124,2.22044604925031e-14
k2016,P2,0.557378704727692,2.22044604925031e-14
k2016,P2,0.561766531855777,2.22044604925031e-14
k2016,P2,0.566188901076595,2.22044604925031e-14
k2016,P2,0.570646084314297,2.22044604925031e-14
k2016,P2,0.575138355633693,2.22044604925031e-14
k2016,P2,0.579665991257096,2.22044604925031e-14
k2016,P2,0.584229269581317,2.22044604925031e-14
k2016,P2,0.588828471194774,2.22044604925031e-14
k2016,P2,0.59346387889475,2.22044604925031e-14
k2016,P2,0.598135777704779,2.22044604925031e-14
k2016,P2,0.602844454892175,2.22044604925031e-14
k2016,P2,0.60759019998569,2.22044604925031e-14
k2016,P2,0.612373304793325,2.22044604925031e-14
k2016,P2,0.617194063420262,2.22044604925031e-14
k2016,P2,0.622052772286959,2.22044604925031e-14
k2016,P2,0.626949730147369,2.22044604925031e-14
k2016,P2,0.631885238107312,2.22044604925031e-14
k2016,P2,0.63685959964299,2.22044604925031e-14
k2016,P2,0.641873120619648,2.22044604925031e-14
k2016,P2,0.64692610931038,2.22044604925031e-14
k2016,P2,0.652018876415082,2.22044604925031e-14
k2016,P2,0.657151735079561,2.2131293274222e-11
k2016,P2,0.662325000914787,1.05652261269787e-10
k2016,P2,0.667538992016299,4.83455857786829e-10
k2016,P2,0.672794028983768,2.11906464889257e-09
k2016,P2,0.678090434940703,8.89086997415777e-09
k2016,P2,0.683428535554327,3.56829134805745e-08
k2016,P2,0.688808659055597,1.36897549237991e-07
k2016,P2,0.694231136259387,5.01711066325811e-07
k2016,P2,0.699696300584832,1.7552446111989e-06
k2016,P2,0.705204488075824,5.85802056129089e-06
k2016,P2,0.710756037421683,1.86378884500153e-05
k2016,P2,0.716351289977973,5.64908812074993e-05
k2016,P2,0.721990589787497,0.00016300425803601
k2016,P2,0.727674283601454,0.000447467354313766
k2016,P2,0.733402720900751,0.00116779812302852
k2016,P2,0.739176253917503,0.00289546980606735
k2016,P2,0.744995237656683,0.00681574500355477
k2016,P2,0.750860029917954,0.0152255010199779
k2016,P2,0.756770991317669,0.0323243749461036
k2016,P2,0.762728485311046,0.065364077465525
k2016,P2,0.768732878214514,0.126162322357994
k2016,P2,0.774784539228238,0.232918963294839
k2016,P2,0.780883840458821,0.412126965330653
k2016,P2,0.787031156942185,0.700212350983914
k2016,P2,0.793226866666629,1.1443847977626
k2016,P2,0.799471350596071,1.80209303976701
k2016,P2,0.805764992693478,2.73853020310324
k2016,P2,0.812108179944468,4.02189411800038
k2016,P2,0.818501302381108,5.71660245327905
k2016,P2,0.824944753105899,7.87531920267216
k2016,P2,0.831438928315944,10.5312640510687
k2016,P2,0.83798422732731,13.6925593929252
k2016,P2,0.844581052599583,17.3400857169018
k2016,P2,0.851229809760611,21.4294572313778
k2016,P2,0.857930907631451,25.8965868546218
k2016,P2,0.864684758251502,30.6653461817691
k2016,P2,0.87149177690384,35.6554188650766
k2016,P2,0.878352382140758,40.7798424667303
k2016,P2,0.8852669958095,45.9106255990528
k2016,P2,0.892236043078195,50.9123202632393
k2016,P2,0.899259952462007,55.6677732795295
k2016,P2,0.906339155849479,60.0868773400931
k2016,P2,0.913474088529092,64.1098864899636
k2016,P2,0.920665189216028,67.7059321296256
k2016,P2,0.927912900079146,70.8683017446167
k2016,P2,0.935217666768173,73.6082301377769
k2016,P2,0.9425799384411,75.9486163019465
k2016,P2,0.950000167791809,77.9185375456866
k2016,P2,0.957478811077901,79.5489282357934
k2016,P2,0.965016328148753,80.8694352986913
