model,mechanism,direction,multiplier,auc_ratio_screen
k2020,F,down,1,1
k2020,F,down,0.825404185268018,0.731125779750461
k2020,F,down,0.681292069057961,0.525995023857578
k2020,F,down,0.562341325190349,0.371363817548204
k2020,F,down,0.464158883361278,0.256393430503703
k2020,F,down,0.383118684955729,0.172310968069355
k2020,F,down,0.316227766016838,0.11203024712873
k2020,F,down,0.261015721568254,0.0699117804309945
k2020,F,down,0.215443469003188,0.0415176726926918
k2020,F,down,0.177827941003892,0.023278875680688
k2020,F,down,0.146779926762207,0.0122770795024107
k2020,F,down,0.121152765862859,0.0061162096435794
k2020,F,down,0.1,0.00292612028263309
k2020,F,up,1,1
k2020,F,up,1.03748641543328,1.06014104759972
k2020,F,up,1.07637806220859,1.12333465025375
k2020,F,up,1.11672761741181,1.1897120289021
k2020,F,up,1.15858973280393,1.25940925579967
k2020,F,up,1.20202110884455,1.3325674232301
k2020,F,up,1.24708057149027,1.40933281774263
k2020,F,up,1.29382915187192,1.48985710397701
k2020,F,up,1.34233016895868,1.57429751327472
k2020,F,up,1.39264931532089,1.66281704342856
k2020,F,up,1.44485474610788,1.75558465997311
k2020,F,up,1.49901717136123,1.85277551312628
k2020,F,up,1.55520995178849,1.95457115534974
