model,config,truth,metric,scope,pct,lo,hi,n_products
k2016,AUCinf_only,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,29.2553703882092,28.3880312590655,30.1380568176888,10381
k2020,P2,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.177304964539007,0.107482124396577,0.292353564697361,8460
k2020,P2,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.56044835868695,0.334144393689839,0.938576493896034,2498
k2020,P2,AUC0-inf,생산자 위험(범위 안 불통과),전체,50.9358752166378,50.023622548032,51.8475050204686,11540
k2020,P2,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,90.1306240928882,88.9606416252992,91.1888898968923,2756
k2020,P2,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.387110274115924,0.280989871260777,0.533094519867526,9558
k2020,P2,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,45.9873587435357,45.0330854315062,46.9445833536889,10442
k2020,F3A,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.130023640661939,0.0726205832079971,0.232695377002519,8460
k2020,F3A,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.44035228182546,0.246065820983358,0.786831716531874,2498
k2020,F3A,AUC0-inf,생산자 위험(범위 안 불통과),전체,54.0207972270364,53.1103112006153,54.9286072418319,11540
k2020,F3A,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,91.6908563134978,90.6014060805175,92.6642464683052,2756
k2020,F3A,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.303410755388156,0.211344472271125,0.435408133772621,9558
k2020,F3A,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,49.3583604673434,48.3998348322689,50.3173580283709,10442
k2020,F3B,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.16548463356974,0.0986045088860868,0.277601247986996,8460
k2020,F3B,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.520416333066453,0.304390592289532,0.888389178606128,2498
k2020,F3B,AUC0-inf,생산자 위험(범위 안 불통과),전체,51.473136915078,50.5609415555241,52.384351839338,11540
k2020,F3B,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,90.5660377358491,89.4175871655691,91.6015595268451,2756
k2020,F3B,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.366185394433982,0.263426082543383,0.508825362313781,9558
k2020,F3B,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,46.5715380195365,45.6162142478152,47.5293834254542,10442
k2020,F3C,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.16548463356974,0.0986045088860868,0.277601247986996,8460
k2020,F3C,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.520416333066453,0.304390592289532,0.888389178606128,2498
k2020,F3C,AUC0-inf,생산자 위험(범위 안 불통과),전체,51.1525129982669,50.2402707607875,52.0639881893105,11540
k2020,F3C,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,90.3120464441219,89.1509527143369,91.360918462114,2756
k2020,F3C,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.366185394433982,0.263426082543383,0.508825362313781,9558
k2020,F3C,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,46.217199770159,45.2624974182481,47.174684372091,10442
k2020,G2,AUC0-inf,소비자 위험(범위 밖 통과),전체,1.39479905437352,1.16604267003319,1.66767603780887,8460
k2020,G2,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,4.4435548438751,3.70303440675872,5.32397479977789,2498
k2020,G2,AUC0-inf,생산자 위험(범위 안 불통과),전체,46.1958405545927,45.2876483653824,47.1065645737678,11540
k2020,G2,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,80.3701015965167,78.8453487288073,81.8103093942254,2756
k2020,G2,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,1.44381669805399,1.22343198829907,1.70321618952178,9558
k2020,G2,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,40.7297452595288,39.7909319142407,41.6753768782866,10442
