scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
F_down_080,P2,10000,3.71,3.35697349886415,4.09857707029309,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3A,10000,2.69,2.39060287545787,3.02573105037555,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3B,10000,3.48,3.13828027939255,3.8574469290152,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3C,10000,3.51,3.16678252489739,3.88892164360812,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,G2,10000,7.35,6.85475025018411,7.8780048108346,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,AUClast_only,10000,3.8,3.44265516422164,4.19282628522888,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,AUCinf_only,10000,9.49,8.93103553569833,10.0800760122939,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_up_125,P2,10000,3.24,2.91052689302443,3.60538463460124,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3A,10000,2.63,2.33407796968369,2.96230203595421,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3B,10000,3.11,2.78736859331087,3.46864277389118,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3C,10000,3.14,2.81577609284945,3.50021223445036,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,G2,10000,7.4,6.90313456019223,7.92958210098942,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,AUClast_only,10000,3.34,3.00536558690763,3.71046914104391,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,AUCinf_only,10000,9.1,8.55189148953229,9.67951957718906,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
V2_up_080,P2,10000,3.97,3.60465114473627,4.37069974526822,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,F3A,10000,1.96,1.70618120834513,2.25071335510948,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,F3B,10000,2.74,2.43773866715423,3.07855685884212,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,F3C,10000,3.35,3.01485414257931,3.72097290540482,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,G2,10000,4.03,3.66187206390807,4.43343274629193,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,AUClast_only,10000,3.97,3.60465114473627,4.37069974526822,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
V2_up_080,AUCinf_only,10000,4.03,3.66187206390807,4.43343274629193,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016
Vmax_down_125,P2,10000,2.67,2.37175657034417,3.00459271542408,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,F3A,10000,2.65,2.35291491804175,2.98344972766133,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,F3B,10000,2.64,2.34349585263643,2.97287647303405,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,F3C,10000,2.64,2.34349585263643,2.97287647303405,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,G2,10000,24.58,23.7459837064685,25.4335387706967,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,AUClast_only,10000,2.67,2.37175657034417,3.00459271542408,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_down_125,AUCinf_only,10000,24.58,23.7459837064685,25.4335387706967,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,k2016
Vmax_up_080,P2,10000,2.25,1.97714552453257,2.55952631986704,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,k2016
Vmax_up_080,F3A,10000,2.07,1.80879636235755,2.36801372145551,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,k2016
Vmax_up_080,F3B,10000,2.25,1.97714552453257,2.55952631986704,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,k2016
Vmax_up_080,F3C,10000,2.06,1.79945903728368,2.3573587264968,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,k2016
