model,mechanism,direction,multiplier,auc_ratio_screen
k2020,Vmax,down,1,1
k2020,Vmax,down,0.825404185268018,1.11336029691339
k2020,Vmax,down,0.681292069057961,1.22429836593633
k2020,Vmax,down,0.562341325190349,1.33159541314347
k2020,Vmax,down,0.464158883361278,1.43422884425563
k2020,Vmax,down,0.383118684955729,1.5313914653228
k2020,Vmax,down,0.316227766016838,1.62249551563696
k2020,Vmax,down,0.261015721568254,1.70716378403119
k2020,Vmax,down,0.215443469003188,1.78521088089351
k2020,Vmax,down,0.177827941003892,1.85661808376058
k2020,Vmax,down,0.146779926762207,1.92150491177438
k2020,Vmax,down,0.121152765862859,1.98010011625111
k2020,Vmax,down,0.1,2.03271403186091
k2020,Vmax,up,1,1
k2020,Vmax,up,1.21152765862859,0.885597121638104
k2020,Vmax,up,1.46779926762207,0.771640576681017
k2020,Vmax,up,1.77827941003892,0.659660691332473
k2020,Vmax,up,2.15443469003188,0.55117456964505
k2020,Vmax,up,2.61015721568254,0.447781823361893
k2020,Vmax,up,3.16227766016838,0.351073612217924
k2020,Vmax,up,3.83118684955729,0.262636493813922
k2020,Vmax,up,4.64158883361278,0.1846875220015
k2020,Vmax,up,5.62341325190349,0.119758736874707
k2020,Vmax,up,6.81292069057961,0.0700851117121353
k2020,Vmax,up,8.25404185268019,0.0363754857094345
k2020,Vmax,up,10,0.0166071027319411
