scenario,metric,x,n,est,lo,hi,n_trials
VM125,discord_last_pass_inf_fail,90,5000,1.8,1.46677595880245,2.20723050870105,5000
VM150,AUCinf_all,568,20000,2.84,2.61868417235903,3.07942866845276,20000
VM150,AUCinf_reliable,1299,20000,6.495,6.16174631624772,6.84496274099395,20000
VM150,AUCinf_subC,17,20000,0.085,0.053078848484255,0.13609211099667,20000
VM150,AUCinf_true,46,20000,0.23,0.172490362609337,0.306624906415318,20000
VM150,AUClast,15,20000,0.075,0.0454580190853952,0.123716781116652,20000
VM150,Cmax,17946,20000,89.73,89.3016274449124,90.1431133700695,20000
VM150,joint_last_cmax,15,20000,0.075,0.0454580190853952,0.123716781116652,20000
VM150,joint_3rel,14,20000,0.07,0.0417036922882813,0.117473028274327,20000
VM150,joint_3all,15,20000,0.075,0.0454580190853952,0.123716781116652,20000
VM150,discord_last_pass_inf_fail,1,20000,0.005,0.000882628227297485,0.028319057022604,20000
