schedule,n,reliable_gain_pp,reliable_gain_lo,reliable_gain_hi,reliable_mcnemar_p,extrap_gt20_change_pp,extrap_gt20_only_ref,extrap_gt20_only_sched,extrap_gt20_mcnemar_p,lambda_ok_change_pp,extrap_true_median_change,auclast_err_inf_sd_ratio
Bminus,20000,-0.11,-0.332181691566167,0.112181691566167,0.354316818884681,0.46,6,98,1.59165486009059e-22,-0.0499999999999945,0,1.00054784377971
D1,20000,1.225,0.852590850839136,1.59740914916086,1.28128067515853e-10,-0.13,30,4,6.16488978266717e-06,0.0800000000000023,0,0.997710020806539
D2,20000,0.985,0.600278334740574,1.36972166525943,5.8482434056173e-07,-0.13,31,5,1.29134859889746e-05,0.1,0,0.998493607765932
D3,20000,3.22,2.72576603608356,3.71423396391644,2.53319047751559e-37,-0.605,125,4,3.34053924182357e-32,0.635000000000008,0,0.986697406148621
D4,20000,0.67,0.313251939392886,1.02674806060711,0.000256925642524309,-0.145,33,4,1.08439417090267e-06,0.0600000000000045,0,0.998845548194827
