schedule,n,reliable_gain_pp,reliable_gain_lo,reliable_gain_hi,reliable_mcnemar_p,extrap_gt20_change_pp,extrap_gt20_only_ref,extrap_gt20_only_sched,extrap_gt20_mcnemar_p,extrap_gt20_ratio,lambda_ok_change_pp,extrap_true_median_change,auclast_err_inf_sd_ratio,c_gain_boot_lo,c_gain_boot_hi,d_ratio_boot_lo,d_ratio_boot_hi,d_n_ref,d_n_sched,d_n_subjects
Bminus,20000,-2.045,-2.32880737123831,-1.76119262876169,1.78048841889359e-46,0.07,2,16,0.001312255859375,1.12962962962963,-0.00499999999999945,0,0.999575113264429,-2.325125,-1.755,1.05425106276569,1.22126352015733,108,122,20000
D1,20000,-2.955,-3.42188021107622,-2.48811978892378,2.39687678573141e-35,-0.00500000000000006,2,1,1,0.990740740740741,0.0099999999999989,0,1.00656037596641,-3.405125,-2.49,0.955357142857143,1.0204134231012,108,107,20000
D2,20000,-2.33,-2.79332903057927,-1.86667096942073,7.0609274365703e-23,-0.00500000000000006,2,1,1,0.990740740740741,0.0099999999999989,0,1.00776504755313,-2.765125,-1.875,0.956513805141225,1.0204134231012,108,107,20000
D3,20000,-3.655,-4.23679804307521,-3.07320195692479,9.77462562743197e-35,-0.135,27,0,1.49011611938476e-08,0.75,0.124999999999997,0,0.991561130944132,-4.27,-3.069875,0.666666666666667,0.828571428571429,108,81,20000
D4,20000,-3.335,-3.78970977674892,-2.88029022325108,5.52227692689941e-47,-0.00500000000000006,3,2,1,0.990740740740741,0.0099999999999989,0,1.00674525037881,-3.805,-2.875,0.951923076923077,1.03,108,107,20000
