schedule,n_lambda,N,pct
B0,3,9275,46.375
B0,4,4366,21.83
B0,5,2945,14.725
B0,6,1763,8.815
B0,7,1004,5.02
B0,8,426,2.13
B0,9,141,0.705
B0,10,27,0.135
B0,,53,0.265
Bminus,3,9364,46.82
Bminus,4,4522,22.61
Bminus,5,3052,15.26
Bminus,6,1795,8.975
Bminus,7,937,4.685
Bminus,8,259,1.295
Bminus,9,14,0.07
Bminus,,57,0.285
D1,3,8937,44.685
D1,4,4075,20.375
D1,5,2443,12.215
D1,6,1597,7.985
D1,7,1134,5.67
D1,8,801,4.005
D1,9,553,2.765
D1,10,266,1.33
D1,11,122,0.61
D1,12,21,0.105
D1,,51,0.255
D2,3,8945,44.725
D2,4,4081,20.405
D2,5,2440,12.2
D2,6,1562,7.81
D2,7,1121,5.605
D2,8,685,3.425
D2,9,521,2.605
D2,10,288,1.44
D2,11,182,0.91
D2,12,99,0.495
D2,13,25,0.125
D2,14,1,0.005
D2,,50,0.25
D3,3,8610,43.05
D3,4,3857,19.285
D3,5,2366,11.83
D3,6,1659,8.295
D3,7,1207,6.035
D3,8,838,4.19
D3,9,529,2.645
D3,10,409,2.045
D3,11,241,1.205
D3,12,143,0.715
D3,13,96,0.48
D3,14,23,0.115
D3,15,1,0.005
D3,,21,0.105
D4,3,8999,44.995
D4,4,3944,19.72
D4,5,2525,12.625
D4,6,1632,8.16
D4,7,1154,5.77
D4,8,762,3.81
D4,9,513,2.565
D4,10,271,1.355
D4,11,125,0.625
D4,12,23,0.115
D4,13,1,0.005
D4,,51,0.255
