schedule,n,reliable_gain_pp,reliable_gain_lo,reliable_gain_hi,reliable_mcnemar_p,extrap_gt20_change_pp,extrap_gt20_only_ref,extrap_gt20_only_sched,extrap_gt20_mcnemar_p,extrap_gt20_ratio,lambda_ok_change_pp,extrap_true_median_change,auclast_err_inf_sd_ratio,c_gain_boot_lo,c_gain_boot_hi,d_ratio_boot_lo,d_ratio_boot_hi,d_n_ref,d_n_sched,d_n_subjects
Bminus,20000,-3.18,-3.51604627146098,-2.84395372853902,3.37361673757035e-79,0.235,0,47,1.4210854715202e-14,1.29375,-0.0149999999999983,0,1.00285691799052,-3.515125,-2.844875,1.20381870724227,1.40846670934699,160,207,20000
D1,20000,-3.11,-3.64719788915316,-2.57280211084685,9.03126384743897e-30,-0.025,7,2,0.1796875,0.96875,0.0149999999999983,0,1.00073791264047,-3.63525,-2.59,0.928994082840237,1.00535356854778,160,155,20000
D2,20000,-2.29,-2.8240469769418,-1.7559530230582,4.94887684854458e-17,-0.0200000000000001,7,3,0.34375,0.975,0.0149999999999983,0,1.00167711108078,-2.795,-1.779875,0.935293059669911,1.01324503311258,160,156,20000
D3,20000,-1.935,-2.58489085788951,-1.28510914211049,5.9028541419435e-09,-0.25,53,3,8.13710210323394e-13,0.6875,0.280000000000002,-0.133451770864174,0.978505561517269,-2.59,-1.274875,0.612015429122469,0.763513513513514,160,110,20000
D4,20000,-3.5,-4.02369450330955,-2.97630549669045,3.75384628397575e-39,-0.0200000000000001,5,1,0.21875,0.975,0.0149999999999983,0,1.00102387681146,-4.05,-2.955,0.944444444444444,1,160,156,20000
