ada,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo,schedule
1,2061,28.3593958341517,20.3424972174689,42.0691153090447,0.339640950994663,95.7787481804949,85.201358563804,81.3682678311499,10.5773896166909,0.921882581271228,5.91945657447841,84.8131974769529,3,61.2968591691996,2.29115165231127,11.5979064948154,0.962512664640324,0.646535026740025,3.84946782011211,0,-0.0304729250571192,0.0958559710514052,0.0966311778242927,-0.0424541700053674,480.29195054668,37.3013084368231,511.413698246459,35.9786315139179,34.1739651531167,37.9071917605411,519.104478619981,503.070558034223,B0
0,17939,34.7214617053978,20.9892164797056,49.4720338164829,3.21645576676515,98.5785160822788,86.9613690841184,80.5563297842689,11.6171469981604,1.10931490049613,8.18886225542115,86.3537543898768,3,51.3684686722461,2.84965237171283,12.2376717986428,1.12531101560733,0.675646374124039,3.62205241299355,0,-0.0281018090110814,0.0944576527876079,0.0951553518992009,-0.0394705983318985,545.881167537705,40.4366179621256,587.628405075613,36.330961645024,34.2038454147281,38.3047729491865,589.340608177744,570.438575799643,B0
1,2061,28.3593958341517,20.3424972174689,41.9486107616685,0.388161086851043,95.7787481804949,85.2983988355167,81.2227074235808,10.4803493449782,0.921882581271228,6.21057738961669,84.9102377486657,3,60.9929078014184,2.43541474293157,11.642324723615,0.962512664640324,0.67889347696819,3.877947843306,0,-0.0305221953646599,0.0958700382496462,0.0966290715407279,-0.0426319954412092,480.143900332245,37.242606578617,511.129712114819,35.9786315139179,34.1739651531167,37.9071917605411,518.696197028641,503.070558034223,Bminus
0,17939,34.7187237967737,20.9892164797056,42.861593689397,3.39483806232232,98.5617927420704,86.9725179775907,78.5495289592508,11.5892747644796,1.46607949161046,10.6862143932215,86.1642232008473,3,51.1452972116962,3.35273524983121,13.5874898455313,1.48747242803009,0.865844147125494,4.09506088720643,0,-0.028213609515624,0.0946122027723609,0.0952369655194932,-0.0413537153326634,544.730934042041,40.1340717155024,585.691825862228,36.330961645024,34.2038454147281,38.3047729491865,585.134170555845,570.438575799643,Bminus
1,2061,28.3545692209154,20.3424972174689,44.2313656294718,0.339640950994663,95.7787481804949,85.6865599223678,82.0960698689956,10.0921882581271,0.873362445414847,5.38573508005822,85.3469189713731,3,59.4224924012158,1.67993158806338,11.3938189957901,0.911854103343465,0.414242466296078,3.84946782011211,0,-0.0303057621582752,0.0956949816154169,0.0966112576211928,-0.0402591003674535,480.960275505082,37.4249915867469,512.339328256428,35.9786315139179,34.1739651531167,37.9071917605411,516.581162654758,503.070558034223,D1
0,17939,35.5685938983224,20.9892164797056,49.4216139266267,3.14398795919505,98.6231116561681,87.1564747198841,79.9542895367635,11.4666369362841,1.04242153966219,8.64596688778639,86.5767322593233,4,49.6212977617002,1.57065448478679,11.4689036731031,1.05697490391137,0.305581411697264,3.59842802400519,0,-0.02775807941012,0.0940160011182213,0.0949009214701887,-0.0366832371698295,547.595710912799,40.6006096349686,589.758255564234,36.330961645024,34.2038454147281,38.3047729491865,581.433549712081,570.438575799643,D1
1,2061,28.3545692209154,20.3424972174689,44.2313656294718,0.339640950994663,95.7787481804949,85.6865599223678,82.144590004852,10.0921882581271,0.873362445414847,5.33721494420184,85.3469189713731,3,59.4731509625127,1.67731737590514,11.3938189957901,0.911854103343465,0.413173056144356,3.84946782011211,0,-0.0303057621582752,0.0956954048179688,0.096613782888497,-0.0402591003674535,480.9693711801,37.429422819183,512.35972545057,35.9786315139179,34.1739651531167,37.9071917605411,516.690997965023,503.070558034223,D2
0,17939,35.5685938983224,20.9892164797056,51.8043464222923,3.0938179385696,98.6231116561681,87.0003902112715,80.3222030213501,11.6227214448966,1.0256981994537,8.1386922347957,86.4429455376554,4,49.7004295726882,1.45728155382504,11.4422588120835,1.04001808727108,0.273140161272212,3.59842802400519,0,-0.02775807941012,0.0939982643991892,0.0949158477322598,-0.0363362286842601,547.716994018825,40.6351773682594,589.972323351891,36.330961645024,34.2038454147281,38.3047729491865,582.067495464051,570.438575799643,D2
1,2061,30.8474845844321,20.3424972174689,44.2313656294718,0.339640950994663,97.4769529354682,87.8699660359049,83.6972343522562,9.60698689956332,0.824842309558467,5.72537603105289,87.5303250849103,3,54.5047287207566,0.991730692320703,9.96288946445291,0.846192135390742,0.210801071505662,3.80420714736025,0,-0.0303988649716332,0.0952235328005711,0.0961221169021166,-0.038658835467723,482.792075676985,37.455001110243,514.284557720249,35.9786315139179,34.1739651531167,37.9071917605411,511.538142828541,503.070558034223,D3
0,17939,35.5635526431724,20.9908041886985,51.8043464222923,3.0938179385696,99.1192374156865,89.503316795808,82.0670048497687,9.61592061987848,0.797145883271085,8.30035119014438,89.0796588438598,4,47.7138518643496,1.03008843905001,7.98428360535846,0.804229233451437,0.200833442929804,2.95100412033399,0,-0.0260513082692643,0.0927764419444127,0.0936383354386286,-0.0313360288280953,550.231812589251,40.4981148672375,592.323231674891,36.3310869858679,34.2027612749802,38.304820842333,574.713009464061,570.438575799643,D3
1,2061,28.3593958341517,20.3424972174689,42.6646856786683,0.339640950994663,95.8272683163513,85.1043182920912,80.9801067442989,10.7229500242601,0.873362445414847,5.91945657447841,84.7646773410965,3,59.7974683544304,1.74757372894488,11.4183565354226,0.911392405063291,0.438066290980665,3.84946782011211,0,-0.0309542788890544,0.0958076694498676,0.096678542124992,-0.0412020567353445,480.915490925712,37.4254386098693,512.300440742539,35.9786315139179,34.1739651531167,37.9071917605411,515.562784375528,503.070558034223,D4
0,17939,35.1352138034999,20.9892164797056,49.4208942817058,3.13283906572273,98.6063883159596,86.6770723005742,79.6755671999554,11.9293160153855,1.03127264618987,8.45086125202074,86.1084787334857,4,49.816269998304,1.62599936816524,11.4759229146401,1.04584770196167,0.320347347964844,3.59500397022922,0,-0.0275930905807473,0.0941233574702688,0.0950058679235931,-0.0366295357214283,547.521379283172,40.6080351752557,589.70414277823,36.330961645024,34.2038454147281,38.3047729491865,581.436362648765,570.438575799643,D4
