schedule,n,reliable_gain_pp,reliable_gain_lo,reliable_gain_hi,reliable_mcnemar_p,extrap_gt20_change_pp,extrap_gt20_only_ref,extrap_gt20_only_sched,extrap_gt20_mcnemar_p,extrap_gt20_ratio,lambda_ok_change_pp,extrap_true_median_change,auclast_err_inf_sd_ratio,c_gain_boot_lo,c_gain_boot_hi,d_ratio_boot_lo,d_ratio_boot_hi,d_n_ref,d_n_sched,d_n_subjects
Bminus,20000,-1.815,-2.07325301545771,-1.55674698454229,1.38368896842231e-44,0.32,2,66,1.59038906176468e-17,1.29357798165138,-0.0149999999999983,0,1.00073833713587,-2.085,-1.555,1.21491228070175,1.384625,218,282,20000
D1,20000,-0.465,-0.924104352345213,-0.00589564765478739,0.0495425787552897,-0.065,16,3,0.004425048828125,0.940366972477064,0.0399999999999956,0,0.997644940305678,-0.925,0.005,0.898145900755124,0.977171544209215,218,205,20000
D2,20000,-0.13,-0.590086402562487,0.330086402562487,0.594377342375599,-0.08,17,1,0.00014495849609375,0.926605504587156,0.0399999999999956,0,0.997796545540754,-0.57,0.310124999999999,0.887173913043478,0.961357302118172,218,202,20000
D3,20000,1.595,0.988974532695736,2.20102546730426,2.71947878780512e-07,-0.29,62,4,2.08354384093056e-14,0.73394495412844,0.660000000000005,0,0.985299191844824,0.955,2.2,0.669723732824111,0.799067417525362,218,160,20000
D4,20000,-0.83,-1.26460768548199,-0.395392314518008,0.000198110622934479,-0.0750000000000001,15,0,6.10351562500001e-05,0.931192660550459,0.0299999999999967,0,0.998702813466303,-1.28,-0.4,0.895727595863852,0.96313786834651,218,203,20000
