scenario,schedule,n_trials,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,last_fail_inf_pass,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi,joint_3rel,joint_3rel_lo,joint_3rel_hi,joint_3all,joint_3all_lo,joint_3all_hi,cor_logGMR_last_infrel
F090,B0,2000,81.85,80.1002590124236,83.4776250757606,3.4,2.69082601595606,4.28784279065671,14.75,29.15,27.1997864613668,31.1801544102615,25.8,23.9301277134751,27.7626573749375,28.8,26.8575447842847,30.8237380204405,0.860440691066798
KE120,B0,2000,86.4,84.8277293597005,87.8327095982243,5,4.12812336187317,6.04441089343959,8.6,73.65,71.6753028515514,75.5340208120453,68.65,66.5827194909169,70.6457746454924,72.75,70.7564311496705,74.6563431990325,0.872966818956576
KM10,B0,2000,99.65,99.2792803746758,99.8303568302958,0.2,0.0778027307051057,0.513135178507686,0.15,99.6,99.2126535703962,99.7971753393035,99.4,98.9541551663058,99.6564405623064,99.55,99.146948678124,99.7630719363038,0.876332227797846
S00,B0,2000,99.7,99.3470084926065,99.862437007637,0.3,0.137562992363011,0.652991507393531,0,99.8,99.4868648214923,99.9221972692949,99.5,99.0820304050058,99.7281819141502,99.75,99.4160846683567,99.8931691271586,0.86391405862488
VM125,B0,2000,73.6,71.6242275972412,75.4852877710837,1.5,1.05270980371067,2.13324378257087,24.9,55.3,53.1129447098852,57.4667345889336,53.8,51.6098297198054,55.9756007208571,55.15,52.9625435023316,57.3177109106716,0.845706551141573
