scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean
F090,B0,Cmax,2000,78.3,76.4401403142022,80.0513548096788,0.886322627603947,0.884753176249274,0.88789207895862,12.2127741522076,117,117
F090,B0,AUClast,2000,29.65,27.688949983209,31.689073841138,0.847599643436256,0.845833240803077,0.849366046069434,13.7079762990937,117,117
F090,B0,AUCinf_all,2000,36.15,34.0728423887459,38.2802598209448,0.8526671792853,0.850935516275045,0.854398842295555,13.4752967370848,116.579,116.139
F090,B0,AUCinf_reliable,2000,41,38.8637365219423,43.1707703291202,0.860919843977863,0.859085885575642,0.862753802380084,14.2470226258678,99.084,97.5645
F090,B0,AUCinf_true,2000,34.6,32.5465336060346,36.712511450228,0.849556956445438,0.84787253863306,0.851241374257816,13.0632921148376,117,117
F090,B0,AUCinf_subC,2000,31.25,29.2561790625688,33.3157102104782,0.848974623846374,0.847213590823862,0.850735656868887,13.6488253748129,117,117
KE120,B0,Cmax,2000,99.9,99.6361065730962,99.9725721082348,0.963537481506946,0.961831752038643,0.96524321097525,13.2740215599454,117,117
KE120,B0,AUClast,2000,73.65,71.6753028515514,75.5340208120453,0.894952846229185,0.893088731745086,0.896816960713284,14.4319500127849,117,117
KE120,B0,AUCinf_all,2000,76.95,75.053632026993,78.7430391245474,0.896175846434033,0.894346832977044,0.898004859891021,14.1490182209537,116.579,116.3585
KE120,B0,AUCinf_reliable,2000,77.25,75.3615089127177,79.034012010454,0.90171711704854,0.899796174947816,0.903638059149265,14.8528791557691,99.084,100.4885
KE120,B0,AUCinf_true,2000,79,77.160176895272,80.7286343624154,0.896404956225856,0.894627996585665,0.898181915866047,13.7478157350889,117,117
KE120,B0,AUCinf_subC,2000,74.7,72.748629774965,76.5566680893411,0.895549899955111,0.8936916539823,0.897408145927921,14.345454064627,117,117
KM10,B0,Cmax,2000,100,99.8082952718747,100,1.00101105067693,0.999258512614204,1.00276358873965,13.6422856774447,117,117
KM10,B0,AUClast,2000,99.6,99.2126535703962,99.7971753393035,1.00801182410988,1.00593542087082,1.01008822734895,16.1133207768694,117,117
KM10,B0,AUCinf_all,2000,99.8,99.4868648214923,99.9221972692949,0.99633479592775,0.994289817701352,0.998379774154148,15.7883590000234,116.579,116.783
KM10,B0,AUCinf_reliable,2000,99.55,99.146948678124,99.7630719363038,0.991290849695275,0.989185046970667,0.993396652419884,16.2942824896432,99.084,101.325
KM10,B0,AUCinf_true,2000,99.85,99.5598967444229,99.9489736416362,1.00574331994797,1.00376205856455,1.00772458133139,15.3531905037584,117,117
KM10,B0,AUCinf_subC,2000,99.75,99.4160846683567,99.8931691271586,1.00142043017386,0.999362367147095,1.00347849320062,15.9458746500761,117,117
S00,B0,Cmax,2000,100,99.8082952718747,100,0.999985636388338,0.998232842940349,1.00173842983633,13.6440818270466,117,117
S00,B0,AUClast,2000,99.8,99.4868648214923,99.9221972692949,1.00048543603864,0.998417023348746,1.00255384872853,16.0529727347403,117,117
S00,B0,AUCinf_all,2000,99.85,99.5598967444229,99.9489736416362,1.00066034888046,0.998616378160008,1.00270431960092,15.7948501383616,116.579,116.5615
S00,B0,AUCinf_reliable,2000,99.5,99.0820304050058,99.7281819141502,1.00074156562951,0.998628614772119,1.0028545164869,16.4317453278588,99.084,99.2725
S00,B0,AUCinf_true,2000,99.95,99.7173137496734,99.9911732269295,1.00019619972647,0.998221829649721,1.00217056980322,15.3000618853669,117,117
S00,B0,AUCinf_subC,2000,99.75,99.4160846683567,99.8931691271586,1.00053577144464,0.998473237465329,1.00259830542394,15.9635344572753,117,117
VM125,B0,Cmax,2000,99.9,99.6361065730962,99.9725721082348,0.965981619157835,0.964248059340452,0.967715178975218,13.482451554244,117,117
VM125,B0,AUClast,2000,55.3,53.1129447098852,57.4667345889336,0.875498222605749,0.873656380910533,0.877340064300965,14.3113279537274,117,117
VM125,B0,AUCinf_all,2000,70.7,68.6671394211088,72.6534948214473,0.888591797198705,0.886774895168275,0.890408699229136,14.0925629296737,116.579,115.407
VM125,B0,AUCinf_reliable,2000,78.7,76.8514945717195,80.4384669143366,0.905334519280956,0.903354484493784,0.907314554068128,15.1897976567572,99.084,94.131
VM125,B0,AUCinf_true,2000,64.85,62.7309155321096,66.9121481636372,0.880785792369531,0.87902648114158,0.882545103597481,13.6540335772864,117,117
VM125,B0,AUCinf_subC,2000,58.8,56.6280321534044,60.9382278144456,0.878137165228999,0.876297713069357,0.879976617388641,14.2854846006265,117,117
