variant,model_label,model_label_en,schedule,grp,n,n_subjects,pct_of_subjects,pct_of_B0_reliable,window_B0_median,window_median,HL_B0_median,HL_median,lower_B0_median,lower_median,upper_B0_median,upper_median,npts_B0_median,npts_median,span_B0_median,span_median,rsq_B0_median,rsq_median,d_window_median,d_HL_median,d_lower_median,d_upper_median,d_npts_median,d_rsq_median,window_unchanged_pct,window_shorter_pct,window_longer_pct,HL_longer_pct,HL_shorter_pct,lower_later_pct,upper_later_pct,npts_fewer_pct,npts3_B0_pct,npts3_pct,rsq_higher_pct,mean_dlog_window,mean_dlog_HL,mean_dlog_span,window_with_added_day_pct,HL_lt1_pct,other_flag_pct,nominal_map_consistent_pct,window_share_of_dlog_span
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,lost_span,459,20000,2.295,2.84263330649656,20.9100067932159,14.6123138195835,6.55258488933465,10.363208806445,27.968933980912,27.570432944689,48.9245217726566,42.0174441225827,4,3,3.13719270078473,1.64277419072963,0.916071362839877,0.966928153946499,-6.51599277043715,3.47857155781377,0,-6.86676528584212,-1,0.0289636457229897,0,74.2919389978214,25.4901960784314,94.3355119825708,5.66448801742919,25.2723311546841,0,61.8736383442266,34.640522875817,72.9847494553377,64.9237472766885,-0.271631912101442,0.502555225566123,-0.774187137667564,0,0,18.9542483660131,98.6928104575163,0.350860791771615
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,stayed_reliable,15596,20000,77.98,96.587601412027,15.1515696331044,15.726449328009,5.13247536826088,5.25700716624642,14.0394983897568,14.0160947067197,34.8111875192262,34.8116215358023,3,3,3.38501019891231,3.31236184999302,0.939701542930499,0.941818474177646,0,0,0,0,0,0,91.3824057450628,3.26365734803796,4.16773531674788,6.45678379071557,2.1608104642216,1.01949217748141,0.185945114131829,4.18055911772249,51.0387278789433,50.230828417543,5.02692998204668,0.0131788398613444,0.0300531987934805,-0.0168743589321361,0,0,0,99.2946909463965,
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,gained_from_span,65,20000,0.325,,13.8376615229063,28.6198054305278,8.69517145393471,10.6985494185962,35.860116109252,14.2268792892573,49.9385748547502,55.1926833773032,3,5,1.67836317522691,2.5707211191139,0.991268921240877,0.939863243309293,14.2307557766326,2.44138656744849,-20.5475541822379,0,2,-0.0476740441970902,0,3.07692307692308,96.9230769230769,69.2307692307692,30.7692307692308,6.15384615384615,6.15384615384615,0,100,26.1538461538462,6.15384615384615,0.741940806669365,0.129455345667643,0.612485461001722,0,0,0,93.8461538461539,1.2113606834943
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,lost_span,623,20000,3.115,3.85830185173717,21.0651490050368,7.13545960187912,7.13047149936736,4.51205591714272,21.2499439972453,38.0945484414697,42.4673222214915,44.7177325747907,4,3,2.95422570925059,1.71591217243623,0.945025447789982,0.988922265632136,-13.9858920122497,-2.4597150523105,14.6521728010848,0,-1,0.0325268457925234,0,99.3579454253612,0,12.199036918138,87.800963081862,98.7158908507223,38.2022471910112,64.2054574638844,34.6709470304976,94.7030497592295,85.0722311396469,-1.04123899894832,-0.417457503249666,-0.623781495698657,99.8394863563403,0,0.160513643659711,99.3579454253612,1.66923675378042
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,stayed_reliable,14913,20000,74.565,92.357713507153,15.1141853770241,14.5418275711127,5.08178671160774,4.43507221736654,14.032478569774,14.1138391121058,34.7454890697263,35.3651681425981,3,4,3.40586602055491,3.5057351036617,0.939034818010981,0.935715472665977,0,0,0,0,0,0,53.9596325353718,22.7519613759807,16.8577750955542,10.3600885133776,35.6802789512506,22.597733521089,25.8029906792731,12.150472741903,51.2841145309462,48.2397907865621,20.7939381747469,-0.14425140578732,-0.161108958696456,0.0168575529091356,45.9062562864615,0.00670555890833501,0,99.1014551062831,
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,gained_from_span,432,20000,2.16,,13.9681063236203,20.017908598762,8.01773662715301,6.37155034458673,21.442988011986,20.8356951235328,35.2895480548032,38.5851639709435,3,5,1.78743053906797,3.04757103982059,0.985841481090952,0.909041990993892,4.10420969943516,-1.96794231518121,0,3.10446278960444,2,-0.0537681804893915,0,28.4722222222222,69.6759259259259,13.1944444444444,86.8055555555556,28.7037037037037,86.5740740740741,5.09259259259259,87.037037037037,23.6111111111111,20.3703703703704,0.242119526619863,-0.3683230655613,0.610442592181162,100,0,0,99.7685185185185,0.396629477892015
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,lost_span,552,20000,2.76,3.41859168885861,21.0697761652991,7.01933911582455,7.01016808135479,4.36861320282278,21.164745893795,37.5730969570577,42.0662136513274,44.306465302594,4,3,2.98277120239756,1.74491315895774,0.945025312432975,0.989795808190421,-13.8238551567774,-2.49583842747776,14.8177497146535,1.19847558555193,-1,0.0330697278921168,0,99.4565217391304,0,10.5072463768116,89.4927536231884,98.731884057971,51.0869565217391,62.3188405797102,35.8695652173913,92.2101449275362,84.4202898550725,-1.06926967138399,-0.444694725486485,-0.624574945897501,99.8188405797102,0,0.181159420289855,99.2753623188406,1.71199577954167
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,stayed_reliable,14943,20000,74.715,92.5435065337214,15.1223692316562,14.4850270028692,5.08777516730902,4.37910734100914,14.0333634354174,14.1241510281106,34.7501813322306,35.3796809227206,3,4,3.40180606777185,3.51799567932495,0.939039317881284,0.935028017311263,0,0,0,0,0,0,53.8513016127953,24.058087398782,17.560061567289,9.10794351870441,37.0407548685003,23.9643980459078,29.057083584287,12.6279863481229,51.1677708626113,48.4708559191595,20.2837448972763,-0.161184583796064,-0.182662635747945,0.021478051951881,46.0148564545272,0.00669209663387539,0,98.9894934082848,
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,gained_from_span,451,20000,2.255,,13.9714721366763,18.1587870018557,8.00699560541824,6.23556745667917,21.5487410449423,20.9507232164033,35.3787295701914,38.6232238751836,3,5,1.78598753769747,3.07841400677501,0.987025604688786,0.907344495391771,3.89786602510139,-2.0644508283386,0,3.18730277055874,2,-0.0578434988310479,0,29.9334811529933,69.4013303769401,12.4168514412417,87.5831485587583,30.820399113082,92.9046563192905,4.87804878048781,87.139689578714,24.8337028824834,20.3991130820399,0.229037182963437,-0.39556355866613,0.624600741629567,100,0,0,99.5565410199557,0.366693741614659
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,lost_span,919,20000,4.595,5.69145971387874,20.4382233648794,6.75710234278813,6.63018873573917,4.08456109815158,20.0064118416049,31.6883244332857,35.8295310363174,38.544740150217,4,3,2.95422570925059,1.75147369194382,0.946898307812211,0.989937798399644,-13.5310964978999,-2.33505920853684,14.135506941122,1.45254965499043,-1,0.0336004513548532,0,99.1294885745375,0.326441784548422,8.8139281828074,91.1860718171926,98.9118607181719,53.2100108813928,58.4330794341676,39.2818280739935,90.8596300326442,84.1131664853101,-1.04184553928702,-0.446182417205324,-0.595663122081694,99.6735582154516,0,0.43525571273123,99.455930359086,1.74905160427932
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,stayed_reliable,14308,20000,71.54,88.6108874713569,15.14762034663,13.1012228133623,5.06680974205598,3.69514684285893,14.0341737145791,21.0675670865458,34.812004245352,35.6391859494615,3,4,3.41382888303618,3.54458182270927,0.93875149688476,0.934806566655551,0,-0.902302001798038,0,0,0,0,19.6673189823875,45.0517193178641,26.299972043612,16.1378249930109,64.1948560246016,45.0307520268381,46.8339390550741,21.1769639362594,50.8876153201006,43.8635728263908,36.2175006989097,-0.308359682532903,-0.326598182010967,0.0182384994780635,80.3466592116299,0.00698909700866648,0,98.888733575622,
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,gained_from_span,829,20000,4.145,,13.9502273810795,16.5663570738398,8.08046227978705,5.43209344069559,20.0109349922277,20.5496227559634,34.2335012028925,37.315466967877,3,4,1.78598753769747,2.93699777395449,0.976874843011301,0.906838241525397,2.72067327937111,-2.91010613826143,0,3.25022359425202,1,-0.0439676740128562,0,42.0989143546442,57.5392038600724,7.35826296743064,92.6417370325694,43.6670687575392,96.0193003618818,6.27261761158022,85.524728588661,30.2774427020507,30.2774427020507,0.0425615507050226,-0.545205543420406,0.587767094125429,100,0,0,99.3968636911942,0.0724122720213732
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,lost_span,552,20000,2.76,3.41859168885861,21.1977535968181,6.92620941647328,7.16451561161657,4.30630320322201,21.9630339082796,39.4700642679818,48.0597897132393,48.0597897132393,4,3,3.00455411112105,1.71313295554092,0.941726897159974,0.987090525990846,-14.1080966473091,-2.42664717887924,14.480549153639,0,-1,0.032947849059577,0,98.5507246376812,0.181159420289855,11.231884057971,88.768115942029,98.3695652173913,10.5072463768116,62.3188405797102,34.7826086956522,90.9420289855072,87.3188405797101,-1.07914099004986,-0.431253814169885,-0.647887175879978,99.8188405797102,0,0.36231884057971,99.8188405797102,1.66563103920701
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,stayed_reliable,15002,20000,75.01,92.9088994859726,15.1302659043577,14.5812362408615,5.08805244985023,4.54637799005376,14.0290658929735,14.0951594598009,34.7400537903886,35.0352908819914,3,4,3.40638113075208,3.50865956499801,0.93917122225882,0.93648301902335,0,0,0,0,0,0,59.6587121717104,19.2907612318358,12.2916944407412,11.8317557658979,28.5095320623917,19.130782562325,17.7109718704173,10.5319290761232,51.0398613518198,48.6001866417811,17.7976269830689,-0.120545494829464,-0.138508528341532,0.017963033512068,40.207972270364,0,0,98.9668044260765,
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,gained_from_span,423,20000,2.115,,13.9459187621251,17.8287018174306,8.04990796507683,5.56727209977747,21.5803482620977,21.6856575771235,35.4725695811212,39.6064393976703,3,4,1.77720246713772,3.34069171768323,0.981499136662354,0.901739470113902,4.23378019655744,-2.84304486554807,0,4.02396785467863,1,-0.0627541773145118,0,39.9527186761229,59.5744680851064,12.0567375886525,87.9432624113475,40.1891252955083,85.8156028368794,7.56501182033097,87.4704491725768,35.4609929078014,23.8770685579196,0.167079379972913,-0.529091167569875,0.696170547542788,100,0,0,99.7635933806147,0.239997771469417
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,lost_span,900,20000,4.5,5.36256926651969,20.338988436386,14.312076585833,6.16082744291467,9.69872420870025,28.4467213433236,27.7709943845403,49.0131996292621,41.9375854760874,4,3,3.18886898329027,1.68289116542688,0.925473587354554,0.985524966020031,-6.15377105772495,3.06508972071973,0,-6.99506335449405,-1,0.044438881548964,0,73.1111111111111,26.6666666666667,95.5555555555556,4.44444444444444,20.5555555555556,0,57.8888888888889,39.8888888888889,73.6666666666667,78.2222222222222,-0.235339690917023,0.46793864320244,-0.703278334119463,0,0,6,99.7777777777778,0.334632363176209
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,stayed_reliable,15867,20000,79.335,94.5420961687422,15.109881520737,17.3874948754674,5.60867370066903,5.81500198645249,20.0245822169818,14.2144843128044,35.3324812757783,35.3329473463818,3,3,3.13899224834226,3.04887512816868,0.938040453136309,0.941815841261832,0,0,0,0,0,0,87.5653872817798,3.83185227201109,6.83178924812504,9.45988529652738,2.97472742169282,1.58189953992563,0.163862103737316,5.218377765173,53.0850192222853,51.2888384697801,8.12377891220773,0.0260499675337998,0.0480116036678726,-0.0219616361340728,0,0,0,99.3634587508666,
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,gained_from_span,135,20000,0.675,,13.700531209819,28.1495207231492,7.81147249581308,10.5327640200977,41.7999305357225,21.9997129417025,55.4782642205246,55.5055337981321,3,4,1.75659951479096,2.46070182330826,0.988775154574592,0.956158460163652,13.9101526737213,2.32195142412898,-14.5105532291345,0,1,-0.0256711730277015,0,0,98.5185185185185,88.1481481481482,11.8518518518519,1.48148148148148,1.48148148148148,1.48148148148148,98.5185185185185,31.8518518518519,9.62962962962963,0.683498407271753,0.271674117491926,0.411824289779827,0,0,0,98.5185185185185,1.65968454079571
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,lost_span,1192,20000,5.96,7.10242507299053,20.7439635344781,7.01703231758438,7.12974365480395,4.2836210446117,21.8678970006295,38.5551934386604,42.943406925071,45.7295332013164,4,3,2.8364810666572,1.74044771401194,0.949423571423381,0.989361096312327,-13.3005920657888,-2.62270880879143,14.0185833501164,0,-1,0.0314640841264849,0,99.244966442953,0,4.69798657718121,95.3020134228188,98.8255033557047,31.7114093959732,58.3892617449665,38.3389261744967,91.4429530201342,86.0738255033557,-1.01339161671121,-0.469641934314084,-0.543749682397121,99.6644295302013,0,0.0838926174496644,99.5805369127517,1.86370980897619
