variant,model_label,model_label_en,schedule,n,added_points,reliable_i_B0_pct,reliable_i_pct,gain_i_pp,gain_i_lo,gain_i_hi,n_i_gained,n_i_lost,reliable_ii_B0_pct,reliable_ii_pct,gain_ii_pp,gain_ii_lo,gain_ii_hi,n_ii_gained,n_ii_lost,span_only_loss_B0_pct,span_only_loss_pct,flag_span_B0_pct,flag_span_pct,flag_span_change_pp,n_reliable_to_span,n_span_to_reliable,crit_c_threshold_pp,crit_c_i,crit_c_ii,d_extrap20_B0,d_extrap20,d_extrap20_ratio,crit_d,decision_c_reliable_gain_pp,decision_match_0.01pp,crit_a,crit_b,recommend_decision,recommend_ii,recommend_i
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D3,20000,4,90.63,93.21,2.58,2.10163161595856,3.05836838404144,1456,940,84.825,83.945,-0.88,-1.52832086395285,-0.231679136047153,2101,2277,5.80500000000001,9.265,6.9,9.77,2.87,1443,830,5,FALSE,FALSE,0.431164143186604,0.210231254379818,0.487589837193005,TRUE,-0.88,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D4,20000,2,90.63,91.425,0.795,0.397434187875427,1.19256581212457,903,744,84.825,83.23,-1.595,-2.14327066923594,-1.04672933076406,1408,1727,5.80500000000001,8.195,6.9,9.005,2.105,1102,596,5,FALSE,FALSE,0.431164143186604,0.350912372167636,0.813871880843682,FALSE,-1.595,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),Bminus,20000,-1,79.41,79.35,-0.06,-0.175121692651789,0.0551216926517889,63,75,72.305,71.665,-0.64,-0.790927617962305,-0.489072382037695,55,183,7.10500000000001,7.685,12.655,13.495,0.839999999999999,150,10,5,FALSE,FALSE,3.17907025224098,3.31474435815917,1.04267729089112,FALSE,-0.64,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D1,20000,2,79.41,79.22,-0.19,-0.492682077207053,0.112682077207053,458,496,72.305,72.14,-0.165,-0.519830775027161,0.189830775027161,639,672,7.10500000000001,7.08,12.655,12.36,-0.294999999999999,249,241,5,FALSE,FALSE,3.17907025224098,3.1196291859799,0.981302374107906,FALSE,-0.165,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D2,20000,3,79.41,79.195,-0.215,-0.52067839178726,0.0906783917872597,465,508,72.305,72.29,-0.015,-0.368482181176485,0.338482181176485,649,652,7.10500000000001,6.90500000000001,12.655,12.175,-0.48,215,246,5,FALSE,FALSE,3.17907025224098,3.1196291859799,0.981302374107906,FALSE,-0.015,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D3,20000,4,79.41,81.915,2.505,2.01987699333674,2.99012300666326,1482,981,72.305,75.25,2.945,2.39048136215098,3.49951863784902,1904,1315,7.10500000000001,6.66500000000001,12.655,10.655,-2,479,711,5,FALSE,FALSE,3.17907025224098,2.52647894600878,0.794722590426501,FALSE,2.945,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D4,20000,2,79.41,78.895,-0.515,-0.798773999165539,-0.231226000834461,368,471,72.305,72,-0.305,-0.631625145019038,0.0216251450190377,525,586,7.10500000000001,6.89500000000001,12.655,12.18,-0.474999999999999,205,206,5,FALSE,FALSE,3.17907025224098,3.12516276889421,0.983043003435117,FALSE,-0.305,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,Bminus,20000,-1,84.775,84.71,-0.065,-0.286097707348961,0.156097707348961,248,261,78.165,75.925,-2.24,-2.55175372844468,-1.92824627155532,287,735,6.61000000000001,8.785,10.13,13.1,2.97,626,122,5,FALSE,FALSE,1.90675800020448,2.37303738556743,1.24454041116542,FALSE,,,,,,,
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D1,20000,2,84.775,85.86,1.085,0.713547086604769,1.45645291339523,828,611,78.165,77.95,-0.215,-0.707438152716998,0.277438152716998,1241,1284,6.61000000000001,7.91000000000001,10.13,11.015,0.885,748,521,5,FALSE,FALSE,1.90675800020448,1.77795943391407,0.932451540113323,FALSE,,,,,,,
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D2,20000,3,84.775,85.545,0.77,0.387318544716951,1.15268145528305,840,686,78.165,78.265,0.1,-0.395458950763369,0.595458950763369,1288,1268,6.61000000000001,7.28000000000001,10.13,10.385,0.255,673,560,5,FALSE,FALSE,1.90675800020448,1.78306851274715,0.935130998561925,FALSE,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
