variant,scenario,analysis_model,decision,n_trials,pass_pct,lo,hi
k2016_bmi_vc0817,KM10,M1,AUCinf_Ai,2000,96.55,95.6566923128875,97.2648305852278
k2016_bmi_vc0817,S00,M0,AUCinf_Ai,2000,93.7,92.549140020534,94.6833100470845
k2016_bmi_vc0817,S00,M1,AUCinf_Ai,2000,97.65,96.8891278302657,98.2281775638309
k2016_bmi_vc0817,VM125,M0,AUCinf_Ai,2000,49.45,47.261981648104,51.6401271039054
k2016_bmi_vc0817,VM125,M1,AUCinf_Ai,2000,58.15,55.9743929079066,60.294359221409
struct2020,F090,M0,AUCinf_Ai,2000,24.15,22.3249730944489,26.0741382499919
struct2020,F090,M1,AUCinf_Ai,2000,29.2,27.2486897980079,31.2310593688922
struct2020,KE120,M0,AUCinf_Ai,2000,62.25,60.1039015600656,64.3491307815437
struct2020,KE120,M1,AUCinf_Ai,2000,69.7,67.6497586825533,71.6747096545654
struct2020,KM10,M0,AUCinf_Ai,2000,95.9,94.9393641345084,96.6846509250725
struct2020,KM10,M1,AUCinf_Ai,2000,98,97.2881360811263,98.5278273798735
struct2020,S00,M0,AUCinf_Ai,2000,96.95,96.1017288093073,97.6182604509831
struct2020,S00,M1,AUCinf_Ai,2000,98.15,97.4605233282263,98.654865018589
struct2020,VM125,M0,AUCinf_Ai,2000,52.6,50.4087668790162,54.7812644751213
struct2020,VM125,M1,AUCinf_Ai,2000,58.1,55.9241289228725,60.2448149111712
base,F090,M0,AUCinf_A,2000,27.85,25.9293337819562,29.8555914126033
base,F090,M1,AUCinf_A,2000,32.65,30.6298124226097,34.7367091180498
base,KE120,M0,AUCinf_A,2000,68.2,66.1257880895277,70.2044313894347
base,KE120,M1,AUCinf_A,2000,74.7,72.748629774965,76.5566680893411
base,KM10,M0,AUCinf_A,2000,95.85,94.8844450828448,96.6397616814643
base,KM10,M1,AUCinf_A,2000,97.4,96.6064726855337,98.0117912322035
base,S00,M0,AUCinf_A,2000,96.8,95.9344768948039,97.4860874796708
base,S00,M1,AUCinf_A,2000,98.3,97.6338812848154,98.7809319478156
base,VM125,M0,AUCinf_A,2000,59.5,57.3323843286084,61.6311917730478
base,VM125,M1,AUCinf_A,2000,63.1,60.9620060881525,65.1877672730786
k2016_bmi_vc0817,F090,M0,AUCinf_A,2000,25,23.1514134424819,26.9444389215808
k2016_bmi_vc0817,F090,M1,AUCinf_A,2000,30.4,28.4232312724386,32.4519169809865
k2016_bmi_vc0817,KE120,M0,AUCinf_A,2000,59.35,57.181413751417,61.4827374644236
k2016_bmi_vc0817,KE120,M1,AUCinf_A,2000,70.8,68.7689406311078,72.7513102019921
k2016_bmi_vc0817,KM10,M0,AUCinf_A,2000,89.4,87.9745143683834,90.6744223058539
k2016_bmi_vc0817,KM10,M1,AUCinf_A,2000,95.75,94.7747081447752,96.5498820289902
k2016_bmi_vc0817,S00,M0,AUCinf_A,2000,92.25,90.9954932608256,93.3425162439085
k2016_bmi_vc0817,S00,M1,AUCinf_A,2000,96.85,95.9901769281841,97.5301957415626
k2016_bmi_vc0817,VM125,M0,AUCinf_A,2000,53.7,51.509692749225,55.8761211008937
k2016_bmi_vc0817,VM125,M1,AUCinf_A,2000,59.9,57.7350742165551,62.0269682472761
struct2020,F090,M0,AUCinf_A,2000,27.8,25.880510580025,29.8046063192626
struct2020,F090,M1,AUCinf_A,2000,31.35,29.3542253545076,33.4172805090831
struct2020,KE120,M0,AUCinf_A,2000,64.85,62.7309155321096,66.9121481636372
struct2020,KE120,M1,AUCinf_A,2000,71,68.9725779328178,72.9469060813696
struct2020,KM10,M0,AUCinf_A,2000,95.55,94.5556235055185,96.3697334871593
struct2020,KM10,M1,AUCinf_A,2000,97.5,96.7193228586802,98.0985576496007
struct2020,S00,M0,AUCinf_A,2000,96.1,95.1593914956082,96.8638567450603
struct2020,S00,M1,AUCinf_A,2000,97.95,97.2308710521027,98.4852841136252
struct2020,VM125,M0,AUCinf_A,2000,58.7,56.5274471420981,60.8391962352081
struct2020,VM125,M1,AUCinf_A,2000,62.25,60.1039015600656,64.3491307815437
base,F090,M0,AUCinf_Aiii,2000,22.75,20.965987989546,24.6384910872823
base,F090,M1,AUCinf_Aiii,2000,27.7,25.7828732867252,29.7026270220187
base,KE120,M0,AUCinf_Aiii,2000,53.25,51.0591853775076,55.4283538151643
base,KE120,M1,AUCinf_Aiii,2000,61.6,59.448171953282,63.7073525497929
base,KM10,M0,AUCinf_Aiii,2000,84.05,82.3802776951146,85.5891713850321
base,KM10,M1,AUCinf_Aiii,2000,91.75,90.4626974172836,92.8772291347318
base,S00,M0,AUCinf_Aiii,2000,87.4,85.8735620117746,88.7830428515877
base,S00,M1,AUCinf_Aiii,2000,93.2,92.0118300175707,94.2225370973291
base,VM125,M0,AUCinf_Aiii,2000,45.6,43.4277068459027,47.7891631701723
base,VM125,M1,AUCinf_Aiii,2000,52.15,49.9586943962994,54.3330623003912
k2016_bmi_vc0817,F090,M0,AUCinf_Aiii,2000,18.65,17.0036080190712,20.4165908454634
k2016_bmi_vc0817,F090,M1,AUCinf_Aiii,2000,25.25,23.3946704913715,27.2002233490506
k2016_bmi_vc0817,KE120,M0,AUCinf_Aiii,2000,45.2,43.0300886799585,47.3883149739416
k2016_bmi_vc0817,KE120,M1,AUCinf_Aiii,2000,58.45,56.2760246312415,60.5915772697054
k2016_bmi_vc0817,KM10,M0,AUCinf_Aiii,2000,72.1,70.0934265242206,74.021839985948
k2016_bmi_vc0817,KM10,M1,AUCinf_Aiii,2000,87.1,85.5595125271499,88.4982425645811
k2016_bmi_vc0817,S00,M0,AUCinf_Aiii,2000,77.75,75.8749342108808,79.5186696650096
k2016_bmi_vc0817,S00,M1,AUCinf_Aiii,2000,89.65,88.2381138193763,90.9098643312204
k2016_bmi_vc0817,VM125,M0,AUCinf_Aiii,2000,37.85,35.749578063225,39.9970061857094
k2016_bmi_vc0817,VM125,M1,AUCinf_Aiii,2000,47.15,44.9698110878187,49.3411160816844
struct2020,F090,M0,AUCinf_Aiii,2000,19.5,17.8227557651835,21.294184118973
struct2020,F090,M1,AUCinf_Aiii,2000,23.1,21.3054691873392,24.9976679563922
struct2020,KE120,M0,AUCinf_Aiii,2000,47.05,44.8702566801943,49.241053898765
struct2020,KE120,M1,AUCinf_Aiii,2000,56.3,54.1161315302064,58.4597136740498
struct2020,KM10,M0,AUCinf_Aiii,2000,82.9,81.1872125056716,84.4866457832219
struct2020,KM10,M1,AUCinf_Aiii,2000,90,88.6075587593348,91.239077458165
struct2020,S00,M0,AUCinf_Aiii,2000,87.1,85.5595125271499,88.4982425645811
struct2020,S00,M1,AUCinf_Aiii,2000,92.4,91.1556031952168,93.4818311953329
struct2020,VM125,M0,AUCinf_Aiii,2000,38.8,36.6877875432465,40.9551543158536
struct2020,VM125,M1,AUCinf_Aiii,2000,45.65,43.4774190706015,47.8392592407454
base,F090,M0,AUCinf_Aiv,2000,17.15,15.5613530127219,18.8645969936564
base,F090,M1,AUCinf_Aiv,2000,20.35,18.6431710833311,22.1705098204472
base,KE120,M0,AUCinf_Aiv,2000,34.6,32.5465336060346,36.712511450228
base,KE120,M1,AUCinf_Aiv,2000,43.25,41.0937374087753,45.4321427295216
base,KM10,M0,AUCinf_Aiv,2000,52.45,50.258722984905,54.6318834834168
base,KM10,M1,AUCinf_Aiv,2000,66.5,64.4015589514736,68.535178488245
base,S00,M0,AUCinf_Aiv,2000,53,50.8089804871699,55.1795172291427
base,S00,M1,AUCinf_Aiv,2000,67.45,65.3647211235475,69.4683739263368
base,VM125,M0,AUCinf_Aiv,2000,26.65,24.7584251127388,28.6311009952957
base,VM125,M1,AUCinf_Aiv,2000,33.4,31.366545919515,35.4971000502226
k2016_bmi_vc0817,F090,M0,AUCinf_Aiv,2000,13.2,11.7868179103901,14.7542767695101
k2016_bmi_vc0817,F090,M1,AUCinf_Aiv,2000,19.25,17.5816955479774,21.0362028598196
k2016_bmi_vc0817,KE120,M0,AUCinf_Aiv,2000,26.5,24.6121878638815,28.4779133583374
k2016_bmi_vc0817,KE120,M1,AUCinf_Aiv,2000,41.5,39.3588943686355,43.6736954351458
k2016_bmi_vc0817,KM10,M0,AUCinf_Aiv,2000,35.55,33.4817286945448,37.6736739718834
k2016_bmi_vc0817,KM10,M1,AUCinf_Aiv,2000,58.95,56.7789268515136,61.086758002152
k2016_bmi_vc0817,S00,M0,AUCinf_Aiv,2000,35.2,33.1370776877959,37.3196669117291
k2016_bmi_vc0817,S00,M1,AUCinf_Aiv,2000,56.4,54.2164993396497,58.5589624551503
k2016_bmi_vc0817,VM125,M0,AUCinf_Aiv,2000,18.1,16.4742775509482,19.8480300655958
k2016_bmi_vc0817,VM125,M1,AUCinf_Aiv,2000,31,29.0111113706161,33.0617364260715
struct2020,F090,M0,AUCinf_Aiv,2000,10.35,9.09013566877964,11.7618861806237
struct2020,F090,M1,AUCinf_Aiv,2000,15.05,13.5500198632222,16.6839817417374
struct2020,KE120,M0,AUCinf_Aiv,2000,22.3,20.5297791885631,24.1764252308183
struct2020,KE120,M1,AUCinf_Aiv,2000,29.6,27.6400206669319,31.6381948621432
struct2020,KM10,M0,AUCinf_Aiv,2000,32.35,30.335285248445,34.4323865205832
struct2020,KM10,M1,AUCinf_Aiv,2000,46.55,44.3726164938932,48.7406111323474
struct2020,S00,M0,AUCinf_Aiv,2000,30.95,28.962106096254,33.0109334051617
struct2020,S00,M1,AUCinf_Aiv,2000,45.6,43.4277068459027,47.7891631701723
struct2020,VM125,M0,AUCinf_Aiv,2000,11.2,9.89157590160386,12.6571869674214
struct2020,VM125,M1,AUCinf_Aiv,2000,19.4,17.7263184361046,21.1910048575081
base,F090,M0,AUCinf_B,2000,24.45,22.6165448910403,26.3814162250318
base,F090,M1,AUCinf_B,2000,30.9,28.9131035851074,32.9601276210364
base,KE120,M0,AUCinf_B,2000,71.95,69.9404984659442,73.8753431584089
base,KE120,M1,AUCinf_B,2000,78.35,76.4915458628209,80.099757556332
base,KM10,M0,AUCinf_B,2000,98.05,97.3454973911407,98.5702743651309
base,KM10,M1,AUCinf_B,2000,98.9,98.3400553170253,99.2724574588682
base,S00,M0,AUCinf_B,2000,98.5,97.8667562174291,98.9472901962893
base,S00,M1,AUCinf_B,2000,99.1,98.5817959298387,99.4299500271423
base,VM125,M0,AUCinf_B,2000,53.6,51.4095645908318,55.7766326687432
base,VM125,M1,AUCinf_B,2000,60.7,58.5409001587263,62.8180750294549
k2016_bmi_vc0817,F090,M0,AUCinf_B,2000,20.1,18.4017445051812,21.9128949222378
k2016_bmi_vc0817,F090,M1,AUCinf_B,2000,28.75,26.8086648382609,30.7728096711923
k2016_bmi_vc0817,KE120,M0,AUCinf_B,2000,63,60.8610163475885,65.0891404230989
k2016_bmi_vc0817,KE120,M1,AUCinf_B,2000,72.85,70.8584779539379,74.7539129853088
k2016_bmi_vc0817,KM10,M0,AUCinf_B,2000,95.9,94.9393641345084,96.6846509250725
k2016_bmi_vc0817,KM10,M1,AUCinf_B,2000,98.15,97.4605233282263,98.654865018589
k2016_bmi_vc0817,S00,M0,AUCinf_B,2000,96.2,95.2696248240864,96.9532400071258
k2016_bmi_vc0817,S00,M1,AUCinf_B,2000,97.95,97.2308710521027,98.4852841136252
k2016_bmi_vc0817,VM125,M0,AUCinf_B,2000,44.85,42.6822890893284,47.0374564976685
k2016_bmi_vc0817,VM125,M1,AUCinf_B,2000,56.2,54.0157726727336,58.3604559409789
struct2020,F090,M0,AUCinf_B,2000,22.3,20.5297791885631,24.1764252308183
struct2020,F090,M1,AUCinf_B,2000,28.65,26.7109137831252,30.6709441357843
struct2020,KE120,M0,AUCinf_B,2000,66.15,64.0469471016917,68.1911322711239
struct2020,KE120,M1,AUCinf_B,2000,71.75,69.7366365108919,73.6799719323737
struct2020,KM10,M0,AUCinf_B,2000,97.5,96.7193228586802,98.0985576496007
struct2020,KM10,M1,AUCinf_B,2000,98.3,97.6338812848154,98.7809319478156
struct2020,S00,M0,AUCinf_B,2000,97.75,97.0027095330404,98.3142124516
struct2020,S00,M1,AUCinf_B,2000,98.5,97.8667562174291,98.9472901962893
