variant,distribution,set,n_fail,window_fail_median,window_fail_p05,window_fail_min,window_all_min,obs_fail_median,obs_fail_p05,obs_fail_p01,obs_fail_min,obs_retained_median,obs_retained_p05,obs_retained_min
base,primary,i,2983,0.989177061904438,0.924328736753312,0.813756752847857,0.813756752847857,0.931073637725109,0.774116728266465,0.70729911926656,0.561935985947863,0.966862852199551,0.819850519341535,0.590616104771751
base,primary,ii,4205,0.983353291419924,0.930205305321225,0.813756752847857,0.813756752847857,0.932298929719862,0.778939370230951,0.711043241434013,0.561935985947863,0.96913604542023,0.823380210367229,0.616825220139975
base,primary,iii,7893,0.995386836042596,0.949474615356437,0.813756752847857,0.813756752847857,0.953239857977026,0.798586302201489,0.72640249575057,0.561935985947863,0.967605249224428,0.820399214488395,0.590616104771751
base,primary,iv,13289,0.989875195756483,0.952771861202743,0.813756752847857,0.813756752847857,0.954345739771143,0.802572015989725,0.732271639347486,0.561935985947863,0.976363396193963,0.836923117294769,0.656541848139717
base,sens_nct03389893,i,3059,0.989980585394215,0.928073248775396,0.855312697768825,0.855312697768825,0.930849345582765,0.774600055547204,0.706676227071845,0.552077743567075,0.966045714293259,0.820671871587883,0.656014258206818
base,sens_nct03389893,ii,4315,0.983890005565157,0.931969858802761,0.855312697768825,0.855312697768825,0.931733660075305,0.778609829320225,0.71114871731329,0.552077743567075,0.968339658862303,0.824112454818217,0.656014258206818
base,sens_nct03389893,iii,7976,0.995330957290306,0.948902865305386,0.855312697768825,0.855312697768825,0.95024575035046,0.794399078346312,0.729277462170789,0.552077743567075,0.967669977423041,0.822800302460698,0.668612246019307
base,sens_nct03389893,iv,13514,0.989661799738503,0.952560727140201,0.855312697768825,0.855312697768825,0.952692994358848,0.80147340871126,0.735294230286835,0.552077743567075,0.976460888831076,0.833149697669065,0.668612246019307
base,sens_75_18,i,2753,0.991041441173503,0.933322087512421,0.805978593768166,0.805978593768166,0.930494623693979,0.777485267104373,0.700581082662839,0.547920965820366,0.967353513774149,0.818662473599407,0.612994102566239
base,sens_75_18,ii,3959,0.984423990160183,0.936291323056729,0.805978593768166,0.805978593768166,0.931112861928581,0.779398538240191,0.711216418759223,0.547920965820366,0.970159469088846,0.820823837027586,0.612994102566239
base,sens_75_18,iii,7733,0.99596342043264,0.952607264713213,0.805978593768166,0.805978593768166,0.951411354980912,0.798562082064074,0.732778729426528,0.547920965820366,0.969065735496673,0.8201243788331,0.612994102566239
