band,set,n,n_fail,fail_pct,fail_lo,fail_hi,lz_fail_pct,population,variant,distribution
above 90-100,i,2493,479,19.2137986361813,17.7150849143408,20.8072431823334,3.32932210188528,adult atopic dermatitis,base,sens_nct03389893
above 100,i,2884,664,23.0235783633842,21.5236253969597,24.5953003755298,5.13176144244105,adult atopic dermatitis,base,sens_nct03389893
above 90,i,5377,1143,21.2572066207923,20.1843795542417,22.3710734607697,4.29607587874279,adult atopic dermatitis,base,sens_nct03389893
all,ii,20000,4315,21.575,21.0104072901771,22.1505099596124,1.995,adult atopic dermatitis,base,sens_nct03389893
below 60,ii,2584,403,15.5959752321981,14.2482418308801,17.0458490826238,0.541795665634675,adult atopic dermatitis,base,sens_nct03389893
60-90,ii,12039,2417,20.0764183071684,19.3704746078977,20.8014522198631,1.27917601129662,adult atopic dermatitis,base,sens_nct03389893
above 90-100,ii,2493,638,25.591656638588,23.9171568602534,27.3412622235593,3.32932210188528,adult atopic dermatitis,base,sens_nct03389893
above 100,ii,2884,857,29.7156726768377,28.0756370416706,31.4096734684918,5.13176144244105,adult atopic dermatitis,base,sens_nct03389893
above 90,ii,5377,1495,27.8036079598289,26.6222469556151,29.0166616004613,4.29607587874279,adult atopic dermatitis,base,sens_nct03389893
all,iii,20000,7976,39.88,39.2033959418317,40.5604908679438,1.995,adult atopic dermatitis,base,sens_nct03389893
below 60,iii,2584,903,34.9458204334365,33.1310088106236,36.8053256835868,0.541795665634675,adult atopic dermatitis,base,sens_nct03389893
60-90,iii,12039,4712,39.1394634105823,38.2712371429652,40.0146183260972,1.27917601129662,adult atopic dermatitis,base,sens_nct03389893
above 90-100,iii,2493,1049,42.0778178900923,40.1535386160578,44.0264741514903,3.32932210188528,adult atopic dermatitis,base,sens_nct03389893
above 100,iii,2884,1312,45.492371705964,43.6821760085504,47.3145596603746,5.13176144244105,adult atopic dermatitis,base,sens_nct03389893
above 90,iii,5377,2361,43.9092430723452,42.5875747720778,45.2396079276416,4.29607587874279,adult atopic dermatitis,base,sens_nct03389893
all,iv,20000,13514,67.57,66.9179202512166,68.2153316017719,1.995,adult atopic dermatitis,base,sens_nct03389893
below 60,iv,2584,1636,63.312693498452,61.4359520753263,65.1499115081997,0.541795665634675,adult atopic dermatitis,base,sens_nct03389893
60-90,iv,12039,8069,67.0238391893015,66.1787412973941,67.8580764587487,1.27917601129662,adult atopic dermatitis,base,sens_nct03389893
above 90-100,iv,2493,1738,69.7152025671881,67.882308290111,71.4874320883706,3.32932210188528,adult atopic dermatitis,base,sens_nct03389893
above 100,iv,2884,2071,71.8099861303745,70.1397444674781,73.422203719031,5.13176144244105,adult atopic dermatitis,base,sens_nct03389893
above 90,iv,5377,3809,70.8387576715641,69.6093902661494,72.0383709093147,4.29607587874279,adult atopic dermatitis,base,sens_nct03389893
all,i,20000,3067,15.335,14.8422853442714,15.8410285154984,2.16,adult atopic dermatitis,k2016_bmi_vc0817,primary
below 60,i,3230,304,9.41176470588235,8.45244916795953,10.4675092348194,0.247678018575851,adult atopic dermatitis,k2016_bmi_vc0817,primary
60-90,i,11924,1635,13.7118416638712,13.1061259288784,14.3409311947697,1.31667225763167,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90-100,i,2265,460,20.3090507726269,18.7031875173444,22.0154557016001,4.10596026490066,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 100,i,2581,668,25.881441301821,24.2284521508009,27.6061179830278,6.74157303370787,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90,i,4846,1128,23.276929426331,22.1085565758121,24.4876358566351,5.5096987205943,adult atopic dermatitis,k2016_bmi_vc0817,primary
all,ii,20000,4366,21.83,21.2629331028582,22.4078862085428,2.16,adult atopic dermatitis,k2016_bmi_vc0817,primary
below 60,ii,3230,516,15.9752321981424,14.7522573817645,17.2790426065299,0.247678018575851,adult atopic dermatitis,k2016_bmi_vc0817,primary
60-90,ii,11924,2367,19.8507212344851,19.144543081018,20.5763190311879,1.31667225763167,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90-100,ii,2265,622,27.4613686534216,25.662629604563,29.3364296716766,4.10596026490066,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 100,ii,2581,861,33.3591631150717,31.5660812073426,35.2017065396123,6.74157303370787,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90,ii,4846,1483,30.6025588113908,29.3208472223636,31.9149990220382,5.5096987205943,adult atopic dermatitis,k2016_bmi_vc0817,primary
all,iii,20000,7951,39.755,39.0787801920929,40.4351546266967,2.16,adult atopic dermatitis,k2016_bmi_vc0817,primary
below 60,iii,3230,1100,34.0557275541796,32.4412338115517,35.7081014877856,0.247678018575851,adult atopic dermatitis,k2016_bmi_vc0817,primary
60-90,iii,11924,4605,38.619590741362,37.7495008299525,39.497010960385,1.31667225763167,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90-100,iii,2265,1007,44.4591611479029,42.4238056346018,46.5132794568146,4.10596026490066,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 100,iii,2581,1239,48.0046493607129,46.0816179674843,49.9336115295312,6.74157303370787,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90,iii,4846,2246,46.3475030953364,44.9469576725625,47.7538346521813,5.5096987205943,adult atopic dermatitis,k2016_bmi_vc0817,primary
all,iv,20000,13386,66.93,66.2747838036728,67.5787138554675,2.16,adult atopic dermatitis,k2016_bmi_vc0817,primary
below 60,iv,3230,2039,63.1269349845201,61.448427565463,64.7742556055681,0.247678018575851,adult atopic dermatitis,k2016_bmi_vc0817,primary
60-90,iv,11924,7857,65.8923180140893,65.0364173253434,66.737982201046,1.31667225763167,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90-100,iv,2265,1610,71.0816777041943,69.1800727523136,72.9118943301459,4.10596026490066,adult atopic dermatitis,k2016_bmi_vc0817,primary
