variant,scenario,analysis_model,config,n_trials,agree_pct,p2_only_pct,g2_only_pct
struct2020,KM10,M0,A_iii,2000,84.1,14.65,1.25
struct2020,KM10,M1,A_iii,2000,90.9,8.3,0.8
struct2020,S00,M0,A_iii,2000,88,10.55,1.45
struct2020,S00,M1,A_iii,2000,93.2,5.95,0.85
struct2020,VM125,M0,A_iii,2000,76.2,5.15,18.65
struct2020,VM125,M1,A_iii,2000,74.25,5.9,19.85
base,F090,M0,A_iv,2000,82.25,10.15,7.6
base,F090,M1,A_iv,2000,79.4,12.5,8.1
base,KE120,M0,A_iv,2000,55.55,37.8,6.65
base,KE120,M1,A_iv,2000,59.75,35,5.25
base,KM10,M0,A_iv,2000,53.95,45.4,0.65
base,KM10,M1,A_iv,2000,67,32.5,0.5
base,S00,M0,A_iv,2000,54.35,45.05,0.6
base,S00,M1,A_iv,2000,68.05,31.5,0.45
base,VM125,M0,A_iv,2000,67.55,15.65,16.8
base,VM125,M1,A_iv,2000,65.65,17.4,16.95
k2016_bmi_vc0817,F090,M0,A_iv,2000,86.15,8.2,5.65
k2016_bmi_vc0817,F090,M1,A_iv,2000,80.6,11.7,7.7
k2016_bmi_vc0817,KE120,M0,A_iv,2000,56.95,36.35,6.7
k2016_bmi_vc0817,KE120,M1,A_iv,2000,60.7,33.35,5.95
k2016_bmi_vc0817,KM10,M0,A_iv,2000,38.9,59.65,1.45
k2016_bmi_vc0817,KM10,M1,A_iv,2000,60,39.1,0.9
k2016_bmi_vc0817,S00,M0,A_iv,2000,38.8,60.1,1.1
k2016_bmi_vc0817,S00,M1,A_iv,2000,57.85,41.6,0.55
k2016_bmi_vc0817,VM125,M0,A_iv,2000,72.15,15,12.85
k2016_bmi_vc0817,VM125,M1,A_iv,2000,67.2,16.2,16.6
struct2020,F090,M0,A_iv,2000,82.2,12.65,5.15
struct2020,F090,M1,A_iv,2000,79.05,14.7,6.25
struct2020,KE120,M0,A_iv,2000,53.1,41.95,4.95
struct2020,KE120,M1,A_iv,2000,53.9,41.55,4.55
struct2020,KM10,M0,A_iv,2000,34.75,64.6,0.65
struct2020,KM10,M1,A_iv,2000,48.1,51.45,0.45
struct2020,S00,M0,A_iv,2000,33.45,65.9,0.65
struct2020,S00,M1,A_iv,2000,46.8,52.55,0.65
struct2020,VM125,M0,A_iv,2000,72.85,20.6,6.55
struct2020,VM125,M1,A_iv,2000,68.45,21.95,9.6
base,F090,M0,B,2000,90.55,0.95,8.5
base,F090,M1,B,2000,89.45,1.1,9.45
base,KE120,M0,B,2000,90.4,1.65,7.95
base,KE120,M1,B,2000,92.35,1.15,6.5
base,KM10,M0,B,2000,98.25,0.5,1.25
base,KM10,M1,B,2000,98.65,0.5,0.85
base,S00,M0,B,2000,98.7,0.2,1.1
base,S00,M1,B,2000,99.25,0.1,0.65
base,VM125,M0,B,2000,71.3,0.2,28.5
base,VM125,M1,B,2000,72.7,0.1,27.2
k2016_bmi_vc0817,F090,M0,B,2000,91.45,0.9,7.65
k2016_bmi_vc0817,F090,M1,B,2000,89.7,1.55,8.75
k2016_bmi_vc0817,KE120,M0,B,2000,88.3,2.4,9.3
k2016_bmi_vc0817,KE120,M1,B,2000,91.8,2.1,6.1
k2016_bmi_vc0817,KM10,M0,B,2000,95.95,1.05,3
k2016_bmi_vc0817,KM10,M1,B,2000,98.2,0.45,1.35
k2016_bmi_vc0817,S00,M0,B,2000,96.95,0.7,2.35
k2016_bmi_vc0817,S00,M1,B,2000,98.45,0.6,0.95
