scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F090,XV_prev,500,14.6,88,93.4,3.6,8.4,0.858358670689153,0.966421999493825,-0.0151117548500571,0.0382063161252648
KM10,XV_prev,500,79.4,87.2,89.2,6.8,6,0.893982513536483,0.965944174157754,0.0212442197164576,0.0325915988662807
S00,XV_prev,500,79.2,87.8,91,5.2,7,0.870103341355797,0.966082369172642,-0.000104031085276652,0.0358198040521039
VM125,XV_prev,500,22.2,77.2,84.4,2.4,20.4,0.831893678699611,0.967055407677078,-0.0354234281144941,0.0424616760641247
