weight_shape,sim_logcv,wt_mean,wt_sd,ref_logcv
uniform_50_115,49.0789142057789,82.1723812550073,18.6875688630479,43
normal78_sd13_50_115,43.1885593374501,78.4821337808266,12.2784350868015,43
normal78_sd10_50_115,41.5430945469985,78.1415980784027,9.86442372734634,43
normal75_sd9_60_90,39.9132599496505,74.9288464259943,7.15605114860956,40
