scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean,model
F090,B0,Cmax,2000,54.2,52.0104658052629,56.3734309975746,0.878500341354827,0.876556993836642,0.880443688873013,15.3673765960872,117,117,d
F090,B0,AUClast,2000,12.85,11.454272443867,14.3881641691301,0.83185739966041,0.829646988181334,0.834067811139486,17.9986976480123,117,117,d
F090,B0,AUCinf_all,2000,22.8,21.0144742635029,24.6898131085973,0.85054418040297,0.848404577230522,0.852683783575419,17.2698143030514,111.4615,109.081,d
F090,B0,AUCinf_reliable,2000,24.05,22.2278102591928,25.9716844947043,0.85470999569058,0.852338958829279,0.857081032551881,18.864032870593,92.238,87.347,d
F090,B0,AUCinf_true,2000,15.2,13.6933576210121,16.8400688697631,0.83621161577868,0.834119886838449,0.838303344718911,17.1317075362852,117,117,d
F090,B0,AUCinf_subC,2000,13.55,12.1197073495243,15.1200453972791,0.832629128536853,0.830409465087215,0.834848791986491,18.0337364120213,117,117,d
KE120,B0,Cmax,2000,97.5,96.7193228586802,98.0985576496007,0.963757952041512,0.961647613586241,0.965868290496783,16.7053542699179,117,117,d
KE120,B0,AUClast,2000,61.05,58.8936373206122,63.1639959344721,0.905951830349245,0.903585837858815,0.908317822839675,19.2898357410624,117,117,d
KE120,B0,AUCinf_all,2000,68.8,66.7350790491617,70.7928399730632,0.910384551598839,0.908138220372842,0.912630882824836,18.2789375126029,111.4615,110.78,d
KE120,B0,AUCinf_reliable,2000,61.65,59.4985984004406,63.7567343979063,0.910009289599559,0.907546863914107,0.912471715285012,19.7498715769988,92.238,91.5345,d
KE120,B0,AUCinf_true,2000,68.15,66.0750314948715,70.155379688819,0.90837712128421,0.906145288447578,0.910608954120842,18.3259411958252,117,117,d
KE120,B0,AUCinf_subC,2000,61.7,59.5490272230379,63.8061138705808,0.906217347695579,0.903846551346272,0.908588144044886,19.278758448557,117,117,d
KM10,B0,Cmax,2000,99.65,99.2792803746758,99.8303568302958,1.00332818389635,1.00115548943185,1.00550087836086,17.2143533313586,117,117,d
KM10,B0,AUClast,2000,94.7,93.6296616936357,95.5989542794203,1.01442881144701,1.0117984328949,1.01705918999912,21.4481225454321,117,117,d
KM10,B0,AUCinf_all,2000,96.35,95.4352649450753,97.0870247719525,0.983251239950878,0.980819036293108,0.985683443608649,19.826278163896,111.4615,113.3565,d
KM10,B0,AUCinf_reliable,2000,90.5,89.1361988509545,91.7085203192641,0.973320198530586,0.970667879002437,0.975972518058736,21.1813907127531,92.238,95.3715,d
KM10,B0,AUCinf_true,2000,97,96.1575830268561,97.6622145287062,1.00959911525329,1.00712788510839,1.0120703453982,20.2849814131709,117,117,d
KM10,B0,AUCinf_subC,2000,95.7,94.7198891329547,96.5048927455387,1.00463889702596,1.00204480269052,1.0072329913614,21.1696315157637,117,117,d
S00,B0,Cmax,2000,99.45,99.0177937248385,99.6926102990456,1.00081861243429,0.998643679898698,1.00299354496988,17.2296543449716,117,117,d
S00,B0,AUClast,2000,95,93.9555891065604,95.8718766381268,1.00062098550002,0.998004269831082,1.00323770116896,21.3233448228809,117,117,d
S00,B0,AUCinf_all,2000,97.45,96.66286379544,98.0552084175691,1.00135048890159,0.998893593923363,1.00380738387982,20.0873871961315,111.4615,111.4235,d
S00,B0,AUCinf_reliable,2000,93.5,92.3340006486713,94.4992162378597,1.00139182662168,0.998700034105989,1.00408361913737,21.683765069972,92.238,92.264,d
S00,B0,AUCinf_true,2000,97.25,96.4376888484893,97.8811501834323,1.00034310044277,0.997880292380774,1.00280590850477,20.2097851932492,117,117,d
S00,B0,AUCinf_subC,2000,95.05,94.0099995010399,95.9172745389192,1.00074368527991,0.998126575679103,1.00336079488071,21.2949132102415,117,117,d
VM125,B0,Cmax,2000,93.2,92.0118300175707,94.2225370973291,0.945506249213544,0.943362944831739,0.947649553595349,16.8997477195983,117,116.9995,d
VM125,B0,AUClast,2000,15.9,14.362957550964,17.5677850736174,0.839890102770565,0.837600676721424,0.842179528819706,18.5460859911597,117,116.9995,d
VM125,B0,AUCinf_all,2000,46,43.8254664918118,48.1898698864382,0.882338552406377,0.880093095215544,0.88458400959721,18.2882255209087,111.4615,105.8275,d
VM125,B0,AUCinf_reliable,2000,43.55,41.391416513447,45.7333133964811,0.889681120739664,0.887125326524167,0.89223691495516,20.2522948877979,92.238,80.9645,d
VM125,B0,AUCinf_true,2000,21.45,19.7066705967644,23.3027928029952,0.849908516359088,0.847732534613168,0.852084498105007,17.7696219122224,117,117,d
VM125,B0,AUCinf_subC,2000,16.1,14.5544750265871,17.7755007790818,0.840645588416161,0.838342728079597,0.842948448752725,18.6379102625993,117,116.9995,d
