id,dose_mg,n_obs,wt_mean,AUClast_obs_mean,AUClast_sim_mean,AUClast_ratio,AUClast_sim_geo,AUClast_obs_geo,AUClast_sim_logcv,AUClast_obs_cv_arith,Cmax_obs_mean,Cmax_sim_mean,Cmax_ratio,Cmax_sim_logcv,AUCinf_obs_mean,AUCinf_sim_mean_reliable,tmax_sim_median,tlast_sim_median,pass_mean,pass_cv,variant
clot300_nonasian_pooled,300,,78,544,613.250562184452,1.12729882754495,568.556923359447,,40.8384302222322,40.0735294117647,32,34.8291384965545,1.08841057801733,33.7104476554522,,658.026344850411,7,35,TRUE,TRUE,struct2020
clot300_japanese_TDU12265,300,,64,700,739.721001296233,1.05674428756605,687.313465360054,,40.3641981746654,33.4285714285714,38.3,39.973998325429,1.04370752807909,33.1991919449946,,782.339604066371,7,42,TRUE,TRUE,struct2020
clot300_chinese,300,,59.9,792,789.39194822889,0.996707005339508,732.958145073464,710,40.7158449811069,41.1616161616162,37.2,42.1603130250864,1.13334174798619,33.5244867874542,807,833.399511700645,7,42,TRUE,TRUE,struct2020
clot600_chinese,600,,58.3,2110,2142.49305969434,1.01539955435751,2024.63658231624,,35.03540394421,23.0805687203792,77.3,91.7730082647061,1.18723167224717,29.3119456883641,,2188.19081749886,7,56,TRUE,TRUE,struct2020
clot600_japanese,600,,64,1780,1990.91375830821,1.11849087545405,1875.30928164967,,36.1604782651446,39.2696629213483,70.1,86.5221129306249,1.2342669462286,29.9080034708213,,2035.52058244177,7,56,TRUE,TRUE,struct2020
pkm14271_200_nonasian,200,,80,339,297.906194393365,0.878779334493703,271.883241832765,,46.0798734340977,37.7581120943953,23.2,20.9598637397439,0.903442402575168,38.0782167359905,,340.459198923464,7,28,TRUE,TRUE,struct2020
cohen2022_200_armA,200,,80.6,311,277.741142709212,0.893058336685569,254.152063814054,,45.7631475075898,37.9421221864952,21.7,19.9733540082515,0.920431060288087,37.9522245462818,,321.068297580169,7,28,TRUE,TRUE,struct2020
cohen2022_200_armB,200,,80.6,284,276.768938783679,0.974538516843939,253.276775376684,,45.6444265502467,42.6056338028169,20.3,20.0007316010189,0.985257714335908,38.217286186552,,319.048943380503,7,28,TRUE,TRUE,struct2020
clot300_nonasian_pooled,300,,78,544,578.488686668936,1.0633983210826,517.112704080338,,52.4906377643147,40.0735294117647,32,35.7496359199385,1.11717612249808,42.8501281326068,,627.398876693639,7,35,TRUE,FALSE,iiv150
clot300_japanese_TDU12265,300,,64,700,705.897087791512,1.00842441113073,634.408311356044,,50.0562301617588,33.4285714285714,38.3,41.2622888530595,1.07734435647675,40.4486012108211,,753.625667560808,7,35,TRUE,TRUE,iiv150
clot300_chinese,300,,59.9,792,744.178137030031,0.939618859886402,669.328251392748,710,49.7272191315083,41.1616161616162,37.2,42.8480352684561,1.15182890506603,40.3795108991288,807,793.001541275306,7,35,TRUE,TRUE,iiv150
clot600_chinese,600,,58.3,2110,2058.16078017778,0.975431649373355,1900.62251911754,,42.5221123128592,23.0805687203792,77.3,94.4623214886567,1.22202227022842,35.0713447050313,,2076.49593331556,7,56,TRUE,TRUE,iiv150
clot600_japanese,600,,64,1780,1908.76571186013,1.07234028756187,1753.67468334992,,43.920638628584,39.2696629213483,70.1,88.5314668164643,1.26293105301661,36.2388648030946,,1925.48854787907,7,56,TRUE,TRUE,iiv150
pkm14271_200_nonasian,200,,80,339,278.883800566679,0.822666078367785,241.267691527733,,62.8411134184529,37.7581120943953,23.2,21.3729236838317,0.921246710509988,51.4085485522267,,336.383569909959,7,21,FALSE,FALSE,iiv150
cohen2022_200_armA,200,,80.6,311,262.964436562917,0.845544812099411,228.83255261022,,62.5878650318083,37.9421221864952,21.7,20.5269342314204,0.94594166965071,51.4849514561462,,318.517675498931,7,21,FALSE,FALSE,iiv150
cohen2022_200_armB,200,,80.6,284,261.448501091026,0.920593313700796,228.13228921081,,60.6889318063157,42.6056338028169,20.3,20.4634022174162,1.00804937031607,49.6838225346402,,317.083771659713,7,21,TRUE,FALSE,iiv150
