ka_multiplier,AUClast_200_sim,AUClast_300_sim,ratio_per_mg,AUClast_200_sim_pkm_only,ratio_per_mg_pkm_only
1,264.205058972251,569.411713391301,0.6959947945188,277.938509613508,0.732172792753496
1.5,283.559220413587,569.411713391301,0.746979418612849,297.59417286062,0.783951662378552
2,293.095862453601,569.411713391301,0.772101773358283,307.25616595389,0.809404229122549
3,302.523662602009,569.411713391301,0.796937406152675,316.790723042204,0.834521091484391
