id,dose_mg,n_obs,wt_mean,AUClast_obs_mean,AUClast_sim_mean,AUClast_ratio,AUClast_sim_geo,AUClast_obs_geo,AUClast_sim_logcv,AUClast_obs_cv_arith,Cmax_obs_mean,Cmax_sim_mean,Cmax_ratio,Cmax_sim_logcv,AUCinf_obs_mean,AUCinf_sim_mean_reliable,tmax_sim_median,tlast_sim_median,pass_mean,pass_cv,variant,obs_per_mg,sim_per_mg
clot300_nonasian_pooled,300,,78,544,570.751011888799,1.04917465420735,528.507464621628,,41.2516688938012,40.0735294117647,32,35.5868498210765,1.11208905690864,34.1725527713049,,612.224028795537,7,35,TRUE,TRUE,base,1.81333333333333,1.90250337296266
clot300_japanese_TDU12265,300,,64,700,694.216701674825,0.99173814524975,643.636423942711,,40.8516809348483,33.4285714285714,38.3,41.0979466920305,1.07305343843422,34.0001882675527,,736.404281960985,7,35,TRUE,TRUE,base,2.33333333333333,2.31405567224942
clot300_chinese,300,,59.9,792,740.577360683205,0.935072425105056,688.103776123335,710,40.2164521806429,41.1616161616162,37.2,42.9856441002168,1.15552806721013,33.188152387328,807,781.567633372767,7,35,TRUE,TRUE,base,2.64,2.46859120227735
clot600_chinese,600,,58.3,2110,2045.433015995,0.969399533646919,1929.06145693824,,35.8193247810714,23.0805687203792,77.3,94.3320401121947,1.22033687079165,29.8505683500099,,2098.13899357097,7,56,TRUE,TRUE,base,3.51666666666667,3.40905502665833
clot600_japanese,600,,64,1780,1912.91330150261,1.07467039410259,1800.44578525023,,36.3976639112676,39.2696629213483,70.1,88.9595468381838,1.26903775803401,30.5000475569695,,1964.11211452855,7,56,TRUE,TRUE,base,2.96666666666667,3.18818883583768
pkm14271_200_nonasian,200,,80,339,278.360864900611,0.821123495282039,252.336801804625,,48.4197060137269,37.7581120943953,23.2,21.3687309567721,0.921065989516038,39.8869135445986,,326.197679997166,7,21,FALSE,TRUE,base,1.695,1.39180432450306
cohen2022_200_armA,200,,80.6,311,260.96432780617,0.839113594232057,237.995674393833,,47.0831015316372,37.9421221864952,21.7,20.5954816462107,0.949100536691737,39.8945436005256,,307.020442929154,7,21,FALSE,TRUE,base,1.555,1.30482163903085
cohen2022_200_armB,200,,80.6,284,262.193037472304,0.923214920677127,239.625939322505,,46.4440325585598,42.6056338028169,20.3,20.6253712593692,1.01602814085563,39.6606253694689,,306.705640265515,7,21,TRUE,TRUE,base,1.42,1.31096518736152
